Player,Player_ID,Year,Team,Position,PPG,ORPG,RPG,APG,SPG,BPG,TOPG,FG%,3P%,FT%,MPG,FPG,PTS,REB,AST,STL,BLK,TO,FGM,FGA,3PM,3PA,FTM,FTA,MINS,FLS,G,GS,TD
Bogdan Bogdanović,bogdabo01,21-22,ATL,SG,15.1,0.5,4.0,3.1,1.1,0.2,1.1,0.431,0.368,0.843,29.3,2.1,950,250,194,68,14,70,342,794,169,459,97,115,1848,132,63,27,0
Cameron Oliver,oliveca01,21-22,ATL,SF,11.5,1.0,3.0,1.5,0.5,0.5,0.0,0.667,0.333,0.667,21.5,2.5,23,6,3,1,1,0,10,15,1,3,2,3,43,5,2,0,0
Cat Barber,barbeca01,21-22,ATL,PG,0.0,0.3,1.0,1.0,0.0,0.0,0.3,0.0,,0.0,4.3,0.3,0,3,3,0,0,1,0,4,0,0,0,4,13,1,3,0,0
Chaundee Brown Jr.,brownch05,21-22,LAL-ATL,SF,6.2,0.2,3.2,0.8,0.4,0.0,0.2,0.313,0.333,0.833,20.8,1.4,31,16,4,2,0,1,10,32,6,18,5,6,104,7,5,2,0
Clint Capela,capelca01,21-22,ATL,C,11.1,3.8,11.9,1.2,0.7,1.3,0.6,0.613,0.0,0.473,27.6,2.2,820,877,92,55,93,44,370,604,0,1,80,169,2042,166,74,73,0
Danilo Gallinari,gallida01,21-22,ATL,PF,11.7,0.5,4.7,1.5,0.4,0.2,0.6,0.434,0.381,0.904,25.3,1.4,771,308,101,28,12,38,259,597,112,294,141,156,1672,93,66,18,0
De'Andre Hunter,huntede01,21-22,ATL,SF,13.4,0.5,3.3,1.3,0.7,0.4,1.3,0.442,0.379,0.765,29.8,2.9,709,176,68,36,21,69,254,575,74,195,127,166,1577,155,53,52,0
Delon Wright,wrighde01,21-22,ATL,SG,4.4,0.6,2.9,2.4,1.2,0.2,0.6,0.454,0.379,0.857,18.9,0.7,342,220,188,93,19,45,122,269,44,116,54,63,1452,56,77,8,0
Gorgui Dieng,dienggo01,21-22,ATL,C,3.5,0.7,2.8,0.8,0.2,0.3,0.5,0.473,0.426,0.731,8.4,1.2,154,121,34,11,13,20,53,112,29,68,19,26,371,52,44,3,0
Jalen Johnson,johnsja05,21-22,ATL,PF,2.4,0.1,1.2,0.1,0.1,0.1,0.4,0.537,0.231,0.714,5.5,0.4,52,26,3,3,2,9,22,41,3,13,5,7,120,9,22,0,0
John Collins,collijo01,21-22,ATL,PF,16.2,1.7,7.8,1.8,0.6,1.0,1.1,0.526,0.364,0.793,30.8,3.0,876,422,98,33,56,60,339,644,64,176,134,169,1663,164,54,53,0
Kevin Huerter,huertke01,21-22,ATL,SF,12.1,0.4,3.4,2.7,0.7,0.4,1.2,0.454,0.389,0.808,29.6,2.5,892,254,203,55,26,91,345,760,160,411,42,52,2188,185,74,60,0
Kevin Knox,knoxke01,21-22,NYK-ATL,SF,3.1,0.5,1.5,0.3,0.1,0.1,0.2,0.365,0.278,0.727,7.4,0.6,93,44,10,4,2,7,31,85,15,54,16,22,222,19,30,0,0
Lou Williams,willilo02,21-22,ATL,PG,6.3,0.3,1.6,1.9,0.5,0.1,0.8,0.391,0.363,0.859,14.3,0.9,354,87,105,28,3,43,125,320,37,102,67,78,799,48,56,0,0
Onyeka Okongwu,okongon01,21-22,ATL,C,8.2,2.4,5.9,1.1,0.6,1.2,0.9,0.69,,0.727,20.7,3.1,392,283,53,31,60,44,156,226,0,0,80,110,992,149,48,6,0
Sharife Cooper,coopesh01,21-22,ATL,PG,0.5,0.0,0.4,0.4,0.0,0.0,0.4,0.214,0.167,,3.0,0.1,7,5,5,0,0,5,3,14,1,6,0,0,39,1,13,0,0
Skylar Mays,mayssk01,21-22,ATL,SG,2.9,0.2,0.9,0.6,0.2,0.0,0.4,0.5,0.32,0.889,7.9,0.3,80,25,17,7,0,10,32,64,8,25,8,9,220,9,28,5,0
Solomon Hill,hillso01,21-22,ATL,SF,0.6,0.5,1.8,0.9,0.3,0.2,0.1,0.15,0.154,,10.7,1.2,8,23,12,4,2,1,3,20,2,13,0,0,139,16,13,1,0
Timothé Luwawu-Cabarrot,luwawti01,21-22,ATL,SF,4.4,0.3,1.6,0.8,0.3,0.1,0.4,0.398,0.361,0.854,13.2,1.5,227,82,40,18,6,20,74,186,44,122,35,41,685,76,52,18,0
Trae Young,youngtr01,21-22,ATL,PG,28.4,0.7,3.7,9.7,0.9,0.1,4.0,0.46,0.382,0.904,34.9,1.7,2155,284,737,72,7,303,711,1544,233,610,500,553,2652,128,76,76,0
Wes Iwundu,iwundwe01,21-22,ATL,SF,7.3,1.0,4.3,0.0,0.3,0.0,0.3,0.444,0.6,0.75,27.3,2.7,22,13,0,1,0,1,8,18,3,5,3,4,82,8,3,1,0
AJ Griffin,griffaj01,22-23,ATL,SF,8.9,0.5,2.1,1.0,0.6,0.2,0.6,0.465,0.39,0.894,19.5,1.2,639,153,73,42,12,42,248,533,101,259,42,47,1401,87,72,12,0
Aaron Holiday,holidaa01,22-23,ATL,PG,3.9,0.4,1.2,1.4,0.6,0.2,0.6,0.418,0.409,0.844,13.4,1.3,247,74,89,37,12,36,92,220,36,88,27,32,845,79,63,6,0
Bogdan Bogdanović,bogdabo01,22-23,ATL,SG,14.0,0.4,3.1,2.8,0.8,0.3,1.2,0.447,0.406,0.831,27.9,1.6,756,165,150,43,18,65,273,611,146,360,64,77,1508,86,54,9,0
Bruno Fernando,fernabr01,22-23,HOU-ATL,C,3.9,1.4,3.5,0.8,0.2,0.9,0.6,0.527,0.0,0.7,10.4,1.9,153,137,31,6,34,25,59,112,0,4,35,50,405,74,39,4,0
Clint Capela,capelca01,22-23,ATL,C,12.0,4.0,11.0,0.9,0.7,1.2,0.8,0.653,0.0,0.603,26.6,2.1,779,717,58,45,79,54,350,536,0,1,79,131,1730,139,65,63,0
De'Andre Hunter,huntede01,22-23,ATL,SF,15.4,0.7,4.2,1.4,0.5,0.3,1.2,0.461,0.35,0.826,31.7,3.0,1029,284,94,35,17,82,379,822,100,286,171,207,2126,199,67,67,0
Dejounte Murray,murrade01,22-23,ATL,SG,20.5,0.7,5.3,6.1,1.5,0.3,2.2,0.464,0.344,0.832,36.4,1.4,1515,389,448,112,19,160,612,1319,133,387,158,190,2693,106,74,74,1
Donovan Williams,willido02,22-23,ATL,SG,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4,0.0,,2.0,0.0,4,2,0,0,0,0,2,5,0,2,0,0,4,0,2,0,0
Garrison Mathews,mathega01,22-23,HOU-ATL,SG,4.8,0.2,1.4,0.5,0.4,0.1,0.4,0.363,0.35,0.906,12.7,1.1,257,73,26,24,5,19,73,201,63,180,48,53,686,62,54,0,0
Jalen Johnson,johnsja05,22-23,ATL,SF,5.6,0.7,4.0,1.2,0.5,0.5,0.6,0.491,0.288,0.628,14.9,1.6,395,282,83,38,34,41,158,322,30,104,49,78,1042,113,70,6,0
Jarrett Culver,culveja01,22-23,ATL,SF,4.4,1.0,3.8,0.6,0.6,0.2,0.7,0.395,0.083,0.692,13.7,1.4,44,38,6,6,2,7,17,43,1,12,9,13,137,14,10,1,0
John Collins,collijo01,22-23,ATL,PF,13.1,1.1,6.5,1.2,0.6,1.0,1.1,0.508,0.292,0.803,30.0,3.1,931,462,85,42,73,79,359,707,70,240,143,178,2130,220,71,71,0
Onyeka Okongwu,okongon01,22-23,ATL,C,9.9,2.7,7.2,1.0,0.7,1.3,1.0,0.638,0.308,0.781,23.1,3.1,791,576,81,56,107,81,317,497,4,13,153,196,1849,251,80,18,0
Saddiq Bey,beysa01,22-23,DET-ATL,SF,13.8,1.3,4.7,1.5,0.9,0.2,0.9,0.422,0.361,0.861,27.6,1.6,1062,362,118,70,13,71,353,836,151,418,205,238,2129,123,77,37,0
Trae Young,youngtr01,22-23,ATL,PG,26.2,0.8,3.0,10.2,1.1,0.1,4.1,0.429,0.335,0.886,34.8,1.4,1914,217,741,80,9,300,597,1390,154,460,566,639,2541,104,73,73,0
Trent Forrest,forretr01,22-23,ATL,SG,2.3,0.2,1.6,1.7,0.3,0.1,0.7,0.417,0.0,0.667,12.0,0.7,52,37,38,7,2,15,25,60,0,2,2,3,277,17,23,3,0
Tyrese Martin,martity01,22-23,ATL,SG,1.3,0.3,0.8,0.1,0.1,0.0,0.1,0.391,0.143,1.0,4.1,0.1,21,12,2,1,0,2,9,23,1,7,2,2,66,2,16,0,0
Vít Krejčí,krejcvi01,22-23,ATL,PG,1.2,0.2,0.9,0.6,0.2,0.0,0.2,0.405,0.238,0.5,5.7,0.6,36,26,17,5,1,5,15,37,5,21,1,2,165,17,29,0,0
AJ Griffin,griffaj01,23-24,ATL,SF,2.4,0.1,0.9,0.2,0.0,0.1,0.4,0.29,0.256,1.0,8.6,0.3,48,18,5,1,2,8,18,62,10,39,2,2,171,6,20,0,0
Bogdan Bogdanović,bogdabo01,23-24,ATL,SG,16.9,0.7,3.4,3.1,1.2,0.3,1.4,0.428,0.374,0.921,30.4,2.3,1333,272,247,96,26,112,471,1100,240,641,151,164,2401,179,79,33,0
Bruno Fernando,fernabr01,23-24,ATL,C,6.3,1.3,4.3,1.0,0.6,0.6,1.0,0.583,0.0,0.667,15.2,2.4,282,193,46,25,28,44,109,187,0,4,64,96,682,107,45,2,0
Clint Capela,capelca01,23-24,ATL,C,11.5,4.6,10.6,1.2,0.6,1.5,1.0,0.571,0.0,0.631,25.8,2.2,836,776,91,43,106,74,353,618,0,1,130,206,1883,164,73,73,0
De'Andre Hunter,huntede01,23-24,ATL,SF,15.6,0.5,3.9,1.5,0.7,0.3,1.5,0.459,0.385,0.847,29.5,2.6,891,222,87,40,16,83,304,663,117,304,166,196,1681,146,57,37,0
Dejounte Murray,murrade01,23-24,ATL,SG,22.5,0.8,5.3,6.4,1.4,0.3,2.6,0.459,0.363,0.794,35.7,1.8,1753,416,502,111,24,201,672,1463,201,554,208,262,2783,138,78,78,1
Dylan Windler,windldy01,23-24,NYK-LAL-ATL,SF,2.5,0.2,0.9,0.6,0.1,0.0,0.1,0.5,0.481,,6.4,0.4,43,16,10,2,0,2,15,30,13,27,0,0,108,6,17,0,0
