Player,Player_ID,Year,Team,Position,PPG,ORPG,RPG,APG,SPG,BPG,TOPG,FG%,3P%,FT%,MPG,FPG,PTS,REB,AST,STL,BLK,TO,FGM,FGA,3PM,3PA,FTM,FTA,MINS,FLS,G,GS,TD
Andre Drummond,drumman01,21-22,PHI-BRK,C,7.9,3.1,9.3,1.8,1.1,0.9,1.6,0.57,0.0,0.524,19.7,2.6,580,680,131,78,68,115,247,433,0,3,86,164,1437,192,73,36,0
Blake Griffin,griffbl01,21-22,BRK,C,6.4,1.1,4.1,1.9,0.5,0.2,0.6,0.425,0.262,0.724,17.1,1.7,359,228,105,27,14,31,133,313,38,145,55,76,958,95,56,24,0
Bruce Brown,brownbr01,21-22,BRK,SF,9.0,1.4,4.8,2.1,1.1,0.7,0.8,0.506,0.404,0.758,24.6,2.4,647,345,148,77,52,56,256,506,38,94,97,128,1774,176,72,45,0
Cam Thomas,thomaca02,21-22,BRK,SG,8.5,0.2,2.4,1.2,0.5,0.1,0.8,0.433,0.27,0.829,17.6,1.0,570,161,78,33,8,55,218,503,47,174,87,105,1176,66,67,2,0
David Duke Jr.,dukeda01,21-22,BRK,PG,4.7,1.4,3.0,0.8,0.6,0.3,0.4,0.361,0.243,0.81,15.5,1.6,104,67,17,14,7,9,39,108,9,37,17,21,341,36,22,7,0
Day'Ron Sharpe,sharpda01,21-22,BRK,PF,6.2,2.5,5.0,0.5,0.3,0.5,0.9,0.577,0.286,0.585,12.2,1.9,198,160,17,10,15,30,86,149,2,7,24,41,391,60,32,8,0
Goran Dragić,dragigo01,21-22,TOR-BRK,PG,7.5,0.6,3.1,4.1,0.9,0.2,1.6,0.377,0.254,0.818,23.7,2.1,157,65,86,19,4,34,57,151,16,63,27,33,498,45,21,8,0
James Johnson,johnsja01,21-22,BRK,PF,5.5,0.8,3.5,2.1,0.5,0.5,0.8,0.469,0.271,0.527,19.2,2.6,340,215,130,30,34,48,144,307,23,85,29,55,1191,162,62,10,0
Joe Harris,harrijo01,21-22,BRK,SF,11.3,0.4,4.0,1.0,0.5,0.1,1.1,0.452,0.466,0.833,30.2,2.2,158,56,14,7,2,16,56,124,41,88,5,6,423,31,14,14,0
Kessler Edwards,edwarke02,21-22,BRK,SF,5.9,0.9,3.6,0.6,0.6,0.5,0.9,0.412,0.353,0.842,20.6,1.8,284,172,31,29,24,42,110,267,48,136,16,19,987,85,48,23,0
Kevin Durant,duranke01,21-22,BRK,PF,29.9,0.5,7.4,6.4,0.9,0.9,3.5,0.518,0.383,0.91,37.2,2.1,1643,407,351,48,52,191,578,1115,115,300,372,409,2047,113,55,55,4
Kyrie Irving,irvinky01,21-22,BRK,PG,27.4,0.6,4.4,5.8,1.4,0.6,2.5,0.469,0.418,0.915,37.6,2.8,796,127,167,41,17,73,289,616,100,239,118,129,1091,81,29,29,0
LaMarcus Aldridge,aldrila01,21-22,BRK,C,12.9,1.6,5.5,0.9,0.3,1.0,0.9,0.55,0.304,0.873,22.3,1.7,607,258,42,14,47,44,252,458,14,46,89,102,1050,78,47,12,0
