Player,Player_ID,Year,Team,Position,PPG,ORPG,RPG,APG,SPG,BPG,TOPG,FG%,3P%,FT%,MPG,FPG,PTS,REB,AST,STL,BLK,TO,FGM,FGA,3PM,3PA,FTM,FTA,MINS,FLS,G,GS,TD
Boban Marjanović,marjabo01,21-22,DAL,C,4.3,0.3,1.7,0.1,0.0,0.1,0.7,0.6,0.25,0.591,5.6,1.0,98,39,3,0,3,15,42,70,1,4,13,22,128,24,23,0,0
Brandon Knight,knighbr03,21-22,DAL,PG,6.4,0.0,1.6,1.6,0.2,0.0,0.8,0.4,0.235,1.0,13.0,1.0,32,8,8,1,0,4,10,25,4,17,8,8,65,5,5,0,0
Dorian Finney-Smith,finnedo01,21-22,DAL,PF,11.0,1.5,4.7,1.9,1.1,0.5,1.0,0.471,0.395,0.675,33.0,2.3,880,375,150,88,39,80,326,692,172,435,56,83,2644,183,80,80,0
Dwight Powell,poweldw01,21-22,DAL,C,8.7,2.1,4.9,1.2,0.5,0.5,0.8,0.671,0.351,0.783,21.9,2.7,717,404,97,37,39,64,269,401,13,37,166,212,1798,220,82,71,0
Dāvis Bertāns,bertada01,21-22,WAS-DAL,PF,5.6,0.2,2.1,0.6,0.3,0.2,0.3,0.36,0.335,0.9,14.4,1.5,311,117,31,17,12,19,99,275,77,230,36,40,807,85,56,0,0
Eugene Omoruyi,omorueu01,21-22,DAL,SF,1.8,0.5,1.8,0.5,0.0,0.0,0.0,0.4,0.5,0.5,4.5,0.5,7,7,2,0,0,0,2,5,1,2,2,4,18,2,4,0,0
Frank Ntilikina,ntilila01,21-22,DAL,SG,4.1,0.2,1.4,1.2,0.5,0.1,0.5,0.399,0.342,0.96,11.8,1.1,240,79,69,27,7,31,89,223,38,111,24,25,685,61,58,5,0
George King,kingge03,21-22,DAL,SF,0.2,0.0,1.2,0.0,0.0,0.0,0.2,0.0,0.0,0.5,4.8,1.0,1,5,0,0,0,1,0,5,0,4,1,2,19,4,4,0,0
JaQuori McLaughlin,mclauja01,21-22,DAL,PG,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,,2.8,0.2,0,0,2,0,0,0,0,2,0,1,0,0,11,1,4,0,0
Jalen Brunson,brunsja01,21-22,DAL,SG,16.3,0.5,3.9,4.8,0.8,0.0,1.6,0.502,0.373,0.84,31.9,1.9,1285,309,377,66,3,124,506,1008,94,252,179,213,2524,151,79,61,0
Josh Green,greenjo02,21-22,DAL,SG,4.8,0.8,2.4,1.2,0.7,0.2,0.7,0.508,0.359,0.689,15.5,1.7,319,161,79,45,14,44,130,256,28,78,31,45,1039,115,67,3,0
Luka Dončić,doncilu01,21-22,DAL,PG,28.4,0.9,9.1,8.7,1.2,0.6,4.5,0.457,0.353,0.744,35.4,2.2,1847,593,568,75,36,292,641,1403,201,569,364,489,2301,145,65,65,10
Marquese Chriss,chrisma01,21-22,DAL,PF,4.5,1.0,3.0,0.5,0.4,0.4,0.5,0.463,0.32,0.667,10.2,1.9,154,103,17,13,12,17,62,134,8,25,22,33,346,64,34,0,0
Maxi Kleber,klebima01,21-22,DAL,PF,7.0,1.2,5.9,1.2,0.5,1.0,0.8,0.398,0.325,0.708,24.6,2.3,411,350,68,30,58,47,141,354,83,255,46,65,1450,137,59,21,0
Moses Wright,wrighmo01,21-22,LAC-DAL,PF,1.2,0.2,0.8,0.5,0.0,0.2,0.0,0.25,0.0,1.0,3.5,0.0,5,3,2,0,1,0,1,4,0,1,3,3,14,0,4,0,0
Reggie Bullock,bullore01,21-22,DAL,SF,8.6,0.5,3.5,1.2,0.6,0.2,0.6,0.401,0.36,0.833,28.0,1.6,583,241,83,41,14,40,201,501,141,392,40,48,1902,111,68,37,0
Spencer Dinwiddie,dinwisp01,21-22,WAS-DAL,PG,13.7,0.7,4.2,5.2,0.7,0.2,1.6,0.416,0.339,0.774,29.6,2.2,919,279,346,44,13,104,306,735,112,330,195,252,1980,150,67,51,1
Sterling Brown,brownst02,21-22,DAL,SG,3.3,0.5,3.0,0.7,0.3,0.1,0.5,0.381,0.304,0.933,12.8,1.1,160,149,34,14,7,23,59,155,28,92,14,15,628,56,49,3,0
Theo Pinson,pinsoth01,21-22,DAL,SF,2.5,0.1,1.1,0.9,0.3,0.1,0.3,0.359,0.333,1.0,7.8,0.6,48,21,17,5,2,5,14,39,10,30,10,10,148,12,19,0,0
Tim Hardaway Jr.,hardati02,21-22,DAL,SG,14.2,0.3,3.7,2.2,0.9,0.1,0.8,0.394,0.336,0.757,29.6,1.8,598,156,92,38,6,34,209,530,102,304,78,103,1245,74,42,20,0
Trey Burke,burketr01,21-22,DAL,PG,5.1,0.1,0.8,1.4,0.3,0.0,0.6,0.391,0.317,0.87,10.5,0.9,214,33,57,12,0,26,84,215,26,82,20,23,441,39,42,0,0
A.J. Lawson,lawsoaj01,22-23,MIN-DAL,SG,3.7,0.4,1.4,0.1,0.1,0.0,0.2,0.5,0.4,0.25,7.2,0.7,56,21,2,2,0,3,22,44,10,25,2,8,108,11,15,0,0
Chris Silva,silvach01,22-23,DAL,PF,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,3.0,2.0,2,0,0,0,0,1,1,1,0,0,0,0,3,2,1,0,0
Christian Wood,woodch01,22-23,DAL,C,16.6,1.3,7.3,1.8,0.4,1.1,1.8,0.515,0.376,0.772,25.9,2.5,1114,491,121,30,72,121,396,769,105,279,217,281,1738,169,67,17,0
Dwight Powell,poweldw01,22-23,DAL,C,6.7,2.0,4.1,0.9,0.6,0.3,0.9,0.732,0.0,0.667,19.2,2.8,506,314,69,48,26,65,197,269,0,5,112,168,1458,209,76,64,0
Dāvis Bertāns,bertada01,22-23,DAL,PF,4.6,0.2,1.2,0.5,0.2,0.2,0.2,0.431,0.39,0.867,10.9,1.2,206,53,21,11,8,10,69,160,55,141,13,15,492,53,45,1,0
Facundo Campazzo,campafa01,22-23,DAL,PG,1.2,0.0,0.2,1.1,0.8,0.0,0.4,0.231,0.273,0.5,6.5,0.4,10,2,9,6,0,3,3,13,3,11,1,2,52,3,8,0,0
Frank Ntilikina,ntilila01,22-23,DAL,SG,2.9,0.1,1.3,1.2,0.3,0.1,0.6,0.364,0.254,0.667,12.9,1.4,135,62,58,16,7,29,48,132,17,67,22,33,607,65,47,5,0
JaVale McGee,mcgeeja01,22-23,DAL,C,4.4,0.7,2.5,0.3,0.1,0.6,0.9,0.64,0.4,0.585,8.5,1.3,186,107,11,4,26,36,80,125,2,5,24,41,355,54,42,7,0
Jaden Hardy,hardyja02,22-23,DAL,SG,8.8,0.2,1.9,1.4,0.4,0.1,1.0,0.438,0.404,0.823,14.8,1.3,420,89,65,17,7,46,146,333,63,156,65,79,708,64,48,5,0
Josh Green,greenjo02,22-23,DAL,SG,9.1,0.9,3.0,1.7,0.7,0.1,1.2,0.537,0.402,0.723,25.6,2.6,546,182,103,42,5,72,205,382,68,169,68,94,1539,156,60,21,0
Justin Holiday,holidju01,22-23,ATL-DAL,SF,4.5,0.1,1.2,0.9,0.4,0.4,0.5,0.377,0.322,0.625,15.3,1.5,205,55,41,19,19,22,77,204,46,143,5,8,706,68,46,2,0
