Player,Player_ID,Year,Team,Position,PPG,ORPG,RPG,APG,SPG,BPG,TOPG,FG%,3P%,FT%,MPG,FPG,PTS,REB,AST,STL,BLK,TO,FGM,FGA,3PM,3PA,FTM,FTA,MINS,FLS,G,GS,TD
Andre Iguodala,iguodan01,21-22,GSW,SF,4.0,0.7,3.2,3.7,0.9,0.7,0.9,0.38,0.23,0.75,19.5,1.1,124,100,114,27,22,28,46,121,17,74,15,20,603,34,31,0,0
Andrew Wiggins,wiggian01,21-22,GSW,SF,17.2,1.2,4.5,2.2,1.0,0.7,1.5,0.466,0.393,0.634,31.9,2.2,1256,325,161,76,51,111,475,1019,157,399,149,235,2330,158,73,73,0
Chris Chiozza,chiozch01,21-22,GSW,PG,2.0,0.3,1.1,1.9,0.4,0.0,0.9,0.296,0.321,0.667,10.9,0.9,67,36,65,13,0,32,24,81,17,53,2,3,372,32,34,1,0
Damion Lee,leeda03,21-22,GSW,SG,7.4,0.4,3.2,1.0,0.6,0.1,0.6,0.441,0.337,0.88,19.9,1.5,467,203,63,39,6,38,169,383,63,187,66,75,1256,95,63,5,0
Draymond Green,greendr01,21-22,GSW,PF,7.5,1.0,7.3,7.0,1.3,1.1,3.0,0.525,0.296,0.659,28.9,3.0,346,336,320,61,50,139,135,257,16,54,60,91,1329,136,46,44,1
Gary Payton II,paytoga02,21-22,GSW,SG,7.1,1.0,3.5,0.9,1.4,0.3,0.6,0.616,0.358,0.603,17.6,1.8,502,247,64,96,22,40,212,344,43,120,35,58,1248,131,71,16,0
Jonathan Kuminga,kuminjo01,21-22,GSW,SF,9.3,0.8,3.3,0.9,0.4,0.3,1.1,0.513,0.336,0.684,16.9,2.1,652,234,64,31,22,74,236,460,50,149,130,190,1185,146,70,12,0
Jordan Poole,poolejo01,21-22,GSW,SG,18.5,0.4,3.4,4.0,0.8,0.3,2.5,0.448,0.364,0.925,30.0,2.7,1405,260,304,60,23,187,474,1058,211,580,246,266,2283,206,76,51,0
Juan Toscano-Anderson,toscaju01,21-22,GSW,SF,4.1,0.4,2.4,1.7,0.7,0.2,0.9,0.489,0.322,0.571,13.6,1.6,298,176,127,48,17,68,115,235,28,87,40,70,994,115,73,6,0
Kevon Looney,looneke01,21-22,GSW,C,6.0,2.5,7.3,2.0,0.6,0.6,0.8,0.571,0.0,0.6,21.1,2.6,491,596,165,50,52,67,208,364,0,1,75,125,1732,215,82,80,0
