Player,Player_ID,Year,Team,Position,PPG,ORPG,RPG,APG,SPG,BPG,TOPG,FG%,3P%,FT%,MPG,FPG,PTS,REB,AST,STL,BLK,TO,FGM,FGA,3PM,3PA,FTM,FTA,MINS,FLS,G,GS,TD
Bam Adebayo,adebaba01,21-22,MIA,C,19.1,2.4,10.1,3.4,1.4,0.8,2.6,0.557,0.0,0.753,32.6,3.1,1068,564,190,80,44,148,406,729,0,6,256,340,1825,171,56,56,0
Caleb Martin,martica02,21-22,MIA,SF,9.2,1.2,3.8,1.1,1.0,0.5,0.9,0.507,0.413,0.763,22.9,1.7,551,230,64,58,30,52,208,410,64,155,71,93,1372,104,60,12,0
Chris Silva,silvach01,21-22,MIN-MIA,PF,2.6,1.3,3.6,0.7,0.0,0.1,0.8,0.533,,0.833,9.1,2.0,26,36,7,0,1,8,8,15,0,0,10,12,91,20,10,0,0
Dewayne Dedmon,dedmode01,21-22,MIA,C,6.3,1.6,5.8,0.7,0.4,0.6,1.0,0.566,0.404,0.75,15.9,2.6,422,386,47,24,42,70,164,290,19,47,75,100,1065,174,67,15,0
Duncan Robinson,robindu01,21-22,MIA,SG,10.9,0.3,2.6,1.6,0.5,0.2,0.8,0.399,0.372,0.836,25.9,2.5,863,203,129,42,14,60,290,726,232,624,51,61,2043,201,79,68,0
Gabe Vincent,vincega01,21-22,MIA,PG,8.7,0.3,1.9,3.1,0.9,0.2,1.4,0.417,0.368,0.815,23.4,2.3,591,126,210,62,12,98,214,513,119,323,44,54,1589,158,68,27,0
Haywood Highsmith,highsha01,21-22,MIA,SF,2.3,0.5,1.4,0.3,0.1,0.2,0.2,0.348,0.321,0.4,8.6,0.7,43,26,6,2,3,3,16,46,9,28,2,5,163,13,19,1,0
Javonte Smart,smartja01,21-22,MIL-MIA,PG,3.0,0.3,1.4,0.9,0.4,0.2,0.6,0.317,0.296,0.833,11.8,0.7,51,24,16,6,3,11,19,60,8,27,5,6,200,12,17,1,0
Jimmy Butler,butleji01,21-22,MIA,SF,21.4,1.8,5.9,5.5,1.6,0.5,2.1,0.48,0.233,0.87,33.9,1.5,1219,336,312,94,27,121,398,829,27,116,396,455,1931,88,57,57,4
KZ Okpala,okpalkz01,21-22,MIA,PF,3.7,0.5,2.0,0.7,0.2,0.3,0.2,0.435,0.346,0.727,11.6,1.2,77,41,14,4,7,5,30,69,9,26,8,11,244,25,21,0,0
Kyle Guy,guyky01,21-22,MIA,SG,3.9,0.2,0.9,0.9,0.4,0.1,0.7,0.4,0.35,0.667,9.8,0.6,74,17,17,7,1,13,26,65,14,40,8,12,186,12,19,0,0
Kyle Lowry,lowryky01,21-22,MIA,PG,13.4,0.5,4.5,7.5,1.1,0.3,2.7,0.44,0.377,0.851,33.9,2.8,844,282,474,67,17,168,276,627,144,382,148,174,2133,177,63,63,2
Marcus Garrett,garrema01,21-22,MIA,SG,1.1,0.8,1.9,0.6,0.4,0.2,0.2,0.238,0.25,0.4,10.7,1.3,13,23,7,5,3,2,5,21,1,4,2,5,128,16,12,0,0
Markieff Morris,morrima02,21-22,MIA,PF,7.6,1.0,2.6,1.4,0.4,0.1,1.2,0.474,0.333,0.889,17.5,1.9,129,45,23,6,1,20,54,114,13,39,8,9,298,33,17,1,0
Max Strus,strusma01,21-22,MIA,SF,10.6,0.4,3.0,1.4,0.4,0.2,0.8,0.441,0.41,0.792,23.3,1.7,721,202,92,28,16,57,249,564,181,442,42,53,1587,116,68,16,0
Mychal Mulder,muldemy01,21-22,ORL-MIA,PG,4.1,0.1,1.4,0.3,0.2,0.1,0.5,0.312,0.315,1.0,14.1,0.8,69,24,5,4,2,8,24,77,17,54,4,4,239,13,17,3,0
Omer Yurtseven,yurtsom01,21-22,MIA,C,5.3,1.5,5.2,0.9,0.3,0.4,0.7,0.526,0.091,0.623,12.6,1.5,299,294,49,17,20,41,130,247,1,11,38,61,706,84,56,12,0
P.J. Tucker,tuckepj01,21-22,MIA,PF,7.6,1.4,5.5,2.1,0.8,0.2,0.9,0.484,0.415,0.738,27.9,2.3,539,387,149,58,15,66,207,428,80,193,45,61,1981,161,71,70,0
Tyler Herro,herroty01,21-22,MIA,SG,20.7,0.5,5.0,4.0,0.7,0.1,2.6,0.447,0.399,0.868,32.6,1.4,1367,329,263,44,8,174,501,1122,175,439,190,219,2151,95,66,10,0
Udonis Haslem,hasleud01,21-22,MIA,C,2.5,0.3,1.9,0.3,0.1,0.1,0.4,0.452,0.25,1.0,6.4,1.2,32,25,4,1,1,5,14,31,1,4,3,3,83,15,13,0,0
Victor Oladipo,oladivi01,21-22,MIA,SG,12.4,0.4,2.9,3.5,0.6,0.1,2.0,0.479,0.417,0.737,21.6,1.6,99,23,28,5,1,16,35,73,15,36,14,19,173,13,8,1,0
Bam Adebayo,adebaba01,22-23,MIA,C,20.4,2.5,9.2,3.2,1.2,0.8,2.5,0.54,0.083,0.806,34.6,2.8,1529,688,240,88,61,187,602,1114,1,12,324,402,2598,208,75,75,0
Caleb Martin,martica02,22-23,MIA,SF,9.6,1.2,4.8,1.6,1.0,0.4,1.1,0.464,0.356,0.805,29.3,2.0,683,344,117,71,31,78,254,548,84,236,91,113,2077,145,71,49,0
Cody Zeller,zelleco01,22-23,MIA,C,6.5,1.7,4.3,0.7,0.2,0.3,0.9,0.627,0.0,0.686,14.5,2.2,98,64,10,3,4,14,37,59,0,2,24,35,217,33,15,2,0
Duncan Robinson,robindu01,22-23,MIA,SF,6.4,0.2,1.6,1.1,0.3,0.0,0.7,0.371,0.328,0.906,16.5,1.8,268,69,46,14,0,28,88,237,63,192,29,32,691,77,42,1,0
Gabe Vincent,vincega01,22-23,MIA,PG,9.4,0.4,2.1,2.5,0.9,0.1,1.4,0.402,0.334,0.872,25.9,2.3,641,145,167,62,5,92,228,567,117,350,68,78,1759,154,68,34,0
Haywood Highsmith,highsha01,22-23,MIA,PF,4.4,1.1,3.5,0.8,0.7,0.3,0.8,0.431,0.339,0.464,17.9,1.5,236,188,43,36,17,45,93,216,37,109,13,28,969,82,54,11,0
Jamal Cain,cainja01,22-23,MIA,PF,5.4,0.8,2.9,0.7,0.6,0.1,0.3,0.561,0.35,0.773,13.3,1.2,98,52,12,11,1,6,37,66,7,20,17,22,240,21,18,0,0
Jimmy Butler,butleji01,22-23,MIA,PF,22.9,2.2,5.9,5.3,1.8,0.3,1.6,0.539,0.35,0.85,33.4,1.2,1466,375,340,117,21,101,479,888,36,103,472,555,2138,80,64,64,0
Kevin Love,loveke01,22-23,CLE-MIA,PF,8.2,1.0,6.4,1.9,0.3,0.2,1.1,0.389,0.334,0.879,20.0,1.6,509,399,116,16,12,70,165,424,99,296,80,91,1240,97,62,20,0
Kyle Lowry,lowryky01,22-23,MIA,PG,11.2,0.8,4.1,5.1,1.0,0.4,1.9,0.404,0.345,0.859,31.2,2.6,615,225,281,57,21,103,196,485,107,310,116,135,1718,143,55,44,1
Max Strus,strusma01,22-23,MIA,SF,11.5,0.6,3.2,2.1,0.5,0.2,0.9,0.41,0.35,0.876,28.4,2.1,923,258,171,42,12,70,324,790,197,563,78,89,2272,166,80,33,0
Nikola Jović,jovicni01,22-23,MIA,PF,5.5,0.6,2.1,0.7,0.5,0.1,0.7,0.406,0.229,0.947,13.6,1.3,82,31,10,7,2,10,28,69,8,35,18,19,204,19,15,8,0
Omer Yurtseven,yurtsom01,22-23,MIA,C,4.4,0.9,2.6,0.2,0.2,0.2,0.4,0.593,0.429,0.833,9.2,1.8,40,23,2,2,2,4,16,27,3,7,5,6,83,16,9,0,0
Orlando Robinson,robinor01,22-23,MIA,C,3.7,1.5,4.1,0.8,0.4,0.4,0.5,0.528,0.0,0.71,13.7,1.7,116,126,25,12,12,16,47,89,0,6,22,31,425,53,31,1,0
Tyler Herro,herroty01,22-23,MIA,SG,20.1,0.4,5.4,4.2,0.8,0.2,2.4,0.439,0.378,0.934,34.9,1.5,1347,360,280,51,16,158,487,1109,203,537,170,182,2337,101,67,67,1
Udonis Haslem,hasleud01,22-23,MIA,C,3.9,0.6,1.6,0.0,0.1,0.3,0.1,0.345,0.333,0.8,10.1,1.6,27,11,0,1,2,1,10,29,3,9,4,5,71,11,7,1,0
Victor Oladipo,oladivi01,22-23,MIA,SG,10.7,0.4,3.0,3.5,1.4,0.3,2.1,0.397,0.33,0.747,26.3,2.4,449,128,146,57,12,87,160,403,70,212,59,79,1106,99,42,2,0
Alondes Williams,willial06,23-24,MIA,SG,0.7,0.0,0.1,0.0,0.0,0.1,0.3,0.25,0.0,1.0,2.3,0.3,5,1,0,0,1,2,2,8,0,4,1,1,16,2,7,0,0
Bam Adebayo,adebaba01,23-24,MIA,C,19.3,2.2,10.4,3.9,1.1,0.9,2.3,0.521,0.357,0.755,34.0,2.2,1367,737,278,81,66,162,530,1017,15,42,292,387,2416,159,71,71,2
Caleb Martin,martica02,23-24,MIA,SF,10.0,1.2,4.4,2.2,0.7,0.5,1.2,0.431,0.349,0.778,27.4,2.0,640,281,143,47,29,77,241,559,81,232,77,99,1756,126,64,23,0
Cole Swider,swideco01,23-24,MIA,SF,2.3,0.1,0.4,0.3,0.1,0.1,0.4,0.395,0.333,1.0,4.8,0.2,42,7,5,1,1,8,15,38,10,30,2,2,87,4,18,0,0
Delon Wright,wrighde01,23-24,WAS-MIA,PG,4.5,0.4,1.8,2.5,1.1,0.2,0.3,0.394,0.368,0.822,15.8,0.7,210,86,119,54,11,14,74,188,25,68,37,45,742,32,47,1,0
Dru Smith,smithdr01,23-24,MIA,SG,4.3,0.7,1.6,1.6,1.0,0.3,0.6,0.455,0.412,1.0,14.6,1.3,39,14,14,9,3,5,15,33,7,17,2,2,131,12,9,0,0
Duncan Robinson,robindu01,23-24,MIA,SF,12.9,0.2,2.5,2.8,0.7,0.2,1.4,0.45,0.395,0.889,28.0,2.4,875,173,192,46,16,95,304,675,187,473,80,90,1905,163,68,36,0
Haywood Highsmith,highsha01,23-24,MIA,PF,6.1,1.0,3.2,1.1,0.8,0.5,0.5,0.465,0.396,0.639,20.7,1.8,405,210,70,53,30,34,153,329,76,192,23,36,1366,117,66,26,0
Jaime Jaquez Jr.,jaqueja01,23-24,MIA,SF,11.9,1.1,3.8,2.6,1.0,0.3,1.5,0.489,0.322,0.811,28.2,2.2,889,285,195,77,20,110,341,697,65,202,142,175,2113,167,75,20,0
Jamal Cain,cainja01,23-24,MIA,PF,3.7,0.6,1.4,0.4,0.4,0.2,0.3,0.43,0.355,0.783,10.0,0.8,97,37,10,10,5,8,34,79,11,31,18,23,259,22,26,1,0
Jimmy Butler,butleji01,23-24,MIA,PF,20.8,1.8,5.3,5.0,1.3,0.3,1.7,0.499,0.414,0.858,34.0,1.1,1246,318,298,79,17,102,396,793,60,145,394,459,2042,68,60,60,1
Josh Richardson,richajo01,23-24,MIA,SG,9.9,0.4,2.8,2.4,0.6,0.3,0.8,0.444,0.347,0.944,25.7,1.8,425,121,105,24,14,36,154,347,66,190,51,54,1103,76,43,6,0
Kevin Love,loveke01,23-24,MIA,PF,8.8,1.1,6.1,2.1,0.3,0.2,0.9,0.44,0.344,0.787,16.8,1.8,485,338,115,18,10,48,158,359,84,244,85,108,924,97,55,5,0
Nikola Jović,jovicni01,23-24,MIA,PF,7.7,0.5,4.2,2.0,0.5,0.3,0.9,0.452,0.399,0.702,19.5,1.8,352,192,90,25,14,42,127,281,65,163,33,47,896,82,46,38,0
Orlando Robinson,robinor01,23-24,MIA,C,2.8,0.8,2.3,0.9,0.2,0.2,0.5,0.5,0.533,0.76,8.4,1.0,99,84,34,7,8,18,36,72,8,15,19,25,304,35,36,7,0
Patty Mills,millspa02,23-24,ATL-MIA,PG,4.0,0.3,1.1,1.1,0.6,0.0,0.5,0.351,0.276,1.0,13.0,1.0,127,35,34,20,1,16,46,131,24,87,11,11,415,32,32,5,0
R.J. Hampton,hamptrj01,23-24,MIA,PG,1.2,0.2,0.8,1.0,0.0,0.0,0.4,0.286,0.125,0.5,9.5,1.0,10,6,8,0,0,3,4,14,1,8,1,2,76,8,8,2,0
Terry Rozier,roziete01,23-24,CHO-MIA,SG,19.8,0.6,4.0,5.6,1.0,0.3,1.7,0.443,0.363,0.869,33.4,1.7,1205,247,342,63,21,106,442,998,149,410,172,198,2040,101,61,60,0
Thomas Bryant,bryanth01,23-24,MIA,C,5.7,1.1,3.7,0.6,0.3,0.4,0.6,0.577,0.182,0.872,11.6,1.2,217,141,23,10,16,21,86,149,4,22,41,47,441,46,38,4,0
Tyler Herro,herroty01,23-24,MIA,SG,20.8,0.5,5.3,4.5,0.7,0.1,2.2,0.441,0.396,0.856,33.5,1.5,875,222,188,30,3,93,324,735,132,333,95,111,1407,63,42,40,0
Alec Burks,burksal01,24-25,MIA,SG,7.3,0.3,2.5,1.1,0.6,0.1,0.6,0.424,0.425,0.776,17.6,0.8,356,124,55,28,7,29,115,271,88,207,38,49,863,37,49,14,0
Andrew Wiggins,wiggian01,24-25,GSW-MIA,SF,18.0,1.5,4.5,2.6,1.0,0.8,1.6,0.448,0.374,0.763,30.7,1.7,1078,269,158,60,50,99,376,839,130,348,196,257,1842,101,60,60,0
Bam Adebayo,adebaba01,24-25,MIA,C,18.1,2.4,9.6,4.3,1.3,0.7,2.1,0.485,0.357,0.765,34.3,2.1,1410,749,337,98,53,161,540,1113,79,221,251,328,2674,162,78,78,1
Davion Mitchell,mitchda01,24-25,TOR-MIA,PG,7.9,0.5,2.3,4.9,1.0,0.2,1.7,0.468,0.398,0.69,27.4,2.5,588,167,363,72,16,128,223,476,84,211,58,84,2027,185,74,37,0
Dru Smith,smithdr01,24-25,MIA,SG,6.2,0.9,2.6,1.6,1.5,0.4,1.2,0.508,0.533,0.75,19.1,2.1,87,36,23,21,6,17,31,61,16,30,9,12,268,30,14,1,0
Duncan Robinson,robindu01,24-25,MIA,SF,11.0,0.2,2.3,2.4,0.5,0.1,1.2,0.437,0.393,0.887,24.1,1.8,817,167,176,40,6,86,290,663,190,483,47,53,1786,135,74,37,0
Haywood Highsmith,highsha01,24-25,MIA,SF,6.5,1.0,3.4,1.5,0.9,0.5,0.7,0.458,0.382,0.721,24.6,2.2,478,252,112,68,37,54,179,391,89,233,31,43,1818,164,74,42,0
Isaiah Stevens,steveis01,24-25,MIA,PG,0.0,0.0,0.7,0.0,0.3,0.0,0.0,0.0,0.0,,2.0,0.0,0,2,0,1,0,0,0,2,0,1,0,0,6,0,3,0,0
Jaime Jaquez Jr.,jaqueja01,24-25,MIA,SF,8.6,1.3,4.4,2.5,0.9,0.2,1.5,0.461,0.311,0.754,20.7,1.2,570,290,166,61,14,98,213,462,37,119,107,142,1368,81,66,17,1
Josh Christopher,chrisjo01,24-25,MIA,SG,2.0,0.0,0.6,0.6,0.4,0.2,0.4,0.355,0.182,0.667,4.9,0.1,28,9,8,5,3,6,11,31,2,11,4,6,69,2,14,0,0
Josh Richardson,richajo01,24-25,MIA,SG,4.0,0.8,1.5,1.5,1.0,0.1,1.0,0.289,0.273,1.0,18.8,2.1,32,12,12,8,1,8,11,38,6,22,4,4,150,17,8,0,0
Kel'el Ware,wareke01,24-25,MIA,C,9.3,1.8,7.4,0.9,0.6,1.1,0.9,0.554,0.315,0.687,22.2,1.7,595,473,60,39,71,57,257,464,35,111,46,67,1422,111,64,36,0
Keshad Johnson,johnske10,24-25,MIA,SF,2.7,0.4,1.8,0.2,0.3,0.2,0.2,0.692,0.429,0.444,6.1,0.7,43,28,4,5,4,4,18,26,3,7,4,9,98,11,16,0,0
Kevin Love,loveke01,24-25,MIA,PF,5.3,1.0,4.1,1.0,0.7,0.2,0.6,0.357,0.358,0.696,10.9,0.9,122,94,22,15,4,14,41,115,24,67,16,23,251,21,23,9,0
Kyle Anderson,anderky01,24-25,GSW-MIA,PF,5.9,0.9,3.4,2.4,0.7,0.5,0.6,0.469,0.357,0.738,16.4,1.3,357,206,145,40,33,37,142,303,25,70,48,65,1002,81,61,4,0
Nikola Jović,jovicni01,24-25,MIA,PF,10.7,0.6,3.9,2.8,0.8,0.3,1.3,0.456,0.371,0.828,25.1,1.8,494,180,131,38,13,60,172,377,78,210,72,87,1156,82,46,10,0
Pelle Larsson,larsspe01,24-25,MIA,SG,4.6,0.5,1.7,1.2,0.6,0.1,0.4,0.438,0.337,0.672,14.2,1.7,251,92,65,32,7,24,89,203,32,95,41,61,782,91,55,8,0
Terry Rozier,roziete01,24-25,MIA,PG,10.6,0.7,3.7,2.6,0.6,0.2,1.2,0.391,0.295,0.852,25.9,1.1,679,238,167,37,14,78,248,635,91,308,92,108,1658,73,64,23,0
Tyler Herro,herroty01,24-25,MIA,SG,23.9,0.5,5.2,5.5,0.9,0.2,2.6,0.472,0.375,0.878,35.4,1.1,1840,399,424,69,17,198,651,1378,251,670,287,327,2725,85,77,77,0
Andrew Wiggins,wiggian01,25-26,MIA,SF,15.4,1.7,4.8,2.7,1.1,1.0,1.5,0.475,0.414,0.784,30.3,2.3,1045,329,182,76,69,103,390,821,138,333,127,162,2063,156,68,68,0
Bam Adebayo,adebaba01,25-26,MIA,C,20.1,2.0,10.0,3.2,1.2,0.7,1.6,0.442,0.318,0.778,32.4,1.7,1468,732,232,86,49,120,506,1145,127,400,329,423,2365,122,73,73,0
Davion Mitchell,mitchda01,25-26,MIA,PG,9.3,0.5,2.7,6.5,1.0,0.2,1.5,0.49,0.395,0.646,28.6,2.6,654,186,453,68,11,108,261,533,90,228,42,65,2000,181,70,70,0
Dru Smith,smithdr01,25-26,MIA,SG,5.6,0.9,2.5,2.6,1.4,0.3,0.8,0.415,0.295,0.829,16.3,1.6,395,173,180,100,21,55,135,325,38,129,87,105,1141,109,70,1,0
Jahmir Young,youngja05,25-26,MIA,PG,1.8,0.1,0.3,0.6,0.1,0.0,0.2,0.4,0.333,1.0,4.1,0.5,25,4,9,1,0,3,10,25,3,9,2,2,58,7,14,0,0
