Player,Player_ID,Year,Team,Position,PPG,ORPG,RPG,APG,SPG,BPG,TOPG,FG%,3P%,FT%,MPG,FPG,PTS,REB,AST,STL,BLK,TO,FGM,FGA,3PM,3PA,FTM,FTA,MINS,FLS,G,GS,TD
Anthony Edwards,edwaran01,21-22,MIN,SG,21.3,0.9,4.8,3.8,1.5,0.6,2.6,0.441,0.357,0.786,34.2,2.3,1533,343,275,105,46,190,549,1245,215,602,220,280,2466,164,72,72,0
D'Angelo Russell,russeda01,21-22,MIN,PG,18.1,0.4,3.3,7.1,1.0,0.3,2.5,0.411,0.34,0.825,32.0,2.0,1176,216,460,62,22,165,401,975,176,518,198,240,2077,130,65,65,0
Jaden McDaniels,mcdanja02,21-22,MIN,PF,9.2,1.1,4.2,1.1,0.7,0.8,1.1,0.46,0.317,0.803,25.8,3.2,647,293,79,52,54,75,255,554,80,252,57,71,1803,224,70,31,0
Jake Layman,laymaja01,21-22,MIN,SF,2.4,0.2,1.1,0.3,0.2,0.1,0.3,0.411,0.229,0.722,6.8,0.4,81,36,9,7,5,10,30,73,8,35,13,18,231,12,34,1,0
Jarred Vanderbilt,vandeja01,21-22,MIN,PF,6.9,2.9,8.4,1.3,1.3,0.6,1.0,0.587,0.143,0.656,25.4,2.4,512,624,94,99,46,73,212,361,2,14,86,131,1880,181,74,67,0
Jaylen Nowell,nowelja01,21-22,MIN,SG,8.5,0.4,2.0,2.1,0.4,0.2,0.6,0.475,0.394,0.783,15.7,1.2,527,123,130,27,10,36,196,413,63,160,72,92,975,73,62,1,0
Jordan McLaughlin,mclaujo01,21-22,MIN,PG,3.8,0.4,1.5,2.9,0.9,0.2,0.6,0.44,0.318,0.75,14.5,0.9,233,94,180,57,10,38,88,200,27,85,30,40,902,54,62,3,0
Josh Okogie,okogijo01,21-22,MIN,SG,2.7,0.6,1.4,0.5,0.5,0.2,0.5,0.404,0.298,0.686,10.5,1.1,133,70,25,26,12,23,42,104,14,47,35,51,516,53,49,6,0
Karl-Anthony Towns,townska01,21-22,MIN,C,24.6,2.6,9.8,3.6,1.0,1.1,3.1,0.529,0.41,0.822,33.5,3.6,1818,727,269,72,83,226,642,1214,150,366,384,467,2476,267,74,74,1
Leandro Bolmaro,bolmale01,21-22,MIN,SF,1.4,0.5,1.2,0.6,0.2,0.0,0.4,0.315,0.278,0.846,6.9,0.7,50,43,21,6,0,13,17,54,5,18,11,13,241,26,35,2,0
Malik Beasley,beaslma01,21-22,MIN,SG,12.1,0.3,2.9,1.5,0.5,0.2,0.5,0.391,0.377,0.817,25.0,1.1,953,227,116,43,12,43,332,850,240,637,49,60,1976,88,79,18,0
McKinley Wright IV,wrighmc01,21-22,MIN,PG,1.0,0.0,0.0,0.6,0.0,0.0,0.2,0.667,0.5,,3.8,0.2,5,0,3,0,0,1,2,3,1,2,0,0,19,1,5,0,0
Nathan Knight,knighna01,21-22,MIN,PF,3.7,0.9,2.3,0.6,0.2,0.2,0.5,0.511,0.308,0.733,7.2,1.1,138,85,22,7,8,18,45,88,4,13,44,60,267,42,37,2,0
Naz Reid,reidna01,21-22,MIN,C,8.3,1.3,3.9,0.9,0.5,0.9,1.1,0.489,0.343,0.765,15.8,2.2,637,301,71,40,71,82,233,476,57,166,114,149,1215,172,77,6,0
Patrick Beverley,beverpa01,21-22,MIN,PG,9.2,1.1,4.1,4.6,1.2,0.9,1.3,0.406,0.343,0.722,25.4,3.0,533,240,268,67,52,73,177,436,83,242,96,133,1476,174,58,54,0
Taurean Prince,princta02,21-22,MIN,PF,7.3,0.4,2.5,1.0,0.7,0.3,0.8,0.454,0.376,0.756,17.1,1.7,502,174,68,47,23,53,177,390,86,229,62,82,1177,116,69,8,0
Anthony Edwards,edwaran01,22-23,MIN,SG,24.6,0.6,5.8,4.4,1.6,0.7,3.3,0.459,0.369,0.756,36.0,2.4,1946,458,350,125,58,259,707,1541,213,578,319,422,2842,186,79,79,0
Austin Rivers,riverau01,22-23,MIN,SG,4.9,0.1,1.6,1.4,0.5,0.1,0.4,0.435,0.35,0.769,19.5,1.5,255,83,75,28,4,23,91,209,43,123,30,39,1016,80,52,10,0
Bryn Forbes,forbebr01,22-23,MIN,SG,3.6,0.2,0.6,0.7,0.3,0.1,0.5,0.361,0.304,1.0,10.7,0.9,89,15,17,7,2,12,30,83,14,46,15,15,268,22,25,0,0
Jaden McDaniels,mcdanja02,22-23,MIN,SF,12.1,1.2,3.9,1.9,0.9,1.0,1.4,0.517,0.398,0.736,30.6,3.4,953,307,148,74,76,112,370,716,107,269,106,144,2416,272,79,79,0
Jaylen Nowell,nowelja01,22-23,MIN,SG,10.8,0.6,2.6,2.0,0.6,0.1,1.0,0.448,0.289,0.778,19.3,1.6,704,170,132,42,5,65,280,625,67,232,77,99,1252,101,65,2,0
Jordan McLaughlin,mclaujo01,22-23,MIN,PG,3.7,0.3,1.4,3.4,0.7,0.1,0.8,0.421,0.308,0.833,15.8,0.7,161,62,148,32,4,33,61,145,24,78,15,18,678,28,43,0,0
Josh Minott,minotjo01,22-23,MIN,SF,3.1,0.3,1.7,0.3,0.3,0.4,0.2,0.5,0.333,1.0,6.4,0.7,46,25,5,4,6,3,18,36,2,6,8,8,96,10,15,0,0
Karl-Anthony Towns,townska01,22-23,MIN,PF,20.8,1.7,8.1,4.8,0.7,0.6,3.0,0.495,0.366,0.874,33.0,3.8,602,236,140,20,17,86,212,428,60,164,118,135,957,111,29,29,0
Kyle Anderson,anderky01,22-23,MIN,PF,9.4,1.0,5.3,4.9,1.1,0.9,1.5,0.509,0.41,0.735,28.4,2.1,647,368,335,78,63,103,252,495,43,105,100,136,1957,146,69,46,3
Luka Garza,garzalu01,22-23,MIN,C,6.5,1.2,2.2,0.6,0.1,0.1,0.5,0.543,0.359,0.788,8.7,1.5,181,63,18,3,2,14,63,116,14,39,41,52,243,43,28,0,0
Matt Ryan,ryanma01,22-23,LAL-MIN,SF,3.6,0.1,0.8,0.5,0.1,0.0,0.2,0.37,0.381,0.833,9.1,0.8,122,26,16,5,1,7,40,108,32,84,10,12,310,27,34,0,0
Mike Conley,conlemi01,22-23,UTA-MIN,PG,11.9,0.5,2.7,6.7,1.1,0.2,1.5,0.428,0.385,0.834,30.3,2.1,798,182,450,73,14,103,261,610,135,351,141,169,2029,139,67,66,0
Nathan Knight,knighna01,22-23,MIN,C,3.7,0.6,1.5,0.3,0.3,0.2,0.6,0.568,0.364,0.684,7.7,1.1,139,56,13,10,6,21,46,81,8,22,39,57,291,41,38,0,0
Naz Reid,reidna01,22-23,MIN,C,11.5,1.1,4.9,1.1,0.6,0.8,1.4,0.537,0.346,0.677,18.4,2.6,781,333,77,42,53,92,310,577,75,217,86,127,1251,176,68,11,0
Nickeil Alexander-Walker,alexani01,22-23,UTA-MIN,SG,6.2,0.3,1.7,1.8,0.5,0.4,0.9,0.444,0.384,0.667,15.0,1.5,363,101,108,32,21,55,131,295,61,159,40,60,884,88,59,3,0
Rudy Gobert,goberru01,22-23,MIN,C,13.4,3.3,11.6,1.2,0.8,1.4,1.7,0.659,0.0,0.644,30.7,3.0,939,814,87,56,95,122,360,546,0,3,219,340,2148,210,70,70,0
Taurean Prince,princta02,22-23,MIN,PF,9.1,0.3,2.4,1.6,0.5,0.3,1.3,0.467,0.381,0.844,22.1,2.3,493,132,84,28,15,69,177,379,74,194,65,77,1192,123,54,4,0
Wendell Moore Jr.,moorewe01,22-23,MIN,SG,1.4,0.1,0.6,0.6,0.3,0.2,0.3,0.419,0.118,0.8,5.3,0.4,42,18,18,8,5,8,18,43,2,17,4,5,153,13,29,2,0
Anthony Edwards,edwaran01,23-24,MIN,SG,25.9,0.7,5.4,5.1,1.3,0.5,3.1,0.461,0.357,0.836,35.1,1.8,2049,430,405,101,42,241,718,1558,190,532,423,506,2770,141,79,78,0
Daishen Nix,nixda01,23-24,MIN,PG,1.8,0.1,0.2,0.4,0.3,0.0,0.3,0.375,0.353,0.5,3.3,0.1,27,3,6,5,0,5,9,24,6,17,3,6,50,2,15,0,0
Jaden McDaniels,mcdanja02,23-24,MIN,SF,10.5,0.8,3.1,1.4,0.9,0.6,1.2,0.489,0.337,0.722,29.2,3.0,757,224,101,63,42,87,307,628,86,255,57,79,2105,219,72,71,0
Jordan McLaughlin,mclaujo01,23-24,MIN,PG,3.5,0.3,1.3,2.0,0.6,0.1,0.3,0.483,0.472,0.722,11.2,0.6,195,72,110,35,7,19,70,145,42,89,13,18,626,31,56,0,0
Josh Minott,minotjo01,23-24,MIN,SF,1.6,0.1,0.5,0.2,0.2,0.2,0.1,0.472,0.4,0.857,2.8,0.3,50,17,8,5,5,2,17,36,4,10,12,14,91,10,32,0,0
Justin Jackson,jacksju01,23-24,MIN,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
Karl-Anthony Towns,townska01,23-24,MIN,PF,21.8,1.5,8.3,3.0,0.7,0.7,2.9,0.504,0.416,0.873,32.7,3.3,1349,515,189,43,41,177,479,951,136,327,255,292,2026,204,62,62,0
Kyle Anderson,anderky01,23-24,MIN,PF,6.4,0.8,3.5,4.2,0.9,0.6,1.2,0.46,0.229,0.708,22.6,1.6,506,273,331,71,47,91,199,433,11,48,97,137,1782,128,79,10,0
Leonard Miller,millele01,23-24,MIN,SF,1.7,0.3,1.2,0.5,0.1,0.1,0.1,0.65,0.4,0.5,3.1,0.3,29,20,8,2,1,1,13,20,2,5,1,2,52,5,17,0,0
Luka Garza,garzalu01,23-24,MIN,C,4.0,0.8,1.2,0.2,0.2,0.0,0.2,0.48,0.281,0.72,4.9,1.0,99,31,4,4,1,6,36,75,9,32,18,25,122,24,25,0,0
Mike Conley,conlemi01,23-24,MIN,PG,11.4,0.5,2.9,5.9,1.2,0.2,1.3,0.457,0.442,0.911,28.9,1.7,869,218,449,88,17,102,294,644,179,405,102,112,2193,128,76,76,0
Monte Morris,morrimo01,23-24,DET-MIN,PG,5.0,0.2,1.7,2.1,0.6,0.3,0.2,0.405,0.386,0.684,14.4,0.4,164,57,69,19,9,7,62,153,27,70,13,19,476,14,33,0,0
Naz Reid,reidna01,23-24,MIN,PF,13.5,0.9,5.2,1.3,0.8,0.9,1.4,0.477,0.414,0.736,24.2,2.1,1090,423,106,63,73,111,406,851,169,408,109,148,1964,172,81,14,0
Nickeil Alexander-Walker,alexani01,23-24,MIN,SG,8.0,0.4,2.0,2.5,0.8,0.5,0.9,0.439,0.391,0.8,23.4,1.7,655,167,204,64,42,76,236,538,131,335,52,65,1921,143,82,20,0
Rudy Gobert,goberru01,23-24,MIN,C,14.0,3.8,12.9,1.3,0.7,2.1,1.6,0.661,0.0,0.638,34.1,3.1,1061,982,102,52,162,118,406,614,0,3,249,390,2593,238,76,76,0
T.J. Warren,warretj01,23-24,MIN,SF,3.7,0.5,2.0,0.8,0.4,0.1,0.4,0.439,0.154,0.75,11.4,1.0,41,22,9,4,1,4,18,41,2,13,3,4,125,11,11,0,0
Wendell Moore Jr.,moorewe01,23-24,MIN,SG,0.7,0.0,0.5,0.2,0.2,0.0,0.2,0.5,0.0,,3.0,0.2,18,12,6,5,1,4,9,18,0,6,0,0,75,5,25,0,0
Anthony Edwards,edwaran01,24-25,MIN,SG,27.6,0.8,5.7,4.5,1.2,0.6,3.2,0.447,0.395,0.837,36.3,1.9,2177,450,359,91,51,249,721,1612,320,811,415,496,2871,150,79,79,0
Bones Hyland,hylanbo01,24-25,LAC-MIN,PG,6.2,0.2,1.0,1.3,0.8,0.2,1.0,0.398,0.39,0.885,10.0,1.2,149,25,32,18,4,25,47,118,32,82,23,26,239,29,24,0,0
Daishen Nix,nixda01,24-25,MIN,PG,0.3,0.0,1.3,1.0,0.0,0.0,1.3,0.0,0.0,0.5,4.3,0.3,1,4,3,0,0,4,0,1,0,1,1,2,13,1,3,0,0
Donte DiVincenzo,divindo01,24-25,MIN,SG,11.7,0.5,3.7,3.6,1.2,0.3,1.6,0.422,0.397,0.778,25.9,1.8,723,228,225,73,17,99,250,593,174,438,49,63,1606,114,62,10,0
Jaden McDaniels,mcdanja02,24-25,MIN,PF,12.2,1.6,5.7,2.0,1.3,0.9,1.2,0.477,0.33,0.813,31.9,2.7,1000,470,163,110,74,95,398,834,100,303,104,128,2614,225,82,82,0
Jaylen Clark,clarkja02,24-25,MIN,SG,4.1,0.6,1.3,0.6,0.9,0.0,0.2,0.467,0.431,0.784,13.0,1.5,163,53,26,36,2,8,56,120,22,51,29,37,522,61,40,4,0
Jesse Edwards,edwarje01,24-25,MIN,C,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,,,2.5,1.0,0,0,1,0,0,0,0,0,0,0,0,0,5,2,2,0,0
Joe Ingles,inglejo01,24-25,MIN,SF,0.8,0.1,0.6,1.2,0.1,0.0,0.5,0.261,0.2,,6.0,0.6,15,11,23,2,0,9,6,23,3,15,0,0,114,12,19,1,0
Josh Minott,minotjo01,24-25,MIN,SF,2.6,0.3,1.0,0.4,0.3,0.3,0.2,0.489,0.326,0.895,6.0,0.7,119,47,18,15,12,11,44,90,14,43,17,19,276,34,46,0,0
Julius Randle,randlju01,24-25,MIN,PF,18.7,2.1,7.1,4.7,0.7,0.2,2.8,0.485,0.344,0.806,32.3,2.5,1288,487,323,47,16,196,455,939,108,314,270,335,2226,175,69,69,0
