Player,Player_ID,Year,Team,Position,PPG,ORPG,RPG,APG,SPG,BPG,TOPG,FG%,3P%,FT%,MPG,FPG,PTS,REB,AST,STL,BLK,TO,FGM,FGA,3PM,3PA,FTM,FTA,MINS,FLS,G,GS,TD
Alize Johnson,johnsal02,21-22,CHI-WAS-NOP,PF,1.8,1.2,2.7,0.4,0.2,0.0,0.5,0.436,0.0,0.583,7.3,0.8,41,61,9,5,0,12,17,39,0,4,7,12,167,18,23,0,0
Brandon Ingram,ingrabr01,21-22,NOP,SF,22.7,0.6,5.8,5.6,0.6,0.5,2.7,0.461,0.327,0.826,34.0,2.2,1246,320,307,34,26,151,453,983,74,226,266,322,1869,119,55,55,0
CJ McCollum,mccolcj01,21-22,POR-NOP,PG,22.1,0.9,4.3,5.1,1.1,0.4,2.0,0.46,0.388,0.682,34.6,2.0,1370,269,315,70,22,127,536,1164,182,469,116,170,2145,121,62,62,0
Devonte' Graham,grahade01,21-22,NOP,PG,11.9,0.5,2.3,4.2,0.9,0.2,1.4,0.363,0.341,0.843,28.4,1.2,902,177,316,71,12,105,296,815,192,563,118,140,2162,95,76,63,0
Garrett Temple,templga01,21-22,NOP,SG,5.2,0.5,2.4,1.3,0.7,0.4,0.7,0.376,0.319,0.683,18.6,1.4,309,143,74,43,23,42,111,295,59,185,28,41,1098,81,59,16,0
Gary Clark,clarkga01,21-22,NOP,PF,2.7,0.6,2.4,0.5,0.3,0.2,0.3,0.375,0.4,0.7,9.9,0.5,101,90,18,13,7,10,33,88,28,70,7,10,378,20,38,1,0
Herbert Jones,joneshe01,21-22,NOP,PF,9.5,1.3,3.8,2.1,1.7,0.8,1.3,0.476,0.337,0.84,29.9,3.1,742,296,167,130,60,100,274,576,57,169,137,163,2335,238,78,69,0
Jared Harper,harpeja01,21-22,NOP,PG,7.4,0.4,0.4,2.8,0.8,0.2,0.4,0.538,0.417,1.0,8.6,1.0,37,2,14,4,1,2,14,26,5,12,4,4,43,5,5,0,0
Jaxson Hayes,hayesja02,21-22,NOP,C,9.3,1.6,4.5,0.6,0.5,0.8,0.8,0.616,0.351,0.766,20.0,2.2,654,315,43,33,55,54,245,398,20,57,144,188,1398,155,70,28,0
Jonas Valančiūnas,valanjo01,21-22,NOP,C,17.8,3.1,11.4,2.6,0.6,0.8,2.4,0.544,0.361,0.82,30.3,3.3,1314,843,190,41,60,179,510,938,57,158,237,289,2240,247,74,74,0
Jose Alvarado,alvarjo01,21-22,NOP,PG,6.1,0.5,1.9,2.8,1.3,0.1,0.7,0.446,0.291,0.679,15.4,1.4,330,100,152,71,7,40,131,294,32,110,36,53,834,73,54,1,0
Kira Lewis Jr.,lewiski01,21-22,NOP,PG,5.9,0.4,1.6,2.0,0.5,0.0,1.1,0.404,0.224,0.833,14.2,0.7,141,39,49,11,1,26,59,146,13,58,10,12,341,17,24,0,0
Larry Nance Jr.,nancela02,21-22,POR-NOP,PF,7.0,1.6,5.4,1.8,0.9,0.4,0.8,0.522,0.329,0.702,22.6,1.8,321,248,81,43,20,37,129,247,23,70,40,57,1040,84,46,11,0
Naji Marshall,marshna01,21-22,NOP,SF,5.7,0.7,2.6,1.1,0.6,0.1,0.8,0.405,0.2,0.796,13.4,1.3,313,142,62,33,8,46,109,269,21,105,74,93,735,69,55,4,0
Tony Snell,snellto01,21-22,POR-NOP,SG,3.5,0.3,1.9,0.5,0.3,0.2,0.4,0.404,0.352,1.0,15.5,1.3,187,103,28,16,9,19,69,171,45,128,4,4,823,70,53,12,0
Trey Murphy III,murphtr02,21-22,NOP,SF,5.4,0.8,2.4,0.6,0.4,0.1,0.3,0.394,0.382,0.882,13.9,1.0,334,147,38,23,7,16,109,277,71,186,45,51,864,60,62,1,0
Tyrone Wallace,wallaty01,21-22,NOP,SG,2.8,0.0,1.3,0.2,0.5,0.2,0.3,0.35,0.25,0.2,12.5,1.2,17,8,1,3,1,2,7,20,2,8,1,5,75,7,6,0,0
