Player,Player_ID,Year,Team,Position,PPG,ORPG,RPG,APG,SPG,BPG,TOPG,FG%,3P%,FT%,MPG,FPG,PTS,REB,AST,STL,BLK,TO,FGM,FGA,3PM,3PA,FTM,FTA,MINS,FLS,G,GS,TD
Alec Burks,burksal01,21-22,NYK,SG,11.7,0.6,4.9,3.0,1.0,0.3,1.1,0.391,0.404,0.822,28.6,2.7,944,397,239,85,26,91,285,728,157,389,217,264,2318,215,81,44,0
Cam Reddish,reddica01,21-22,ATL-NYK,SF,10.1,0.5,2.1,1.0,1.0,0.3,1.2,0.404,0.359,0.902,20.7,1.2,497,105,48,47,15,57,165,408,66,184,101,112,1012,60,49,7,0
Damyean Dotson,dotsoda01,21-22,NYK,SG,2.0,0.0,1.0,0.5,0.0,0.0,0.0,0.5,0.0,,10.5,0.0,4,2,1,0,0,0,2,4,0,1,0,0,21,0,2,0,0
Derrick Rose,rosede01,21-22,NYK,PG,12.0,0.8,3.0,4.0,0.8,0.5,1.5,0.445,0.402,0.968,24.5,0.6,311,78,103,22,12,39,122,274,37,92,30,31,636,15,26,4,0
Evan Fournier,fournev01,21-22,NYK,SG,14.1,0.4,2.6,2.1,1.0,0.2,1.3,0.417,0.389,0.708,29.5,2.2,1125,210,171,79,20,105,402,965,241,619,80,113,2358,180,80,80,0
Feron Hunt,huntfe01,21-22,NYK,SF,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.0,,,4.0,0.5,0,1,1,1,0,1,0,2,0,0,0,0,8,1,2,0,0
Immanuel Quickley,quickim01,21-22,NYK,PG,11.3,0.4,3.2,3.5,0.7,0.0,1.3,0.392,0.346,0.881,23.1,2.1,882,247,275,54,3,99,284,724,137,396,177,201,1802,167,78,3,2
Jericho Sims,simsje01,21-22,NYK,PF,2.2,1.5,4.1,0.5,0.3,0.5,0.5,0.722,,0.414,13.5,1.6,90,169,21,11,22,20,39,54,0,0,12,29,555,66,41,5,0
Julius Randle,randlju01,21-22,NYK,PF,20.1,1.7,9.9,5.1,0.7,0.5,3.4,0.411,0.308,0.756,35.3,2.8,1447,716,370,53,39,245,512,1246,120,390,303,401,2544,205,72,72,1
Kemba Walker,walkeke02,21-22,NYK,PG,11.6,0.4,3.0,3.5,0.7,0.2,1.3,0.403,0.367,0.845,25.6,1.0,431,111,131,26,7,48,149,370,73,199,60,71,948,37,37,37,1
Matt Mooney,moonema01,21-22,NYK,SG,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,2.0,0.0,0,0,0,1,0,1,0,1,0,1,0,0,2,0,1,0,0
Miles McBride,mcbrimi01,21-22,NYK,PG,2.2,0.1,1.0,1.0,0.4,0.0,0.1,0.296,0.25,0.667,9.3,1.1,89,42,41,14,1,5,32,108,17,68,8,12,372,45,40,2,0
Mitchell Robinson,robinmi01,21-22,NYK,C,8.5,4.1,8.6,0.5,0.8,1.8,0.8,0.761,,0.486,25.7,2.7,610,617,38,58,133,60,261,343,0,0,88,181,1848,195,72,62,0
Nerlens Noel,noelne01,21-22,NYK,C,3.4,1.9,5.6,0.9,1.2,1.2,0.8,0.533,0.0,0.7,22.5,2.7,85,141,23,30,31,20,32,60,0,3,21,30,562,67,25,11,0
Obi Toppin,toppiob01,21-22,NYK,PF,9.0,1.0,3.7,1.1,0.3,0.5,0.8,0.531,0.308,0.758,17.1,1.4,648,268,77,25,33,56,251,473,52,169,94,124,1230,102,72,10,0
Quentin Grimes,grimequ01,21-22,NYK,SG,6.0,0.5,2.0,1.0,0.7,0.2,0.6,0.404,0.381,0.684,17.1,1.6,275,94,44,31,11,28,95,235,72,189,13,19,786,72,46,6,0
RJ Barrett,barrerj01,21-22,NYK,SF,20.0,0.9,5.8,3.0,0.6,0.2,2.2,0.408,0.342,0.714,34.5,2.0,1402,408,208,43,16,151,487,1194,138,404,290,406,2417,142,70,70,0
Ryan Arcidiacono,arcidry01,21-22,NYK,PG,1.6,0.0,0.8,0.4,0.1,0.0,0.3,0.5,0.444,,7.6,0.5,16,8,4,1,0,3,6,12,4,9,0,0,76,5,10,0,0
Taj Gibson,gibsota01,21-22,NYK,C,4.4,1.7,4.4,0.6,0.4,0.8,0.5,0.518,0.395,0.808,18.2,2.6,229,229,32,22,40,27,86,166,15,38,42,52,946,137,52,4,0
Tyler Hall,hallty01,21-22,NYK,SG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
Wayne Selden,seldewa01,21-22,NYK,SG,1.7,0.0,0.3,0.3,0.0,0.0,0.0,0.25,0.5,0.5,6.3,0.3,5,1,1,0,0,0,1,4,1,2,2,4,19,1,3,0,0
Derrick Rose,rosede01,22-23,NYK,PG,5.6,0.3,1.5,1.7,0.3,0.2,0.8,0.384,0.302,0.917,12.5,0.7,152,40,46,7,5,22,61,159,19,63,11,12,338,18,27,0,0
Evan Fournier,fournev01,22-23,NYK,SG,6.1,0.1,1.8,1.3,0.6,0.1,0.8,0.337,0.307,0.857,17.0,1.7,165,49,36,16,3,22,56,166,35,114,18,21,459,46,27,7,0
Immanuel Quickley,quickim01,22-23,NYK,SG,14.9,0.7,4.2,3.4,1.0,0.2,1.2,0.448,0.37,0.819,28.9,2.0,1209,337,279,80,14,100,419,936,168,454,203,248,2344,166,81,21,0
Isaiah Hartenstein,harteis01,22-23,NYK,C,5.0,2.5,6.5,1.2,0.6,0.8,0.8,0.535,0.216,0.676,19.8,2.6,406,536,102,53,64,66,175,327,8,37,48,71,1626,213,82,8,0
Jalen Brunson,brunsja01,22-23,NYK,PG,24.0,0.6,3.5,6.2,0.9,0.2,2.1,0.491,0.416,0.829,35.0,2.2,1633,241,421,61,15,142,587,1195,134,322,325,392,2379,152,68,68,0
Jericho Sims,simsje01,22-23,NYK,C,3.4,1.9,4.7,0.5,0.3,0.5,0.5,0.776,0.0,0.75,15.6,1.8,178,242,25,15,28,27,83,107,0,1,12,16,812,96,52,16,0
Josh Hart,hartjo01,22-23,POR-NYK,SF,9.8,1.9,7.8,3.8,1.2,0.3,1.5,0.529,0.372,0.75,32.3,2.6,743,593,290,88,21,117,275,520,61,164,132,176,2454,195,76,52,0
Julius Randle,randlju01,22-23,NYK,PF,25.1,1.8,10.0,4.1,0.6,0.3,2.8,0.459,0.343,0.757,35.5,3.0,1936,767,316,49,21,216,658,1432,218,636,402,531,2737,233,77,77,0
Miles McBride,mcbrimi01,22-23,NYK,PG,3.5,0.2,0.8,1.1,0.6,0.1,0.4,0.358,0.299,0.667,11.9,0.9,222,50,72,37,8,25,77,215,40,134,28,42,760,60,64,2,0
Mitchell Robinson,robinmi01,22-23,NYK,C,7.4,4.5,9.4,0.9,0.9,1.8,0.7,0.671,,0.484,27.0,2.7,435,555,53,56,109,41,188,280,0,0,59,122,1591,160,59,58,0
Obi Toppin,toppiob01,22-23,NYK,PF,7.4,0.4,2.8,1.0,0.3,0.2,0.6,0.446,0.344,0.809,15.7,1.0,497,187,66,23,12,38,187,419,85,247,38,47,1050,68,67,5,0
Quentin Grimes,grimequ01,22-23,NYK,SG,11.3,0.7,3.2,2.1,0.7,0.4,1.0,0.468,0.386,0.796,29.9,2.5,799,229,150,47,26,69,282,602,157,407,78,98,2121,177,71,66,0
RJ Barrett,barrerj01,22-23,NYK,SG,19.6,0.8,5.0,2.8,0.4,0.2,2.2,0.434,0.31,0.74,33.9,2.5,1431,368,201,31,15,164,510,1176,121,390,290,392,2475,179,73,73,0
Trevor Keels,keelstr01,22-23,NYK,SG,1.0,0.0,0.7,0.0,0.0,0.0,0.0,0.25,0.25,,2.7,0.0,3,2,0,0,0,0,1,4,1,4,0,0,8,0,3,0,0
Alec Burks,burksal01,23-24,DET-NYK,SG,10.4,0.4,2.3,1.3,0.4,0.2,0.7,0.369,0.376,0.868,18.4,1.1,689,150,88,28,12,48,210,569,124,330,145,167,1212,75,66,1,0
Bojan Bogdanović,bogdabo02,23-24,DET-NYK,PF,15.2,0.4,2.7,1.7,0.5,0.1,1.8,0.454,0.398,0.785,25.9,1.7,868,152,97,30,5,101,309,681,133,334,117,149,1478,95,57,27,0
Charlie Brown Jr.,brownch02,23-24,NYK,SG,0.8,0.1,0.2,0.0,0.0,0.2,0.2,0.2,0.286,,4.6,0.6,6,2,0,0,2,2,2,10,2,7,0,0,37,5,8,0,0
DaQuan Jeffries,jeffrda01,23-24,NYK,SG,0.8,0.0,0.3,0.3,0.0,0.1,0.2,0.353,0.2,0.0,2.7,0.1,14,5,5,0,1,3,6,17,2,10,0,2,46,2,17,0,0
Dmytro Skapintsev,skapidm01,23-24,NYK,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0
Donte DiVincenzo,divindo01,23-24,NYK,SG,15.5,0.8,3.7,2.7,1.3,0.4,1.4,0.443,0.401,0.754,29.1,2.0,1259,297,216,107,36,113,445,1004,283,705,86,114,2360,166,81,63,0
Isaiah Hartenstein,harteis01,23-24,NYK,C,7.8,3.3,8.3,2.5,1.2,1.1,1.2,0.644,0.333,0.707,25.3,2.8,582,626,188,87,85,93,235,365,1,3,111,157,1896,210,75,49,0
Jacob Toppin,toppija01,23-24,NYK,SF,1.4,0.3,0.8,0.3,0.0,0.1,0.1,0.556,0.25,1.0,4.2,0.3,13,7,3,0,1,1,5,9,1,4,2,2,38,3,9,0,0
Jalen Brunson,brunsja01,23-24,NYK,PG,28.7,0.6,3.6,6.7,0.9,0.2,2.4,0.479,0.401,0.847,35.4,1.9,2212,278,519,70,13,186,790,1648,211,526,421,497,2726,144,77,77,0
Jericho Sims,simsje01,23-24,NYK,C,2.0,1.2,3.3,0.6,0.2,0.4,0.4,0.691,,0.667,13.0,1.0,92,147,25,8,19,16,38,55,0,0,16,24,585,45,45,11,0
Josh Hart,hartjo01,23-24,NYK,SF,9.4,1.6,8.3,4.1,0.9,0.3,1.5,0.434,0.31,0.791,33.4,2.1,761,675,331,75,23,118,295,679,80,258,91,115,2707,171,81,42,6
Julius Randle,randlju01,23-24,NYK,PF,24.0,2.2,9.2,5.0,0.5,0.3,3.5,0.472,0.311,0.781,35.4,2.7,1102,423,229,25,12,159,395,836,76,244,236,302,1630,125,46,46,1
Mamadi Diakite,diakima01,23-24,SAS-NYK,PF,2.0,0.2,0.7,0.3,0.2,0.2,0.2,0.667,0.0,0.667,4.0,0.3,12,4,2,1,1,1,4,6,0,1,4,6,24,2,6,0,0
Miles McBride,mcbrimi01,23-24,NYK,PG,8.3,0.5,1.5,1.7,0.7,0.1,0.4,0.452,0.41,0.86,19.5,1.6,562,100,114,50,7,30,205,454,109,266,43,50,1328,108,68,14,0
Mitchell Robinson,robinmi01,23-24,NYK,C,5.6,4.6,8.5,0.6,1.2,1.1,0.8,0.575,,0.409,24.8,1.8,173,263,18,37,35,25,73,127,0,0,27,66,768,55,31,21,0
OG Anunoby,anunoog01,23-24,TOR-NYK,SF,14.7,0.9,4.2,2.1,1.4,0.7,1.6,0.489,0.382,0.753,34.0,2.4,733,208,107,68,36,81,282,577,102,267,67,89,1702,119,50,50,0
Precious Achiuwa,achiupr01,23-24,TOR-NYK,C,7.6,2.6,6.6,1.3,0.6,0.9,1.1,0.501,0.268,0.616,21.9,1.9,565,487,97,46,68,83,235,469,26,97,69,112,1624,143,74,18,0
Ryan Arcidiacono,arcidry01,23-24,NYK,PG,0.0,0.0,0.4,0.2,0.1,0.0,0.1,0.0,0.0,,2.2,0.2,0,8,4,2,0,2,0,6,0,6,0,0,45,5,20,0,0
Shake Milton,miltosh01,23-24,MIN-DET-NYK,SG,4.5,0.3,1.6,1.2,0.4,0.1,0.6,0.405,0.281,0.816,12.1,1.1,216,75,60,19,6,31,79,195,18,64,40,49,581,54,48,0,0
Anton Watson,watsoan02,24-25,NYK,SF,0.9,0.1,0.3,0.2,0.1,0.0,0.2,0.444,0.0,,2.4,0.3,8,3,2,1,0,2,4,9,0,1,0,0,22,3,9,0,0
Ariel Hukporti,hukpoar01,24-25,NYK,C,1.9,0.6,2.0,0.4,0.0,0.6,0.8,0.677,,0.462,8.7,1.3,48,51,11,1,15,21,21,31,0,0,6,13,217,32,25,1,0
Cameron Payne,payneca01,24-25,NYK,PG,6.9,0.2,1.4,2.8,0.5,0.2,0.7,0.401,0.363,0.907,15.1,1.5,500,104,203,39,16,52,179,446,93,256,49,54,1090,111,72,5,0
Delon Wright,wrighde01,24-25,MIL-NYK,PG,3.1,0.7,1.6,1.9,0.9,0.3,0.6,0.344,0.274,0.6,15.9,0.6,125,66,77,35,12,22,45,131,20,73,15,25,635,25,40,7,0
Jalen Brunson,brunsja01,24-25,NYK,PG,26.0,0.4,2.9,7.3,0.9,0.1,2.5,0.488,0.383,0.821,35.4,2.1,1690,187,475,60,8,164,585,1200,152,397,368,448,2301,138,65,65,0
Josh Hart,hartjo01,24-25,NYK,SG,13.6,2.1,9.6,5.9,1.5,0.4,2.1,0.525,0.333,0.776,37.6,2.6,1051,737,453,119,27,158,404,770,84,252,159,205,2897,201,77,77,9
Karl-Anthony Towns,townska01,24-25,NYK,C,24.4,2.9,12.8,3.1,1.0,0.7,2.7,0.526,0.42,0.829,35.0,3.5,1759,920,222,71,50,192,639,1215,142,338,339,409,2517,249,72,72,1
Kevin McCullar Jr.,mcculke01,24-25,NYK,SF,1.5,0.0,2.0,0.5,0.2,0.2,0.0,0.286,0.0,1.0,7.2,1.5,6,8,2,1,1,0,2,7,0,1,2,2,29,6,4,0,0
Landry Shamet,shamela01,24-25,NYK,SG,5.7,0.2,1.2,0.5,0.5,0.0,0.4,0.461,0.397,0.667,15.2,1.0,286,61,27,23,2,22,106,230,62,156,12,18,762,52,50,0,0
MarJon Beauchamp,beaucma01,24-25,MIL-LAC-NYK,SF,2.3,0.3,1.3,0.3,0.1,0.0,0.4,0.415,0.345,0.75,4.5,0.4,79,44,11,4,1,15,27,65,10,29,15,20,156,14,35,0,0
Matt Ryan,ryanma01,24-25,NYK,SF,1.5,0.0,0.4,0.2,0.1,0.0,0.2,0.323,0.316,1.0,3.6,0.1,28,8,3,2,0,3,10,31,6,19,2,2,68,1,19,0,0
Mikal Bridges,bridgmi01,24-25,NYK,SF,17.6,0.9,3.2,3.7,0.9,0.5,1.6,0.5,0.354,0.814,37.0,1.5,1444,259,306,75,43,132,592,1183,164,463,96,118,3036,127,82,82,0
Miles McBride,mcbrimi01,24-25,NYK,SG,9.5,0.7,2.5,2.9,1.0,0.3,0.6,0.406,0.369,0.813,24.9,1.7,611,161,187,67,17,41,222,547,115,312,52,64,1593,108,64,10,0
Mitchell Robinson,robinmi01,24-25,NYK,C,5.1,3.1,5.9,0.8,0.9,1.1,0.6,0.661,,0.684,17.1,1.5,87,101,13,16,18,10,37,56,0,0,13,19,290,26,17,3,0
OG Anunoby,anunoog01,24-25,NYK,PF,18.0,1.3,4.8,2.2,1.5,0.9,1.4,0.476,0.372,0.81,36.6,2.3,1332,358,164,110,65,102,489,1027,171,460,183,226,2706,172,74,74,0
P.J. Tucker,tuckepj01,24-25,NYK,SF,3.0,1.3,2.7,0.0,0.3,0.3,0.3,0.429,0.5,,19.3,2.7,9,8,0,1,1,1,3,7,3,6,0,0,58,8,3,1,0
Pacôme Dadiet,dadiepa01,24-25,NYK,SG,1.7,0.2,1.0,0.3,0.2,0.1,0.2,0.323,0.316,0.667,6.2,0.4,30,18,5,3,2,4,10,31,6,19,4,6,111,7,18,0,0
Precious Achiuwa,achiupr01,24-25,NYK,C,6.6,1.8,5.6,1.0,0.8,0.7,0.8,0.502,0.278,0.594,20.5,1.4,379,317,55,47,42,45,164,327,10,36,41,69,1170,81,57,10,0
Tyler Kolek,kolekty01,24-25,NYK,PG,2.0,0.2,0.7,1.7,0.3,0.1,0.4,0.329,0.298,0.765,7.2,0.6,81,27,70,12,4,18,27,82,14,47,13,17,296,26,41,0,0
Ariel Hukporti,hukpoar01,25-26,NYK,C,2.2,1.0,2.9,0.5,0.2,0.5,0.6,0.563,0.25,0.788,9.2,1.2,117,159,29,9,26,32,45,80,1,4,26,33,498,67,54,5,0
Dillon Jones,jonesdi01,25-26,NYK,SF,1.3,0.3,1.0,0.6,0.4,0.0,0.0,0.222,0.2,1.0,5.6,0.9,9,7,4,3,0,0,2,9,1,5,4,4,39,6,7,0,0
Jalen Brunson,brunsja01,25-26,NYK,PG,26.0,0.4,3.3,6.8,0.8,0.1,2.4,0.467,0.369,0.841,35.0,2.3,1927,247,503,57,8,175,689,1475,195,528,354,421,2590,170,74,74,0
Jeremy Sochan,sochaje01,25-26,SAS-NYK,PF,3.6,0.8,2.4,0.9,0.4,0.2,0.5,0.496,0.244,0.731,10.7,1.4,158,107,40,17,7,21,64,129,11,45,19,26,469,62,44,0,0
Jordan Clarkson,clarkjo01,25-26,NYK,SG,8.6,0.9,1.8,1.3,0.4,0.1,0.9,0.451,0.327,0.83,17.8,1.7,622,127,96,30,9,63,237,526,70,214,78,94,1279,123,72,1,0
Jose Alvarado,alvarjo01,25-26,NOP-NYK,PG,7.4,0.4,2.5,3.4,1.0,0.1,1.1,0.416,0.352,0.761,19.9,1.9,510,171,234,66,8,77,187,449,101,287,35,46,1370,129,69,3,0
Josh Hart,hartjo01,25-26,NYK,SF,12.0,1.4,7.4,4.8,1.1,0.3,1.9,0.508,0.413,0.72,30.2,2.5,792,486,317,75,17,128,301,592,100,242,90,125,1994,165,66,52,2
Karl-Anthony Towns,townska01,25-26,NYK,C,20.1,3.1,11.9,3.0,0.9,0.5,2.5,0.501,0.368,0.858,31.0,3.4,1504,889,226,65,40,187,517,1032,113,307,357,416,2322,255,75,75,1
Kevin McCullar Jr.,mcculke01,25-26,NYK,SF,2.4,0.5,1.3,1.0,0.4,0.0,0.6,0.426,0.333,0.4,7.4,1.0,50,28,20,9,0,12,20,47,8,24,2,5,155,22,21,0,0
Landry Shamet,shamela01,25-26,NYK,SG,9.3,0.5,1.8,1.4,0.6,0.2,0.6,0.437,0.392,0.711,23.0,1.5,475,92,72,31,9,30,159,364,103,263,54,76,1171,77,51,12,0
Mikal Bridges,bridgmi01,25-26,NYK,SF,14.4,1.0,3.8,3.7,1.3,0.8,1.0,0.49,0.371,0.827,32.8,2.0,1181,312,304,107,62,83,472,963,156,420,81,98,2692,160,82,82,0
Miles McBride,mcbrimi01,25-26,NYK,SG,12.0,0.6,2.4,2.6,0.9,0.2,0.8,0.423,0.413,0.787,26.3,1.7,491,100,106,35,9,33,171,404,112,271,37,47,1080,70,41,15,0
Mitchell Robinson,robinmi01,25-26,NYK,C,5.7,4.2,8.8,0.9,0.9,1.2,0.7,0.723,,0.408,19.6,2.1,340,525,52,56,70,41,149,206,0,0,42,103,1175,127,60,16,0
Mohamed Diawara,diawamo01,25-26,NYK,SF,3.6,0.2,1.4,0.8,0.2,0.1,0.4,0.423,0.369,0.75,9.2,0.7,246,94,53,17,6,30,90,213,48,130,18,24,634,50,69,7,0
OG Anunoby,anunoog01,25-26,NYK,PF,16.7,1.3,5.2,2.2,1.6,0.7,1.8,0.484,0.386,0.828,33.2,2.4,1118,351,145,104,48,123,389,804,157,407,183,221,2224,164,67,67,0
Pacôme Dadiet,dadiepa01,25-26,NYK,SG,1.7,0.1,0.9,0.4,0.1,0.0,0.1,0.333,0.219,0.818,4.7,0.3,48,27,12,3,1,3,16,48,7,32,9,11,136,8,29,0,0
Tosan Evbuomwan,evbuoto01,25-26,NYK,SF,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0,,,1.6,0.2,0,2,0,0,0,0,0,1,0,0,0,0,8,1,5,0,0
