Player,Player_ID,Year,Team,Position,PPG,ORPG,RPG,APG,SPG,BPG,TOPG,FG%,3P%,FT%,MPG,FPG,PTS,REB,AST,STL,BLK,TO,FGM,FGA,3PM,3PA,FTM,FTA,MINS,FLS,G,GS,TD
Admiral Schofield,schofad01,21-22,ORL,SF,3.8,0.4,2.3,0.7,0.1,0.1,0.6,0.419,0.329,0.8,12.3,1.5,146,89,25,4,5,21,54,129,26,79,12,15,469,58,38,1,0
Aleem Ford,fordal03,21-22,ORL,SF,2.8,0.4,3.0,0.4,0.2,0.0,0.8,0.3,0.133,,14.8,1.4,14,15,2,1,0,4,6,20,2,15,0,0,74,7,5,0,0
B.J. Johnson,johnsbj01,21-22,ORL,SF,6.5,1.5,3.8,0.0,0.0,0.2,0.0,0.44,0.4,,16.2,1.0,26,15,0,0,1,0,11,25,4,10,0,0,65,4,4,0,0
Chuma Okeke,okekech01,21-22,ORL,PF,8.6,0.7,5.0,1.7,1.4,0.6,0.8,0.376,0.318,0.846,25.0,1.4,605,347,118,97,42,57,216,575,118,371,55,65,1749,95,70,20,0
Cole Anthony,anthoco01,21-22,ORL,PG,16.3,0.5,5.4,5.7,0.7,0.3,2.6,0.391,0.338,0.854,31.7,2.6,1062,348,369,46,17,170,357,912,132,391,216,253,2059,171,65,65,0
Devin Cannady,cannade01,21-22,ORL,PG,10.0,0.2,1.2,2.0,1.0,0.6,1.0,0.341,0.405,0.714,29.0,1.8,50,6,10,5,3,5,15,44,15,37,5,7,145,9,5,0,0
Franz Wagner,wagnefr01,21-22,ORL,SF,15.2,1.1,4.5,2.9,0.9,0.4,1.5,0.468,0.354,0.863,30.7,2.1,1197,356,231,68,34,119,456,975,96,271,189,219,2429,164,79,79,0
Freddie Gillespie,gillefr01,21-22,ORL,PF,2.3,1.4,4.0,0.6,0.3,1.0,0.6,0.409,0.0,0.429,13.2,2.0,21,36,5,3,9,5,9,22,0,1,3,7,119,18,9,2,0
Gary Harris,harriga01,21-22,ORL,SG,11.1,0.6,2.0,1.8,1.0,0.1,1.0,0.434,0.384,0.874,28.4,1.8,679,122,108,59,9,61,240,553,116,302,83,95,1730,112,61,30,0
Hassani Gravett,graveha01,21-22,ORL,PG,6.2,0.1,2.6,2.5,0.6,0.1,1.1,0.474,0.423,0.75,21.4,1.6,50,21,20,5,1,9,18,38,11,26,3,4,171,13,8,3,0
Ignas Brazdeikis,brazdig01,21-22,ORL,SF,5.0,0.5,1.7,0.9,0.2,0.1,0.4,0.431,0.31,0.656,12.8,1.1,210,72,37,10,3,17,81,188,27,87,21,32,536,48,42,1,0
Jalen Suggs,suggsja01,21-22,ORL,PG,11.8,0.5,3.6,4.4,1.2,0.4,3.0,0.361,0.214,0.773,27.2,3.0,564,171,209,59,19,143,198,548,42,196,126,163,1307,142,48,45,0
Jeff Dowtin Jr.,dowtije01,21-22,GSW-MIL-ORL,PG,2.1,0.9,2.0,1.1,0.6,0.1,0.6,0.308,0.111,1.0,12.0,0.6,19,18,10,5,1,5,8,26,1,9,2,2,108,5,9,0,0
Markelle Fultz,fultzma01,21-22,ORL,PG,10.8,0.2,2.7,5.5,1.1,0.3,2.2,0.474,0.235,0.806,20.0,1.2,195,49,99,20,5,40,83,175,4,17,25,31,360,22,18,3,0
Mo Bamba,bambamo01,21-22,ORL,C,10.6,2.1,8.1,1.2,0.5,1.7,1.1,0.48,0.381,0.781,25.7,2.6,756,572,85,38,118,77,296,617,107,281,57,73,1824,182,71,69,0
Moritz Wagner,wagnemo01,21-22,ORL,C,9.0,0.7,3.7,1.4,0.3,0.2,0.9,0.497,0.328,0.806,15.2,2.0,564,232,87,20,13,56,197,396,66,201,104,129,960,123,63,3,0
R.J. Hampton,hamptrj01,21-22,ORL,SG,7.6,0.4,3.0,2.5,0.7,0.2,1.4,0.383,0.35,0.641,21.9,1.6,489,194,158,42,13,87,175,457,64,183,75,117,1402,101,64,14,0
Robin Lopez,lopezro01,21-22,ORL,C,7.1,1.9,3.5,1.5,0.1,0.5,1.2,0.553,0.333,0.593,17.0,1.9,254,126,54,2,18,44,110,199,2,6,32,54,612,67,36,9,0
Terrence Ross,rosste01,21-22,ORL,SG,10.0,0.3,2.6,1.8,0.4,0.2,1.2,0.397,0.292,0.862,23.0,1.1,629,161,116,28,12,75,220,554,77,264,112,130,1448,68,63,0,0
