Player,Player_ID,Year,Team,Position,PPG,ORPG,RPG,APG,SPG,BPG,TOPG,FG%,3P%,FT%,MPG,FPG,PTS,REB,AST,STL,BLK,TO,FGM,FGA,3PM,3PA,FTM,FTA,MINS,FLS,G,GS,TD
Anthony Lamb,lamban01,21-22,SAS,SF,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,,4.0,0.0,0,1,2,0,0,0,0,2,0,2,0,0,8,0,2,0,0
Dejounte Murray,murrade01,21-22,SAS,PG,21.1,1.2,8.3,9.2,2.0,0.3,2.6,0.462,0.327,0.794,34.8,2.0,1438,563,627,138,23,180,573,1241,96,294,196,247,2366,138,68,68,13
Devin Vassell,vassede01,21-22,SAS,SF,12.3,0.6,4.3,1.9,1.1,0.6,0.8,0.427,0.361,0.838,27.3,2.0,872,306,136,76,41,58,326,764,137,380,83,99,1937,143,71,32,0
Devontae Cacok,cacokde01,21-22,SAS,PF,3.1,0.5,2.8,0.4,0.5,0.5,0.2,0.677,,0.571,8.1,1.1,46,42,6,8,7,3,21,31,0,0,4,7,121,16,15,0,0
Doug McDermott,mcderdo01,21-22,SAS,PF,11.3,0.4,2.3,1.3,0.3,0.1,0.8,0.462,0.422,0.784,24.0,1.5,578,115,64,13,6,43,215,465,108,256,40,51,1223,79,51,51,0
Jakob Poeltl,poeltja01,21-22,SAS,C,13.5,3.9,9.3,2.8,0.7,1.7,1.6,0.618,1.0,0.495,29.0,3.1,915,634,189,45,118,109,410,663,1,1,94,190,1970,212,68,67,0
Jaylen Morris,morrija01,21-22,SAS,SG,0.7,0.0,0.7,0.7,0.0,0.0,0.3,0.0,0.0,0.5,5.3,0.7,2,2,2,0,0,1,0,6,0,2,2,4,16,2,3,0,0
Jock Landale,landajo01,21-22,SAS,C,4.9,1.2,2.6,0.8,0.2,0.3,0.6,0.495,0.326,0.829,10.9,1.0,265,138,45,10,14,31,101,204,29,89,34,41,589,53,54,1,0
Joe Wieskamp,wieskjo01,21-22,SAS,SG,2.1,0.1,0.5,0.3,0.1,0.1,0.1,0.357,0.326,0.538,7.1,0.5,61,14,9,4,3,2,20,56,14,43,7,13,205,14,29,0,0
Josh Richardson,richajo01,21-22,BOS-SAS,SG,10.2,0.6,2.8,1.8,0.9,0.4,1.0,0.438,0.415,0.889,24.6,1.8,666,185,115,56,29,66,234,534,102,246,96,108,1600,116,65,7,0
