Player,Player_ID,Year,Team,Position,PPG,ORPG,RPG,APG,SPG,BPG,TOPG,FG%,3P%,FT%,MPG,FPG,PTS,REB,AST,STL,BLK,TO,FGM,FGA,3PM,3PA,FTM,FTA,MINS,FLS,G,GS,TD
Bojan Bogdanović,bogdabo02,21-22,UTA,PF,18.1,0.8,4.3,1.7,0.5,0.0,1.7,0.455,0.387,0.858,30.9,1.7,1248,296,120,34,1,118,422,928,181,468,223,260,2131,116,69,69,0
Danuel House Jr.,houseda01,21-22,HOU-NYK-UTA,SF,5.9,0.4,2.6,1.0,0.5,0.4,0.8,0.404,0.376,0.759,17.3,1.2,248,111,44,21,17,33,80,198,44,117,44,58,727,51,42,7,0
Denzel Valentine,valende01,21-22,CLE-UTA,SG,2.9,0.4,1.8,0.5,0.3,0.0,0.5,0.379,0.404,,9.2,0.8,69,42,11,8,0,12,25,66,19,47,0,0,222,20,24,0,0
Donovan Mitchell,mitchdo01,21-22,UTA,SG,25.9,0.8,4.2,5.3,1.5,0.2,3.0,0.448,0.355,0.853,33.8,2.4,1733,282,358,99,12,200,617,1376,232,654,267,313,2266,164,67,67,0
Eric Paschall,pascher01,21-22,UTA,PF,5.8,0.5,1.8,0.6,0.2,0.1,0.5,0.485,0.37,0.767,12.7,0.9,334,106,36,9,5,27,114,235,40,108,66,86,737,51,58,3,0
Greg Monroe,monrogr01,21-22,MIN-WAS-MIL-UTA,C,5.4,2.1,4.6,1.6,0.6,0.7,0.9,0.561,,0.522,13.9,1.7,76,64,22,8,10,12,32,57,0,0,12,23,195,24,14,0,0
Hassan Whiteside,whiteha01,21-22,UTA,C,8.2,2.6,7.6,0.4,0.3,1.6,0.8,0.652,,0.623,17.9,2.8,534,494,26,22,103,53,215,330,0,0,104,167,1162,179,65,8,0
Jared Butler,butleja02,21-22,UTA,SG,3.8,0.1,1.1,1.5,0.4,0.2,0.8,0.404,0.318,0.688,8.6,1.1,161,45,63,17,8,33,61,151,28,88,11,16,360,47,42,1,0
Joe Ingles,inglejo01,21-22,UTA,SF,7.2,0.3,2.9,3.5,0.5,0.1,1.0,0.404,0.347,0.773,24.9,1.8,325,131,158,23,5,46,115,285,78,225,17,22,1122,82,45,15,0
Jordan Clarkson,clarkjo01,21-22,UTA,SG,16.0,0.8,3.5,2.5,0.8,0.2,1.6,0.419,0.318,0.828,27.1,1.9,1266,273,194,66,16,129,466,1113,190,597,144,174,2141,149,79,1,0
Juancho Hernangómez,hernaju01,21-22,BOS-SAS-UTA,PF,3.3,0.7,2.5,0.5,0.4,0.2,0.4,0.415,0.348,0.559,11.1,0.6,131,100,20,14,10,16,44,106,24,69,19,34,445,25,40,9,0
Mike Conley,conlemi01,21-22,UTA,PG,13.7,0.7,3.0,5.3,1.3,0.3,1.7,0.435,0.408,0.796,28.6,2.0,986,217,385,96,21,123,344,791,169,414,129,162,2058,142,72,72,0
Miye Oni,onimi01,21-22,UTA,SG,0.3,0.1,0.4,0.3,0.0,0.0,0.1,0.222,0.125,0.0,2.8,0.4,5,7,5,0,0,1,2,9,1,8,0,1,44,7,16,0,0
Nickeil Alexander-Walker,alexani01,21-22,NOP-UTA,SG,10.6,0.6,2.9,2.4,0.7,0.4,1.4,0.372,0.311,0.743,22.6,1.6,692,187,156,46,23,93,253,680,105,338,81,109,1466,103,65,21,0
Norvel Pelle,pelleno01,21-22,UTA,C,2.0,1.0,2.0,0.0,0.0,0.3,0.7,0.6,,,6.3,0.3,6,6,0,0,1,2,3,5,0,0,0,0,19,1,3,0,0
Royce O'Neale,onealro01,21-22,UTA,SF,7.4,0.8,4.8,2.5,1.1,0.4,1.0,0.457,0.389,0.804,31.2,2.4,570,368,191,86,32,79,203,444,119,306,45,56,2406,183,77,77,0
Rudy Gay,gayru01,21-22,UTA,PF,8.1,1.0,4.4,1.0,0.5,0.3,0.9,0.414,0.345,0.785,18.9,1.7,446,242,56,25,19,47,157,379,70,203,62,79,1038,95,55,1,0
Rudy Gobert,goberru01,21-22,UTA,C,15.6,3.7,14.7,1.1,0.7,2.1,1.8,0.713,0.0,0.69,32.1,2.7,1027,968,72,45,137,119,362,508,0,4,303,439,2120,176,66,66,0
Trent Forrest,forretr01,21-22,UTA,PG,3.2,0.4,1.6,1.8,0.5,0.1,0.8,0.49,0.185,0.792,12.8,0.7,195,99,106,30,6,48,76,155,5,27,38,48,765,43,60,6,0
Udoka Azubuike,azubuud01,21-22,UTA,C,4.7,1.1,4.2,0.0,0.1,0.6,0.7,0.755,,0.545,11.5,1.5,80,71,0,1,11,12,37,49,0,0,6,11,195,25,17,6,0
Xavier Sneed,sneedxa01,21-22,MEM-UTA,SF,0.6,0.2,0.7,0.1,0.0,0.0,0.0,0.2,0.125,,4.3,0.2,5,6,1,0,0,0,2,10,1,8,0,0,39,2,9,0,0
Zylan Cheatham,cheatzy01,21-22,UTA,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,0,0,0,0,0,0,0,3,0,2,0,0,5,0,1,0,0
Collin Sexton,sextoco01,22-23,UTA,PG,14.3,0.8,2.2,2.9,0.6,0.1,1.8,0.506,0.393,0.819,23.9,2.3,685,105,138,27,6,85,237,468,48,122,163,199,1145,112,48,15,0
