TEAM,YEAR,PLAYER_ID,PLAYER,TWO_WAY,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,EXP,SCHOOL
ATL,21-22,barbeca01,Cat Barber,False,5,PG,6-2,180,"July 25, 1994",R,NC State
ATL,21-22,bogdabo01,Bogdan Bogdanović,False,13,SG,6-5,225,"August 18, 1992",4,
ATL,21-22,brownch05,Chaundee Brown Jr.,False,45,SG,6-5,215,"December 4, 1998",R,"Wake Forest,Michigan"
ATL,21-22,capelca01,Clint Capela,False,15,C,6-10,256,"May 18, 1994",7,
ATL,21-22,collijo01,John Collins,False,20,PF,6-9,226,"September 23, 1997",4,Wake Forest
ATL,21-22,coopesh01,Sharife Cooper,False,2,PG,6-0,176,"June 11, 2001",R,Auburn
ATL,21-22,dienggo01,Gorgui Dieng,False,10,C,6-10,252,"January 18, 1990",8,Louisville
ATL,21-22,gallida01,Danilo Gallinari,False,8,PF,6-10,236,"August 8, 1988",12,
ATL,21-22,hillma01,Malcolm Hill,False,14,SG,6-6,220,"October 26, 1995",R,Illinois
ATL,21-22,hillso01,Solomon Hill,False,18,SF,6-6,226,"March 18, 1991",8,Arizona
ATL,21-22,huertke01,Kevin Huerter,False,3,SF,6-6,198,"August 27, 1998",3,Maryland
ATL,21-22,huntede01,De'Andre Hunter,False,12,SF,6-7,221,"December 2, 1997",2,Virginia
ATL,21-22,iwundwe01,Wes Iwundu,False,24,SF,6-6,195,"December 20, 1994",4,Kansas State
ATL,21-22,johnsja05,Jalen Johnson,False,1,PF,6-8,219,"December 18, 2001",R,Duke
ATL,21-22,knoxke01,Kevin Knox,False,5,SF,6-8,215,"August 11, 1999",3,Kentucky
ATL,21-22,luwawti01,Timothé Luwawu-Cabarrot,False,7,SF,6-7,210,"May 9, 1995",5,
ATL,21-22,mayssk01,Skylar Mays,False,4,SG,6-4,205,"September 5, 1997",1,LSU
ATL,21-22,okongon01,Onyeka Okongwu,False,17,C,6-10,240,"December 11, 2000",1,USC
ATL,21-22,oliveca01,Cameron Oliver,False,49,SF,6-8,225,"July 11, 1996",1,Nevada
ATL,21-22,reddica01,Cam Reddish,False,22,SF,6-7,230,"September 1, 1999",2,Duke
ATL,21-22,stephla01,Lance Stephenson,False,33,SG,6-6,230,"September 5, 1990",9,Cincinnati
ATL,21-22,willilo02,Lou Williams,False,6,PG,6-2,175,"October 27, 1986",16,
ATL,21-22,wrighde01,Delon Wright,False,0,SG,6-4,185,"April 26, 1992",6,Utah
ATL,21-22,youngtr01,Trae Young,False,11,PG,6-2,164,"September 19, 1998",3,Oklahoma
BOS,21-22,brownja02,Jaylen Brown,False,7,SF,6-6,223,"October 24, 1996",5,California
BOS,21-22,fernabr01,Bruno Fernando,False,28,C,6-9,240,"August 15, 1998",2,Maryland
BOS,21-22,fittsma01,Malik Fitts,False,8,PF,6-5,230,"July 4, 1997",1,"South Florida,Saint Mary's"
BOS,21-22,kanteen01,Enes Freedom,False,13,C,6-10,250,"May 20, 1992",10,Kentucky
BOS,21-22,hausesa01,Sam Hauser,False,30,SF,6-7,217,"December 8, 1997",R,"Marquette,Virginia"
BOS,21-22,hernaju01,Juancho Hernangómez,False,41,PF,6-9,214,"September 28, 1995",5,
BOS,21-22,horfoal01,Al Horford,False,42,C,6-8,240,"June 3, 1986",14,Florida
BOS,21-22,jacksju01,Justin Jackson,False,43,SF,6-8,220,"March 28, 1995",4,UNC
BOS,21-22,johnsjo02,Joe Johnson,False,55,SG,6-7,240,"June 29, 1981",17,Arkansas
BOS,21-22,kornelu01,Luke Kornet,False,40,C,7-1,250,"July 15, 1995",4,Vanderbilt
BOS,21-22,langfro01,Romeo Langford,False,9,SG,6-5,216,"October 25, 1999",2,Indiana
BOS,21-22,martike03,Kelan Martin,False,4,SF,6-5,230,"August 3, 1995",2,Butler
BOS,21-22,milescj01,C.J. Miles,False,50,SG,6-6,220,"March 18, 1987",15,
BOS,21-22,morgaju01,Juwan Morgan,False,4,PF,6-7,232,"April 17, 1997",2,Indiana
BOS,21-22,nesmiaa01,Aaron Nesmith,False,26,SF,6-5,215,"October 16, 1999",1,Vanderbilt
BOS,21-22,parkeja01,Jabari Parker,False,20,PF,6-7,245,"March 15, 1995",7,Duke
BOS,21-22,pritcpa01,Payton Pritchard,False,11,PG,6-1,195,"January 28, 1998",1,Oregon
