player_id,player
antetal01,Alex Antetokounmpo
armeltr01,Armel Traoré
milescj01,C.J. Miles
cuiyo01,Cui Yongxi
sirvyde01,Deividas Sirvydis
mudiaem01,Emmanuel Mudiay
deckga01,Gabriel Deck
kalaige01,Georgios Kalaitzakis
gortmja01,Jazian Gortman
berinjo01,Joan Beringer
cazalma01,Malcolm Cazalon
fostemi02,Michael Foster Jr.
diawamo01,Mohamed Diawara
pereima01,Mãozinha Pereira
essenno01,Noa Essengue
pelleno01,Norvel Pelle
cornepe01,Petr Cornelie
wheelph02,Phillip Wheeler
zikarro01,Rocco Zikarsky
hollaro01,Ron Holland
doumbse01,Sekou Doumbouya
