TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PACE_PER40,POSS,PIE,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,TEAM,YEAR
1610612737,Atlanta Hawks,82,43,39,0.524,48.1,41.5,88.3,0.47,12.9,34.4,0.374,18.1,22.3,0.812,10.0,33.9,44.0,24.6,11.9,7.2,4.2,4.5,18.7,20.3,113.9,1.6,115.4,113.7,1.6,0.593,2.08,18.1,0.269,0.731,0.501,0.12,0.543,0.581,98.67,82.22,8099,0.509,41.9,89.0,0.471,12.8,35.2,0.364,15.8,19.9,0.792,10.2,33.6,43.9,25.4,12.8,7.0,4.5,4.2,20.3,18.7,112.4,ATL,21-22
1610612738,Boston Celtics,82,51,31,0.622,48.5,40.7,87.4,0.466,13.2,37.1,0.356,17.0,20.9,0.816,10.5,35.5,46.1,24.8,13.6,7.2,5.8,4.6,18.5,19.4,111.8,7.3,113.6,106.2,7.4,0.609,1.82,18.2,0.277,0.725,0.509,0.139,0.542,0.578,97.26,81.05,8068,0.547,38.3,88.1,0.434,11.8,34.9,0.339,16.1,20.6,0.783,10.5,33.3,43.7,21.6,13.8,7.5,4.6,5.8,19.4,18.5,104.5,BOS,21-22
1610612751,Brooklyn Nets,82,44,38,0.537,48.2,42.0,88.4,0.475,11.5,31.7,0.361,17.5,21.7,0.805,10.3,34.1,44.4,25.3,14.1,7.1,5.5,4.9,20.4,19.7,112.9,0.8,113.2,112.3,0.9,0.602,1.8,18.3,0.281,0.704,0.499,0.141,0.54,0.576,99.4,82.83,8177,0.512,40.7,90.2,0.452,12.5,36.3,0.345,18.1,23.0,0.788,11.3,32.8,44.1,23.8,13.3,7.9,4.9,5.5,19.7,20.4,112.1,BRK,21-22
1610612766,Charlotte Hornets,82,43,39,0.524,48.5,42.8,91.4,0.468,13.9,38.2,0.365,15.8,21.4,0.74,10.8,33.7,44.6,28.1,13.3,8.6,4.9,4.6,19.9,19.6,115.3,0.4,113.6,113.1,0.5,0.656,2.12,19.6,0.27,0.706,0.486,0.131,0.544,0.572,100.52,83.76,8322,0.504,42.0,90.1,0.466,14.0,38.7,0.362,16.9,22.1,0.763,11.4,35.6,47.0,26.5,15.0,7.5,4.6,4.9,19.6,19.9,114.9,CHO,21-22
1610612741,Chicago Bulls,82,46,36,0.561,48.1,41.7,86.9,0.48,10.6,28.8,0.369,17.5,21.5,0.813,8.7,33.7,42.3,23.9,12.8,7.1,4.1,5.0,18.8,18.2,111.6,-0.4,112.7,113.2,-0.5,0.572,1.86,17.8,0.249,0.735,0.495,0.13,0.541,0.579,98.76,82.3,8124,0.496,41.4,87.4,0.474,11.7,32.0,0.366,17.4,21.9,0.795,9.3,33.9,43.2,25.0,13.1,7.1,5.0,4.1,18.2,18.8,112.0,CHI,21-22
1610612739,Cleveland Cavaliers,82,44,38,0.537,48.1,39.7,84.6,0.469,11.6,32.8,0.355,16.8,22.1,0.76,10.2,34.0,44.2,25.2,14.4,7.1,4.2,4.6,17.5,20.0,107.8,2.1,111.0,108.9,2.1,0.634,1.75,18.7,0.277,0.724,0.506,0.148,0.538,0.571,96.83,80.69,7964,0.517,39.5,87.2,0.452,11.7,33.2,0.353,15.0,19.4,0.774,10.5,32.4,42.9,24.1,13.4,8.4,4.6,4.2,20.0,17.5,105.7,CLE,21-22
1610612742,Dallas Mavericks,82,52,30,0.634,48.2,39.3,85.1,0.461,13.1,37.4,0.35,16.4,21.2,0.771,9.3,33.8,43.0,23.4,12.5,6.7,4.0,3.7,19.7,20.1,108.0,3.3,112.5,109.1,3.5,0.595,1.87,17.8,0.256,0.733,0.496,0.13,0.538,0.572,95.64,79.7,7871,0.511,39.0,85.4,0.457,10.9,32.1,0.34,15.8,20.6,0.767,9.5,34.1,43.6,23.5,13.1,7.0,3.7,4.0,20.1,19.7,104.7,DAL,21-22
1610612743,Denver Nuggets,82,48,34,0.585,48.3,41.7,86.3,0.483,12.7,35.9,0.353,16.7,21.0,0.795,9.2,34.9,44.1,27.8,14.5,7.2,3.7,4.8,20.0,19.9,112.7,2.3,113.8,111.5,2.3,0.667,1.92,20.0,0.268,0.752,0.515,0.146,0.556,0.59,98.41,82.01,8123,0.516,41.1,87.4,0.47,11.8,34.2,0.346,16.5,21.7,0.757,9.7,32.7,42.4,25.4,12.8,7.9,4.8,3.7,19.9,20.0,110.4,DEN,21-22
1610612765,Detroit Pistons,82,23,59,0.28,48.2,38.2,88.6,0.431,11.3,34.6,0.326,17.2,22.0,0.782,11.0,32.0,43.0,23.5,14.2,7.7,4.8,5.2,21.9,19.8,104.8,-7.7,105.6,113.3,-7.7,0.615,1.65,17.1,0.276,0.707,0.481,0.143,0.494,0.533,98.81,82.34,8141,0.45,40.6,86.0,0.473,11.8,32.5,0.362,19.5,25.1,0.777,10.3,35.9,46.3,25.1,14.6,7.4,5.2,4.8,19.8,21.9,112.5,DET,21-22
1610612744,Golden State Warriors,82,53,29,0.646,48.1,40.5,86.4,0.469,14.3,39.4,0.364,15.6,20.3,0.769,9.8,35.7,45.5,27.1,14.9,8.8,4.5,3.9,21.0,18.0,111.0,5.5,112.1,106.6,5.5,0.669,1.82,19.5,0.269,0.736,0.51,0.15,0.552,0.582,98.74,82.28,8121,0.536,37.9,86.6,0.438,12.2,36.0,0.339,17.4,22.9,0.759,9.7,33.0,42.6,22.9,14.5,7.9,3.9,4.5,18.0,21.0,105.5,GSW,21-22
1610612745,Houston Rockets,82,20,62,0.244,48.2,39.4,86.4,0.456,13.5,38.7,0.349,17.5,24.5,0.713,9.6,32.4,42.0,23.6,16.5,7.3,4.7,5.8,20.6,22.1,109.7,-8.5,108.1,116.4,-8.3,0.598,1.43,17.1,0.265,0.71,0.485,0.162,0.534,0.565,101.16,84.3,8323,0.451,43.4,89.9,0.483,12.8,36.2,0.353,18.5,23.7,0.782,11.2,34.5,45.7,25.6,14.1,9.5,5.8,4.7,22.1,20.6,118.2,HOU,21-22
1610612754,Indiana Pacers,82,25,57,0.305,48.5,41.4,89.5,0.463,12.2,35.4,0.344,16.4,21.4,0.768,11.3,32.6,43.9,25.4,14.4,7.1,5.6,4.9,20.4,19.2,111.5,-3.5,111.9,115.5,-3.6,0.612,1.76,18.1,0.31,0.725,0.512,0.145,0.531,0.564,98.55,82.13,8166,0.478,42.5,88.0,0.483,12.0,32.3,0.372,17.9,22.5,0.797,10.2,33.0,43.1,25.1,13.3,8.1,4.9,5.6,19.2,20.4,114.9,IND,21-22
1610612746,LA Clippers,82,42,40,0.512,48.2,40.1,87.4,0.458,12.8,34.2,0.374,15.5,19.6,0.793,9.1,34.9,44.0,24.0,13.7,7.4,5.0,4.1,18.6,18.5,108.4,0.0,109.5,109.5,0.0,0.599,1.75,17.7,0.254,0.706,0.486,0.139,0.531,0.564,98.51,82.09,8121,0.502,40.8,90.6,0.45,11.7,33.9,0.345,15.2,19.6,0.775,12.0,35.1,47.1,24.1,13.6,7.7,4.1,5.0,18.5,18.6,108.4,LAC,21-22
1610612747,Los Angeles Lakers,82,33,49,0.402,48.7,41.6,88.8,0.469,12.0,34.5,0.347,16.8,23.0,0.732,9.5,34.5,44.0,24.0,14.5,7.6,5.2,4.1,20.2,20.1,112.1,-3.0,110.0,112.8,-2.9,0.576,1.65,17.3,0.256,0.72,0.49,0.142,0.537,0.567,100.47,83.73,8360,0.482,42.6,90.5,0.47,12.6,35.8,0.352,17.4,23.3,0.747,11.0,35.6,46.6,26.3,14.0,8.3,4.1,5.2,20.1,20.2,115.1,LAL,21-22
1610612763,Memphis Grizzlies,82,56,26,0.683,48.2,43.5,94.4,0.461,11.5,32.7,0.353,17.0,23.1,0.734,14.1,35.0,49.2,26.0,13.2,9.8,6.5,6.0,19.8,19.8,115.6,5.7,114.3,108.9,5.3,0.597,1.97,17.9,0.338,0.726,0.526,0.13,0.522,0.553,100.52,83.77,8295,0.53,40.3,88.6,0.455,12.0,34.5,0.349,17.3,22.4,0.771,10.0,33.0,43.0,25.0,15.1,7.2,6.0,6.5,19.8,19.8,109.9,MEM,21-22
1610612748,Miami Heat,82,53,29,0.646,48.4,39.6,84.8,0.467,13.6,35.8,0.379,17.3,21.4,0.808,9.8,33.9,43.7,25.5,14.6,7.4,3.2,4.0,20.5,20.6,110.0,4.5,113.0,108.4,4.5,0.644,1.75,18.8,0.278,0.735,0.51,0.149,0.547,0.584,96.53,80.44,7987,0.529,37.5,84.0,0.447,13.0,38.3,0.339,17.5,22.5,0.779,9.5,32.1,41.7,23.3,15.0,7.4,4.0,3.2,20.6,20.5,105.6,MIA,21-22
1610612749,Milwaukee Bucks,82,51,31,0.622,48.2,41.8,89.4,0.468,14.1,38.4,0.366,17.8,22.9,0.776,10.2,36.5,46.7,23.9,13.4,7.6,4.0,4.4,18.2,19.7,115.5,3.4,114.3,111.1,3.2,0.572,1.78,17.3,0.269,0.747,0.512,0.133,0.546,0.58,100.59,83.83,8284,0.516,41.4,90.6,0.456,14.5,40.6,0.356,15.0,19.9,0.751,9.9,34.2,44.1,25.9,13.0,7.4,4.4,4.0,19.7,18.2,112.1,MIL,21-22
1610612750,Minnesota Timberwolves,82,46,36,0.561,48.2,41.6,91.0,0.457,14.8,41.3,0.358,18.0,23.1,0.778,11.2,32.9,44.2,25.7,14.3,8.8,5.6,4.8,21.8,20.9,115.9,2.6,113.8,111.0,2.7,0.617,1.79,18.1,0.284,0.706,0.49,0.141,0.539,0.573,101.47,84.56,8357,0.504,40.2,87.4,0.46,13.1,37.3,0.35,19.8,25.4,0.78,11.0,34.9,45.9,26.2,16.3,7.2,4.8,5.6,20.9,21.8,113.3,MIN,21-22
1610612740,New Orleans Pelicans,82,36,46,0.439,48.2,40.2,88.0,0.457,10.6,32.1,0.332,18.3,23.2,0.789,12.0,33.2,45.2,25.0,14.1,8.3,4.0,4.8,19.7,20.5,109.3,-1.0,111.2,112.0,-0.8,0.621,1.78,18.1,0.306,0.742,0.518,0.143,0.517,0.557,98.02,81.69,8060,0.5,40.3,85.5,0.471,13.0,35.5,0.365,16.8,21.4,0.786,9.3,32.5,41.8,24.9,14.2,7.4,4.8,4.0,20.5,19.7,110.3,NOP,21-22
