Player,Player_ID,Year,Team,Position,PPG,ORPG,RPG,APG,SPG,BPG,TOPG,FG%,3P%,FT%,MPG,FPG,PTS,REB,AST,STL,BLK,TO,FGM,FGA,3PM,3PA,FTM,FTA,MINS,FLS,G,GS,TD
Aaron Nesmith,nesmiaa01,21-22,BOS,SF,3.8,0.3,1.7,0.4,0.4,0.1,0.6,0.396,0.27,0.808,11.0,1.3,196,89,22,20,5,31,72,182,31,115,21,26,574,70,52,3,0
Al Horford,horfoal01,21-22,BOS,C,10.2,1.6,7.7,3.4,0.7,1.3,0.9,0.467,0.336,0.842,29.1,1.9,701,530,232,49,92,65,266,569,89,265,80,95,2005,130,69,69,0
Brodric Thomas,thomabr01,21-22,BOS,SG,1.8,0.2,0.8,0.9,0.1,0.1,0.5,0.444,0.222,0.6,5.0,0.6,21,10,11,1,1,6,8,18,2,9,3,5,60,7,12,0,0
C.J. Miles,milescj01,21-22,BOS,SG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0
Daniel Theis,theisda01,21-22,HOU-BOS,C,8.2,1.3,4.9,0.9,0.4,0.7,1.0,0.519,0.308,0.681,20.8,2.4,384,228,41,20,31,46,151,291,33,107,49,72,977,111,47,27,0
Derrick White,whitede01,21-22,SAS-BOS,SG,13.2,0.5,3.5,4.9,0.9,0.8,1.6,0.421,0.312,0.864,29.3,2.3,992,261,366,64,58,119,337,800,115,369,203,235,2199,172,75,52,0
Enes Freedom,kanteen01,21-22,BOS,C,3.7,1.7,4.6,0.2,0.1,0.4,0.6,0.526,0.4,0.857,11.7,1.2,128,160,8,5,14,20,51,97,2,5,24,28,411,42,35,1,0
Grant Williams,willigr01,21-22,BOS,PF,7.8,0.8,3.6,1.0,0.5,0.7,0.8,0.475,0.411,0.905,24.4,2.4,602,274,78,38,57,62,205,432,106,258,86,95,1875,186,77,21,0
Jabari Parker,parkeja01,21-22,BOS,PF,4.4,0.4,2.3,0.5,0.3,0.1,0.7,0.474,0.5,1.0,9.3,1.1,53,28,6,4,1,8,18,38,8,16,9,9,112,13,12,0,0
Jaylen Brown,brownja02,21-22,BOS,SF,23.6,0.8,6.1,3.5,1.1,0.3,2.7,0.473,0.358,0.758,33.6,2.5,1559,404,231,70,18,178,576,1217,166,464,241,318,2220,163,66,66,2
Jayson Tatum,tatumja01,21-22,BOS,SF,26.9,1.1,8.0,4.4,1.0,0.6,2.9,0.453,0.353,0.853,35.9,2.3,2046,609,334,75,49,217,708,1564,230,651,400,469,2731,174,76,76,0
Joe Johnson,johnsjo02,21-22,BOS,SG,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,2.0,0.0,2,0,0,0,0,0,1,1,0,0,0,0,2,0,1,0,0
Juwan Morgan,morgaju01,21-22,TOR-BOS,PF,2.5,1.0,2.0,0.5,0.0,0.0,0.0,0.667,0.5,,15.5,1.5,5,4,1,0,0,0,2,3,1,2,0,0,31,3,2,0,0
Kelan Martin,martike03,21-22,IND-BOS,SF,5.7,0.6,1.8,0.7,0.4,0.3,0.5,0.409,0.293,0.692,15.0,1.2,171,55,21,13,9,14,70,171,22,75,9,13,450,36,30,1,0
Luke Kornet,kornelu01,21-22,CLE-MIL-BOS,C,2.0,0.9,1.9,0.6,0.2,0.2,0.0,0.481,0.0,0.667,6.9,0.6,30,29,9,3,3,0,13,27,0,5,4,6,103,9,15,0,0
Malik Fitts,fittsma01,21-22,UTA-BOS,PF,1.4,0.1,1.1,0.3,0.0,0.0,0.1,0.421,0.5,,4.2,0.3,21,17,5,0,0,2,8,19,5,10,0,0,63,4,15,0,0
Marcus Smart,smartma01,21-22,BOS,PG,12.1,0.6,3.8,5.9,1.7,0.3,2.2,0.418,0.331,0.793,32.3,2.3,861,270,417,119,18,159,300,718,119,360,142,179,2296,160,71,71,0
Matt Ryan,ryanma01,21-22,BOS,SF,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.2,,5.0,0.0,3,0,0,1,0,0,1,5,1,5,0,0,5,0,1,0,0
Nik Stauskas,stausni01,21-22,MIA-BOS,SG,2.2,0.1,0.4,0.2,0.0,0.0,0.1,0.357,0.4,0.667,4.9,0.1,18,3,2,0,0,1,5,14,4,10,4,6,39,1,8,0,0
Payton Pritchard,pritcpa01,21-22,BOS,PG,6.2,0.5,1.9,2.0,0.4,0.1,0.6,0.429,0.412,1.0,14.1,0.9,442,134,139,25,6,41,160,373,101,245,21,21,1001,61,71,2,0
Robert Williams,williro04,21-22,BOS,C,10.0,3.9,9.6,2.0,0.9,2.2,1.0,0.736,0.0,0.722,29.6,2.2,607,588,121,56,134,63,271,368,0,1,65,90,1804,137,61,61,1
Sam Hauser,hausesa01,21-22,BOS,SF,2.5,0.2,1.1,0.4,0.0,0.1,0.1,0.46,0.432,,6.1,0.3,65,29,10,1,2,2,23,50,19,44,0,0,158,7,26,0,0
Al Horford,horfoal01,22-23,BOS,C,9.8,1.2,6.2,3.0,0.5,1.0,0.6,0.476,0.446,0.714,30.5,1.9,616,390,189,30,61,37,228,479,145,325,15,21,1922,121,63,63,0
Blake Griffin,griffbl01,22-23,BOS,C,4.1,1.1,3.8,1.5,0.3,0.2,0.5,0.485,0.348,0.656,13.9,1.8,170,155,61,14,9,22,63,130,23,66,21,32,569,75,41,16,0
Derrick White,whitede01,22-23,BOS,SG,12.4,0.6,3.6,3.9,0.7,0.9,1.2,0.462,0.381,0.875,28.3,2.2,1017,293,321,54,76,95,350,758,149,391,168,192,2319,177,82,70,0
Grant Williams,willigr01,22-23,BOS,PF,8.1,1.1,4.6,1.7,0.5,0.4,1.0,0.454,0.395,0.77,25.9,2.4,641,363,131,41,31,82,216,476,115,291,94,122,2045,192,79,23,0
JD Davison,davisjd01,22-23,BOS,SG,1.6,0.2,0.8,0.9,0.2,0.2,0.3,0.421,0.286,0.5,5.5,0.4,19,9,11,2,2,4,8,19,2,7,1,2,66,5,12,0,0
Jaylen Brown,brownja02,22-23,BOS,SF,26.6,1.2,6.9,3.5,1.1,0.4,2.9,0.491,0.335,0.765,35.9,2.6,1784,459,232,75,26,197,679,1383,163,487,263,344,2405,172,67,67,0
Jayson Tatum,tatumja01,22-23,BOS,SF,30.1,1.1,8.8,4.6,1.1,0.7,2.9,0.466,0.35,0.854,36.9,2.2,2225,649,342,78,51,213,727,1559,240,686,531,622,2732,160,74,74,1
Justin Champagnie,champju01,22-23,TOR-BOS,SF,2.2,0.6,1.6,0.8,0.2,0.0,0.0,0.333,0.2,,6.8,0.4,11,8,4,1,0,0,5,15,1,5,0,0,34,2,5,0,0
Justin Jackson,jacksju01,22-23,BOS,SF,0.9,0.1,0.7,0.4,0.2,0.2,0.1,0.259,0.25,0.5,4.7,0.3,20,17,9,4,4,2,7,27,5,20,1,2,107,7,23,0,0
Luke Kornet,kornelu01,22-23,BOS,C,3.8,1.2,2.9,0.8,0.2,0.7,0.4,0.665,0.231,0.821,11.7,1.2,261,197,53,11,46,25,113,170,3,13,32,39,804,81,69,0,0
Malcolm Brogdon,brogdma01,22-23,BOS,PG,14.9,0.6,4.2,3.7,0.7,0.3,1.5,0.484,0.444,0.87,26.0,1.6,1000,280,248,45,18,98,354,732,132,297,160,184,1744,109,67,0,0
Marcus Smart,smartma01,22-23,BOS,PG,11.5,0.8,3.1,6.3,1.5,0.4,2.3,0.415,0.336,0.746,32.1,2.8,703,191,382,93,23,143,250,602,115,342,88,118,1957,172,61,61,0
Mfiondu Kabengele,kabenmf01,22-23,BOS,PF,1.5,1.2,2.5,0.0,0.5,0.0,0.2,0.286,0.0,1.0,9.0,0.8,6,10,0,2,0,1,2,7,0,3,2,2,36,3,4,0,0
Mike Muscala,muscami01,22-23,OKC-BOS,C,6.1,0.6,3.2,0.8,0.2,0.4,0.4,0.449,0.391,0.769,15.0,1.6,383,203,50,15,24,23,131,292,81,207,40,52,945,98,63,9,0
Noah Vonleh,vonleno01,22-23,BOS,C,1.1,0.8,2.1,0.3,0.1,0.3,0.5,0.458,0.25,1.0,7.4,1.5,25,48,7,2,8,11,11,24,1,4,2,2,171,35,23,1,0
Payton Pritchard,pritcpa01,22-23,BOS,PG,5.6,0.5,1.8,1.3,0.3,0.0,0.8,0.412,0.364,0.75,13.4,0.8,270,88,64,14,1,40,101,245,56,154,12,16,643,37,48,3,1
Robert Williams,williro04,22-23,BOS,C,8.0,3.0,8.3,1.4,0.6,1.4,1.0,0.747,0.0,0.61,23.5,1.9,279,292,50,22,48,34,127,170,0,1,25,41,824,68,35,20,0
Sam Hauser,hausesa01,22-23,BOS,SF,6.4,0.4,2.6,0.9,0.4,0.3,0.4,0.455,0.418,0.706,16.1,1.2,512,204,71,29,21,30,180,396,140,335,12,17,1290,99,80,8,0
Al Horford,horfoal01,23-24,BOS,C,8.6,1.3,6.4,2.6,0.6,1.0,0.7,0.511,0.419,0.867,26.8,1.4,562,413,168,38,62,48,214,419,108,258,26,30,1740,93,65,33,0
Derrick White,whitede01,23-24,BOS,SG,15.2,0.7,4.2,5.2,1.0,1.2,1.5,0.461,0.396,0.901,32.6,2.1,1107,310,377,74,87,112,387,839,196,495,137,152,2381,152,73,73,1
Drew Peterson,peterdr01,23-24,BOS,PF,3.7,0.0,0.3,0.3,0.7,0.0,0.3,0.667,0.6,,7.7,0.3,11,1,1,2,0,1,4,6,3,5,0,0,23,1,3,0,0
JD Davison,davisjd01,23-24,BOS,SG,2.0,0.2,1.2,1.2,0.1,0.1,0.2,0.417,0.429,0.75,4.9,0.5,16,10,10,1,1,2,5,12,3,7,3,4,39,4,8,0,0
Jaden Springer,sprinja01,23-24,PHI-BOS,SG,3.3,0.7,1.6,0.9,0.7,0.3,0.7,0.399,0.208,0.833,10.3,1.3,163,78,44,36,15,34,59,148,10,48,35,42,507,66,49,2,0
Jaylen Brown,brownja02,23-24,BOS,SF,23.0,1.2,5.5,3.6,1.2,0.5,2.4,0.499,0.354,0.703,33.5,2.6,1610,387,249,83,37,166,627,1256,145,410,211,300,2343,185,70,70,1
Jayson Tatum,tatumja01,23-24,BOS,PF,26.9,0.9,8.1,4.9,1.0,0.6,2.5,0.471,0.376,0.833,35.7,2.0,1987,601,364,75,43,188,672,1426,229,609,414,497,2645,145,74,74,0
Jordan Walsh,walshjo01,23-24,BOS,SF,1.7,0.6,2.2,0.6,0.6,0.1,0.3,0.4,0.222,0.5,9.2,1.2,15,20,5,5,1,3,6,15,2,9,1,2,83,11,9,1,0
Jrue Holiday,holidjr01,23-24,BOS,PG,12.5,1.2,5.4,4.8,0.9,0.8,1.8,0.48,0.429,0.833,32.8,1.6,860,373,333,61,53,124,331,689,138,322,60,72,2263,108,69,69,0
Kristaps Porziņģis,porzikr01,23-24,BOS,C,20.1,1.7,7.2,2.0,0.7,1.9,1.6,0.516,0.375,0.858,29.6,2.7,1145,409,115,42,111,89,388,752,110,293,259,302,1690,156,57,57,0
Luke Kornet,kornelu01,23-24,BOS,C,5.3,1.9,4.1,1.1,0.4,1.0,0.3,0.7,1.0,0.907,15.6,1.2,334,261,67,23,61,21,142,203,1,1,49,54,983,77,63,7,0
Neemias Queta,quetane01,23-24,BOS,C,5.5,1.9,4.4,0.7,0.5,0.8,0.5,0.644,,0.714,11.9,1.8,154,122,20,13,21,13,67,104,0,0,20,28,333,50,28,0,0
Oshae Brissett,brissos01,23-24,BOS,SF,3.7,1.1,2.9,0.8,0.3,0.1,0.4,0.444,0.273,0.602,11.5,1.0,201,160,44,19,8,20,68,153,15,55,50,83,630,54,55,1,0
Payton Pritchard,pritcpa01,23-24,BOS,PG,9.6,0.9,3.2,3.4,0.5,0.1,0.7,0.468,0.385,0.821,22.3,1.3,787,265,281,39,6,61,297,635,147,382,46,56,1825,106,82,5,0
Sam Hauser,hausesa01,23-24,BOS,SF,9.0,0.6,3.5,1.0,0.5,0.3,0.4,0.446,0.424,0.895,22.0,1.3,712,276,82,40,25,32,249,558,197,465,17,19,1741,99,79,13,0
Svi Mykhailiuk,mykhasv01,23-24,BOS,SF,4.0,0.3,1.2,0.9,0.3,0.0,0.3,0.416,0.389,0.667,10.1,0.5,162,51,35,11,1,12,57,137,42,108,6,9,413,19,41,2,0
Xavier Tillman Sr.,tillmxa01,23-24,MEM-BOS,PF,5.3,1.3,3.9,1.4,0.9,0.8,0.6,0.434,0.247,0.44,18.0,1.4,284,211,77,51,44,34,121,279,20,81,22,50,974,75,54,15,0
Al Horford,horfoal01,24-25,BOS,C,9.0,1.3,6.2,2.1,0.6,0.8,0.8,0.423,0.363,0.895,27.6,1.4,538,369,128,36,51,46,195,461,114,314,34,38,1659,81,60,42,0
Baylor Scheierman,scheiba01,24-25,BOS,SG,3.6,0.6,2.1,1.1,0.5,0.1,0.4,0.355,0.317,0.75,12.4,0.7,113,65,33,17,2,12,39,110,26,82,9,12,384,22,31,2,0
Derrick White,whitede01,24-25,BOS,SG,16.4,0.9,4.5,4.8,0.9,1.1,1.7,0.442,0.384,0.839,33.9,1.8,1248,341,361,72,80,131,424,959,265,691,135,161,2574,138,76,76,0
Drew Peterson,peterdr01,24-25,BOS,PF,2.2,0.4,1.6,0.5,0.2,0.1,0.3,0.415,0.394,0.778,7.4,0.7,54,40,13,5,2,8,17,41,13,33,7,9,186,18,25,1,0
JD Davison,davisjd01,24-25,BOS,PG,2.1,0.1,0.8,0.8,0.3,0.1,0.8,0.353,0.222,0.714,5.8,0.1,33,13,13,5,1,13,12,34,4,18,5,7,93,2,16,0,0
Jaylen Brown,brownja02,24-25,BOS,SF,22.2,1.3,5.8,4.5,1.2,0.3,2.6,0.463,0.324,0.764,34.3,2.4,1398,368,286,73,19,162,518,1118,116,358,246,322,2158,154,63,63,0
Jayson Tatum,tatumja01,24-25,BOS,PF,26.8,0.7,8.7,6.0,1.1,0.5,2.9,0.452,0.343,0.814,36.4,2.2,1932,623,431,76,38,209,662,1465,250,728,358,440,2624,157,72,72,2
Jordan Walsh,walshjo01,24-25,BOS,PF,1.6,0.4,1.3,0.4,0.2,0.2,0.3,0.361,0.273,0.583,7.8,0.6,82,69,19,12,11,17,30,83,15,55,7,12,403,30,52,1,0
Jrue Holiday,holidjr01,24-25,BOS,PG,11.1,1.2,4.3,3.9,1.1,0.4,1.2,0.443,0.353,0.909,30.6,1.6,686,265,239,66,27,77,254,573,108,306,70,77,1896,101,62,62,0
Kristaps Porziņģis,porzikr01,24-25,BOS,C,19.5,1.6,6.8,2.1,0.7,1.5,1.3,0.483,0.412,0.809,28.8,2.8,818,284,87,31,63,53,277,574,103,250,161,199,1210,116,42,42,0
Luke Kornet,kornelu01,24-25,BOS,C,6.0,2.6,5.3,1.6,0.5,1.0,0.4,0.668,0.0,0.691,18.6,1.6,441,388,117,36,71,31,187,280,0,3,67,97,1361,119,73,16,0
Miles Norris,norrimi01,24-25,BOS,PF,2.3,0.7,3.0,0.0,0.7,0.3,0.0,0.222,0.286,0.5,11.7,0.0,7,9,0,2,1,0,2,9,2,7,1,2,35,0,3,0,0
Neemias Queta,quetane01,24-25,BOS,C,5.0,1.4,3.8,0.7,0.3,0.7,0.6,0.65,0.0,0.754,13.9,1.7,310,236,45,18,42,40,132,203,0,3,46,61,863,106,62,6,0
Payton Pritchard,pritcpa01,24-25,BOS,PG,14.3,1.3,3.8,3.5,0.9,0.2,1.0,0.472,0.407,0.845,28.4,1.5,1144,307,279,70,14,83,409,866,255,626,71,84,2271,118,80,3,0
Sam Hauser,hausesa01,24-25,BOS,PF,8.5,0.6,3.2,0.9,0.6,0.2,0.3,0.451,0.416,1.0,21.7,1.2,605,224,64,41,13,23,214,474,166,399,11,11,1541,87,71,19,0
Torrey Craig,craigto01,24-25,CHI-BOS,SF,4.2,1.0,2.8,0.7,0.3,0.5,0.3,0.422,0.364,0.667,12.1,1.3,108,73,17,8,12,8,38,90,24,66,8,12,314,34,26,4,0
Xavier Tillman Sr.,tillmxa01,24-25,BOS,C,1.0,0.3,1.3,0.2,0.3,0.2,0.4,0.245,0.156,0.75,7.0,0.5,34,43,7,11,5,14,13,53,5,32,3,4,231,18,33,2,0
Amari Williams,william01,25-26,BOS,PF,1.4,0.4,1.8,0.5,0.1,0.5,0.5,0.5,,0.714,6.6,0.9,30,40,10,3,10,11,10,20,0,0,10,14,146,19,22,2,0
Baylor Scheierman,scheiba01,25-26,BOS,SG,5.5,0.7,3.5,1.5,0.5,0.1,0.6,0.453,0.399,0.903,18.6,1.4,427,269,116,42,6,46,151,333,97,243,28,31,1429,108,77,20,0
Chris Boucher,bouchch01,25-26,BOS,PF,2.3,0.2,2.0,0.3,0.6,0.8,0.1,0.32,0.133,0.75,10.4,1.9,21,18,3,5,7,1,8,25,2,15,3,4,94,17,9,0,0
Dalano Banton,bantoda01,25-26,LAC-BOS,PG,2.0,0.3,0.8,1.8,0.3,0.8,1.3,0.333,0.0,1.0,10.3,0.5,12,5,11,2,5,8,4,12,0,1,4,4,62,3,6,0,0
Derrick White,whitede01,25-26,BOS,SG,16.5,1.1,4.4,5.4,1.1,1.3,1.7,0.394,0.327,0.902,34.1,1.5,1267,339,414,88,98,134,437,1108,209,640,184,204,2625,119,77,77,0
Hugo González,gonzahu01,25-26,BOS,SF,3.9,0.8,3.3,0.5,0.6,0.3,0.5,0.476,0.362,0.5,14.6,1.7,289,246,40,42,21,38,117,246,42,116,13,26,1084,124,74,3,0
Jaylen Brown,brownja02,25-26,BOS,SF,28.7,1.1,6.9,5.1,1.0,0.4,3.6,0.477,0.347,0.795,34.4,2.7,2038,492,364,72,27,259,736,1543,140,404,426,536,2443,191,71,71,3
Jayson Tatum,tatumja01,25-26,BOS,PF,21.8,0.5,10.0,5.3,1.4,0.2,2.4,0.411,0.329,0.823,32.6,1.6,348,160,85,22,3,39,118,287,47,143,65,79,522,26,16,16,1
John Tonje,tonjejo01,25-26,BOS,SG,2.5,0.0,1.0,0.3,0.3,0.0,0.0,0.286,0.3,1.0,7.0,0.8,15,6,2,2,0,0,4,14,3,10,4,4,42,5,6,0,0
Jordan Walsh,walshjo01,25-26,BOS,PF,5.4,1.2,4.0,0.8,0.7,0.5,0.5,0.509,0.384,0.772,17.8,2.0,364,272,54,49,31,35,136,267,48,125,44,57,1212,137,68,25,0
Luka Garza,garzalu01,25-26,BOS,C,8.1,2.3,4.1,1.0,0.4,0.4,0.7,0.577,0.433,0.769,16.2,2.3,557,281,66,27,28,46,206,357,55,127,90,117,1118,161,69,6,0
Max Shulga,shulgma01,25-26,BOS,SG,0.6,0.3,0.5,0.2,0.1,0.0,0.3,0.25,0.25,1.0,3.3,0.9,7,6,2,1,0,3,2,8,1,4,2,2,36,10,11,1,0
