Player,Player_ID,Year,Team,Position,PPG,ORPG,RPG,APG,SPG,BPG,TOPG,FG%,3P%,FT%,MPG,FPG,PTS,REB,AST,STL,BLK,TO,FGM,FGA,3PM,3PA,FTM,FTA,MINS,FLS,G,GS,TD
Alex Caruso,carusal01,21-22,CHI,SG,7.4,0.8,3.6,4.0,1.7,0.4,1.4,0.398,0.333,0.795,28.0,2.6,304,148,165,71,15,57,102,256,42,126,58,73,1147,106,41,18,0
Alfonzo McKinnie,mckinal01,21-22,CHI,SF,3.5,0.8,1.9,0.3,0.1,0.2,0.4,0.393,0.333,0.25,12.1,1.5,59,33,5,2,3,7,24,61,9,27,2,8,206,26,17,3,0
Ayo Dosunmu,dosunay01,21-22,CHI,SG,8.8,0.4,2.8,3.3,0.8,0.4,1.4,0.52,0.376,0.679,27.4,2.4,679,214,256,60,29,108,278,535,70,186,53,78,2110,182,77,40,0
Coby White,whiteco01,21-22,CHI,PG,12.7,0.3,3.0,2.9,0.5,0.2,1.1,0.433,0.385,0.857,27.5,2.2,772,182,176,29,11,70,279,644,136,353,78,91,1675,137,61,17,0
DeMar DeRozan,derozde01,21-22,CHI,PF,27.9,0.7,5.2,4.9,0.9,0.3,2.4,0.504,0.352,0.877,36.1,2.3,2118,392,374,68,24,181,774,1535,50,142,520,593,2743,178,76,76,0
Derrick Jones Jr.,jonesde02,21-22,CHI,PF,5.6,1.2,3.3,0.6,0.5,0.6,0.6,0.538,0.328,0.8,17.6,2.1,286,169,30,25,33,30,105,195,20,61,56,70,899,105,51,8,0
Devon Dotson,dotsode01,21-22,CHI,PG,2.6,0.1,0.8,1.4,0.1,0.0,0.5,0.478,0.222,0.556,7.7,1.0,29,9,15,1,0,5,11,23,2,9,5,9,85,11,11,0,0
Javonte Green,greenja02,21-22,CHI,SF,7.2,1.4,4.2,0.9,1.0,0.5,0.5,0.542,0.356,0.833,23.4,2.0,468,276,60,67,32,30,176,325,36,101,80,96,1519,132,65,45,0
Jordan Bell,belljo01,21-22,CHI,C,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,2.0,2.0,0,1,0,1,0,0,0,0,0,0,0,0,2,2,1,0,0
Lonzo Ball,balllo01,21-22,CHI,PG,13.0,1.0,5.4,5.1,1.8,0.9,2.3,0.423,0.423,0.75,34.6,2.4,455,190,178,64,31,82,162,383,110,260,21,28,1212,85,35,35,1
Malcolm Hill,hillma01,21-22,ATL-CHI,SG,3.8,0.6,1.8,0.4,0.4,0.2,0.2,0.462,0.361,0.786,11.2,1.3,72,35,8,7,3,3,24,52,13,36,11,14,212,24,19,0,0
Marko Simonovic,simonma01,21-22,CHI,C,1.9,0.6,1.1,0.0,0.1,0.1,0.2,0.267,0.2,0.727,3.9,0.7,17,10,0,1,1,2,4,15,1,5,8,11,35,6,9,0,0
Matt Thomas,thomama02,21-22,CHI,SG,4.0,0.1,1.2,0.5,0.2,0.1,0.2,0.41,0.385,0.8,11.5,0.4,161,50,20,8,3,8,55,134,35,91,16,20,459,18,40,0,0
Nikola Vučević,vucevni01,21-22,CHI,C,17.6,1.9,11.0,3.2,1.0,1.0,1.9,0.473,0.314,0.76,33.1,2.5,1288,804,236,70,71,136,546,1154,104,331,92,121,2418,181,73,73,0
Patrick Williams,willipa01,21-22,CHI,PF,9.0,1.0,4.1,0.9,0.5,0.5,0.9,0.529,0.517,0.732,24.8,1.6,153,69,15,9,9,16,54,102,15,29,30,41,422,28,17,9,0
Tony Bradley,bradlto01,21-22,CHI,C,3.0,1.2,3.4,0.5,0.2,0.6,0.6,0.585,,0.655,10.0,1.1,163,186,27,10,33,34,72,123,0,0,19,29,549,62,55,7,0
