Player,Player_ID,Year,Team,Position,PPG,ORPG,RPG,APG,SPG,BPG,TOPG,FG%,3P%,FT%,MPG,FPG,PTS,REB,AST,STL,BLK,TO,FGM,FGA,3PM,3PA,FTM,FTA,MINS,FLS,G,GS,TD
Arnoldas Kulboka,kulboar01,21-22,CHO,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.5,0.5,0,0,0,0,0,0,0,1,0,1,0,0,5,1,2,0,0
Cody Martin,martico01,21-22,CHO,SF,7.7,1.2,4.0,2.5,1.2,0.5,0.9,0.482,0.384,0.701,26.3,1.6,544,285,179,88,32,61,204,423,61,159,75,107,1866,116,71,11,0
Gordon Hayward,haywago01,21-22,CHO,SF,15.9,0.8,4.6,3.6,1.0,0.4,1.7,0.459,0.391,0.846,31.9,1.7,778,224,177,47,22,81,283,617,86,220,126,149,1564,85,49,48,0
Isaiah Thomas,thomais02,21-22,LAL-DAL-CHO,PG,8.4,0.2,1.3,1.5,0.3,0.2,0.7,0.401,0.337,0.846,15.1,1.5,184,29,34,7,5,15,67,167,28,83,22,26,333,34,22,1,0
JT Thor,thorjt01,21-22,CHO,PF,2.0,0.3,1.3,0.6,0.2,0.3,0.3,0.436,0.259,0.6,7.9,0.8,67,43,19,8,11,10,24,55,7,27,12,20,262,26,33,0,0
Jalen McDaniels,mcdanja01,21-22,CHO,SF,6.2,0.7,3.1,1.1,0.5,0.4,0.7,0.484,0.38,0.736,16.3,1.7,340,170,58,26,22,36,123,254,41,108,53,72,895,93,55,2,0
James Bouknight,bouknja01,21-22,CHO,SG,4.6,0.7,1.7,0.8,0.2,0.0,0.5,0.348,0.347,0.871,9.8,0.9,142,52,26,7,1,15,49,141,17,49,27,31,304,29,31,0,0
Kai Jones,joneska01,21-22,CHO,C,1.0,0.1,0.5,0.2,0.0,0.1,0.3,0.643,0.5,0.375,3.0,0.4,22,11,4,1,2,6,9,14,1,2,3,8,63,8,21,0,0
Kelly Oubre Jr.,oubreke01,21-22,CHO,SF,15.0,1.0,4.0,1.1,1.0,0.4,0.9,0.44,0.345,0.667,26.3,2.5,1137,302,84,77,31,67,410,932,191,553,126,189,1999,189,76,13,0
LaMelo Ball,ballla01,21-22,CHO,PG,20.1,1.4,6.7,7.6,1.6,0.4,3.3,0.429,0.389,0.872,32.3,3.2,1508,501,571,119,30,245,538,1254,220,565,212,243,2422,237,75,75,5
