Player,Player_ID,Year,Team,Position,PPG,ORPG,RPG,APG,SPG,BPG,TOPG,FG%,3P%,FT%,MPG,FPG,PTS,REB,AST,STL,BLK,TO,FGM,FGA,3PM,3PA,FTM,FTA,MINS,FLS,G,GS,TD
Brandon Goodwin,goodwbr01,21-22,CLE,PG,4.8,0.4,1.9,2.5,0.7,0.0,1.0,0.416,0.345,0.632,13.9,1.1,171,67,91,25,1,36,64,154,19,55,24,38,502,39,36,5,0
Caris LeVert,leverca01,21-22,IND-CLE,SG,17.0,0.7,3.7,4.3,0.9,0.4,1.9,0.444,0.32,0.756,30.7,2.3,986,214,248,51,23,108,379,854,82,256,146,193,1781,131,58,49,0
Cedi Osman,osmande01,21-22,CLE,SF,10.7,0.4,2.2,2.0,0.8,0.2,1.0,0.432,0.357,0.664,22.2,1.9,709,146,135,52,10,67,247,572,128,359,87,131,1462,127,66,3,0
Collin Sexton,sextoco01,21-22,CLE,SG,16.0,1.2,3.3,2.1,0.9,0.0,2.8,0.45,0.244,0.744,28.7,2.3,176,36,23,10,0,31,68,151,11,45,29,39,316,25,11,11,0
Darius Garland,garlada01,21-22,CLE,PG,21.7,0.6,3.3,8.6,1.3,0.1,3.6,0.462,0.383,0.892,35.7,1.7,1473,224,583,89,7,248,542,1173,174,454,215,241,2430,115,68,68,1
Dean Wade,wadede01,21-22,CLE,PF,5.3,0.6,2.9,1.0,0.6,0.1,0.3,0.456,0.359,0.667,19.2,1.7,269,150,52,29,7,16,99,217,51,142,20,30,980,88,51,28,0
Dylan Windler,windldy01,21-22,CLE,SF,2.2,0.4,1.8,0.7,0.3,0.1,0.3,0.378,0.3,0.833,9.2,0.9,110,89,34,14,3,16,37,98,21,70,15,18,459,47,50,0,0
Ed Davis,davised01,21-22,CLE,C,0.9,0.5,2.1,0.2,0.1,0.3,0.2,0.688,,0.429,6.5,1.1,28,64,7,3,9,5,11,16,0,0,6,14,201,33,31,3,0
Evan Mobley,mobleev01,21-22,CLE,PF,15.0,2.1,8.3,2.5,0.8,1.7,1.9,0.508,0.25,0.663,33.8,2.1,1034,570,174,56,115,133,422,830,23,92,167,252,2331,147,69,69,0
Isaac Okoro,okorois01,21-22,CLE,SF,8.8,1.1,3.0,1.8,0.8,0.3,0.9,0.48,0.35,0.768,29.6,2.4,588,201,121,56,22,58,207,431,55,157,119,155,1981,164,67,61,0
Jarrett Allen,allenja01,21-22,CLE,C,16.1,3.4,10.8,1.6,0.8,1.3,1.7,0.677,0.1,0.708,32.3,1.7,904,602,92,44,75,94,369,545,1,10,165,233,1810,97,56,56,0
Kevin Love,loveke01,21-22,CLE,C,13.6,1.2,7.2,2.2,0.4,0.2,1.3,0.43,0.392,0.838,22.5,1.4,1007,536,160,26,18,98,327,761,187,477,166,198,1665,101,74,4,0
Kevin Pangos,pangoke01,21-22,CLE,PG,1.6,0.1,0.5,1.2,0.1,0.0,0.3,0.326,0.231,0.75,6.9,0.5,39,11,30,3,0,7,15,46,6,26,3,4,166,11,24,3,0
Lamar Stevens,stevela01,21-22,CLE,PF,6.1,0.7,2.6,0.7,0.5,0.3,0.7,0.489,0.277,0.707,16.1,1.7,383,164,44,31,18,41,156,319,18,65,53,75,1015,106,63,13,0
Lauri Markkanen,markkla01,21-22,CLE,SF,14.8,1.0,5.7,1.3,0.7,0.5,0.9,0.445,0.358,0.868,30.8,2.1,900,345,81,45,30,54,313,703,136,380,138,159,1878,130,61,61,0
Malik Newman,newmama01,21-22,CLE,PG,8.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6,0.0,1.0,8.0,0.0,8,1,1,0,0,1,3,5,0,1,2,2,8,0,1,0,0
Moses Brown,brownmo01,21-22,DAL-CLE,C,4.3,1.0,3.4,0.0,0.2,0.4,0.5,0.593,,0.597,8.6,1.3,171,135,1,7,16,20,64,108,0,0,43,72,345,53,40,6,0
RJ Nembhard Jr.,nembhrj01,21-22,CLE,SG,1.1,0.2,0.5,0.9,0.1,0.0,0.2,0.333,0.0,0.75,4.5,0.1,15,7,12,1,0,3,6,18,0,2,3,4,63,2,14,0,0
Rajon Rondo,rondora01,21-22,LAL-CLE,PG,4.8,0.4,2.8,4.4,0.8,0.2,1.7,0.386,0.352,0.731,17.9,1.4,186,108,170,30,6,68,68,176,31,88,19,26,698,56,39,1,0
Ricky Rubio,rubiori01,21-22,CLE,PG,13.1,0.4,4.1,6.6,1.4,0.2,2.6,0.363,0.339,0.854,28.5,2.2,445,141,225,49,7,90,149,411,59,174,88,103,970,75,34,8,0
Tacko Fall,fallta01,21-22,CLE,C,1.1,0.6,2.1,0.2,0.0,0.5,0.3,0.417,,0.286,5.4,0.3,12,23,2,0,6,3,5,12,0,0,2,7,59,3,11,1,0
Tim Frazier,fraziti01,21-22,ORL-CLE,PG,3.2,0.4,1.6,2.8,0.2,0.1,1.2,0.311,0.353,0.556,17.3,2.2,39,19,34,3,1,15,14,45,6,17,5,9,208,27,12,3,0
Tre Scott,scotttr01,21-22,CLE,SF,3.0,0.5,1.0,0.0,0.5,0.5,0.0,0.5,0.0,,5.5,1.0,6,2,0,1,1,0,3,6,0,1,0,0,11,2,2,0,0
Caris LeVert,leverca01,22-23,CLE,SG,12.1,0.7,3.8,3.9,1.0,0.3,1.6,0.431,0.392,0.722,30.2,2.3,897,282,287,72,24,116,320,742,127,324,130,180,2237,170,74,30,0
Cedi Osman,osmande01,22-23,CLE,SF,8.7,0.3,2.3,1.5,0.5,0.1,0.7,0.451,0.372,0.694,20.1,1.6,669,176,115,35,11,52,239,530,116,312,75,108,1548,122,77,2,0
Danny Green,greenda02,22-23,MEM-CLE,SG,5.5,0.3,1.3,0.5,0.5,0.3,0.9,0.449,0.432,1.0,12.5,1.5,61,14,6,6,3,10,22,49,16,37,1,1,138,16,11,0,0
