Player,Player_ID,Year,Team,Position,PPG,ORPG,RPG,APG,SPG,BPG,TOPG,FG%,3P%,FT%,MPG,FPG,PTS,REB,AST,STL,BLK,TO,FGM,FGA,3PM,3PA,FTM,FTA,MINS,FLS,G,GS,TD
Aaron Gordon,gordoaa01,21-22,DEN,PF,15.0,1.7,5.9,2.5,0.6,0.6,1.8,0.52,0.335,0.743,31.7,2.0,1126,439,188,44,44,133,434,834,87,260,171,230,2376,148,75,75,0
Austin Rivers,riverau01,21-22,DEN,SG,6.0,0.3,1.7,1.3,0.8,0.1,0.8,0.417,0.342,0.727,22.1,1.8,403,114,90,51,6,54,146,350,79,231,32,44,1480,121,67,18,0
Bol Bol,bolbo01,21-22,DEN,PF,2.4,0.3,1.4,0.4,0.1,0.1,0.3,0.556,0.25,0.4,5.8,0.3,33,20,5,1,2,4,15,27,1,4,2,5,81,4,14,0,0
Bones Hyland,hylanbo01,21-22,DEN,SG,10.1,0.2,2.7,2.8,0.6,0.3,1.2,0.403,0.366,0.856,19.0,2.2,698,188,191,41,20,86,230,571,131,358,107,125,1310,153,69,4,0
Bryn Forbes,forbebr01,21-22,SAS-DEN,SG,8.8,0.1,1.2,1.0,0.3,0.1,0.7,0.429,0.414,0.908,17.1,1.3,663,93,75,25,5,56,231,539,122,295,79,87,1286,95,75,2,0
Carlik Jones,jonesca03,21-22,DAL-DEN,PG,0.8,0.2,0.6,1.0,0.2,0.0,0.6,0.111,0.0,1.0,4.6,0.0,4,3,5,1,0,3,1,9,0,1,2,2,23,0,5,0,0
Davon Reed,reedda01,21-22,DEN,SG,4.4,0.3,2.2,1.1,0.5,0.2,0.3,0.503,0.43,0.667,13.9,1.3,209,108,53,24,9,16,81,161,37,86,10,15,668,63,48,5,0
DeMarcus Cousins,couside01,21-22,MIL-DEN,C,9.0,1.5,5.6,1.5,0.7,0.4,1.8,0.46,0.303,0.76,15.0,2.9,430,270,71,35,21,85,149,324,37,122,95,125,718,139,48,7,0
Facundo Campazzo,campafa01,21-22,DEN,PG,5.1,0.4,1.8,3.4,1.0,0.4,1.0,0.361,0.301,0.769,18.2,1.9,332,117,220,63,23,67,107,296,58,193,60,78,1184,124,65,4,0
JaMychal Green,greenja01,21-22,DEN,PF,6.4,1.2,4.2,0.9,0.6,0.4,0.9,0.486,0.266,0.871,16.2,2.4,432,281,59,43,26,57,159,327,33,124,81,93,1085,158,67,8,0
James Ennis III,ennisja01,21-22,BRK-LAC-DEN,SF,4.1,0.7,1.7,0.4,0.3,0.3,0.3,0.458,0.375,0.8,8.0,0.7,29,12,3,2,2,2,11,24,3,8,4,5,56,5,7,0,0
Jeff Green,greenje02,21-22,DEN,PF,10.3,0.5,3.1,1.3,0.4,0.4,0.9,0.524,0.315,0.833,24.7,2.0,772,231,96,28,27,71,277,529,53,168,165,198,1849,151,75,63,0
Markus Howard,howarma02,21-22,DEN,SG,4.1,0.1,0.4,0.2,0.3,0.0,0.2,0.386,0.4,0.87,5.7,0.5,126,12,7,9,0,7,39,101,28,70,20,23,176,17,31,0,0
Michael Porter Jr.,portemi01,21-22,DEN,SF,9.9,1.0,6.6,1.9,1.1,0.2,1.3,0.359,0.208,0.556,29.4,1.8,89,59,17,10,2,12,37,103,10,48,5,9,265,16,9,9,0
Monte Morris,morrimo01,21-22,DEN,PG,12.6,0.4,3.0,4.4,0.7,0.2,1.0,0.484,0.395,0.869,29.9,1.2,945,226,333,56,14,78,374,773,124,314,73,84,2239,92,75,74,0
Nikola Jokić,jokicni01,21-22,DEN,C,27.1,2.8,13.8,7.9,1.5,0.9,3.8,0.583,0.337,0.81,33.5,2.6,2004,1019,584,109,63,281,764,1311,97,288,379,468,2476,191,74,74,19
PJ Dozier,doziepj01,21-22,DEN,SG,5.4,0.8,3.5,1.6,0.6,0.3,0.7,0.364,0.313,0.769,18.9,1.8,97,63,29,11,6,13,36,99,15,48,10,13,340,33,18,0,0
Petr Cornelie,cornepe01,21-22,DEN,PF,1.1,0.5,1.1,0.2,0.1,0.1,0.3,0.333,0.125,0.75,2.9,0.5,14,14,3,1,1,4,5,15,1,8,3,4,38,7,13,0,0
Vlatko Čančar,cancavl01,21-22,DEN,PF,4.1,0.5,2.1,1.1,0.1,0.2,0.6,0.561,0.583,0.643,11.7,1.2,62,31,17,2,3,9,23,41,7,12,9,14,176,18,15,1,0
