Player,Player_ID,Year,Team,Position,PPG,ORPG,RPG,APG,SPG,BPG,TOPG,FG%,3P%,FT%,MPG,FPG,PTS,REB,AST,STL,BLK,TO,FGM,FGA,3PM,3PA,FTM,FTA,MINS,FLS,G,GS,TD
Braxton Key,keybr01,21-22,PHI-DET,SF,7.2,1.2,4.5,1.0,0.9,1.0,1.0,0.458,0.286,0.538,17.9,2.4,79,50,11,10,11,11,33,72,6,21,7,13,197,26,11,0,0
Cade Cunningham,cunnica01,21-22,DET,SG,17.4,0.9,5.5,5.6,1.2,0.7,3.7,0.416,0.314,0.845,32.6,3.1,1114,354,356,78,43,234,429,1031,114,363,142,168,2088,200,64,64,2
Carsen Edwards,edwarca01,21-22,DET,SG,5.8,0.5,1.5,3.5,0.5,0.0,1.2,0.3,0.25,1.0,19.8,1.0,23,6,14,2,0,5,9,30,4,16,1,1,79,4,4,0,0
Cassius Stanley,stanlca01,21-22,DET,SG,5.8,0.6,2.1,0.4,0.6,0.2,0.7,0.413,0.235,1.0,17.2,1.9,52,19,4,5,2,6,19,46,4,17,10,10,155,17,9,1,0
Cheick Diallo,diallch01,21-22,DET,C,3.7,1.3,4.0,0.0,0.3,0.0,0.3,0.375,,0.833,10.3,2.0,11,12,0,1,0,1,3,8,0,0,5,6,31,6,3,0,0
Cory Joseph,josepco01,21-22,DET,PG,8.0,0.4,2.7,3.6,0.6,0.3,1.3,0.445,0.414,0.885,24.6,2.3,521,174,237,42,17,85,178,400,65,157,100,113,1600,147,65,39,0
Deividas Sirvydis,sirvyde01,21-22,DET,SG,1.0,0.0,2.0,0.3,1.0,0.3,0.0,0.1,0.143,,9.0,1.3,3,6,1,3,1,0,1,10,1,7,0,0,27,4,3,0,0
Derrick Walton,waltode01,21-22,DET,PG,6.3,0.7,3.3,7.0,2.3,1.3,3.7,0.231,0.231,1.0,36.0,2.7,19,10,21,7,4,11,6,26,3,13,4,4,108,8,3,3,0
Frank Jackson,jacksfr01,21-22,DET,PG,10.6,0.4,1.6,1.0,0.5,0.2,0.7,0.402,0.308,0.827,22.0,1.7,560,87,55,27,9,38,194,483,86,279,86,104,1164,89,53,7,0
Hamidou Diallo,diallha01,21-22,DET,SG,11.0,1.2,4.8,1.3,1.2,0.3,1.0,0.496,0.247,0.65,21.9,2.5,636,277,73,71,17,58,261,526,23,93,91,140,1269,143,58,29,0
