Player,Player_ID,Year,Team,Position,PPG,ORPG,RPG,APG,SPG,BPG,TOPG,FG%,3P%,FT%,MPG,FPG,PTS,REB,AST,STL,BLK,TO,FGM,FGA,3PM,3PA,FTM,FTA,MINS,FLS,G,GS,TD
Alperen Şengün,sengual01,21-22,HOU,C,9.6,1.9,5.5,2.6,0.8,0.9,2.0,0.474,0.248,0.711,20.7,3.0,692,393,185,59,68,145,249,525,29,117,165,232,1489,214,72,13,0
Bruno Fernando,fernabr01,21-22,BOS-HOU,C,2.9,0.6,1.8,0.2,0.0,0.4,0.5,0.655,0.5,0.625,5.1,0.8,88,55,7,1,11,14,36,55,1,2,15,24,152,24,30,0,0
Christian Wood,woodch01,21-22,HOU,C,17.9,1.6,10.1,2.3,0.8,1.0,1.9,0.501,0.39,0.623,30.8,2.5,1218,686,155,54,65,126,440,878,131,336,207,332,2094,171,68,67,0
Daishen Nix,nixda01,21-22,HOU,SG,3.2,0.3,1.4,1.7,0.6,0.0,1.1,0.403,0.269,0.533,10.9,0.9,77,33,40,15,0,26,27,67,7,26,16,30,261,21,24,0,0
David Nwaba,nwabada01,21-22,HOU,SF,5.1,0.9,3.3,0.8,0.6,0.4,0.5,0.483,0.306,0.716,13.2,1.2,233,151,35,28,20,21,85,176,15,49,48,67,609,55,46,4,0
Dennis Schröder,schrode01,21-22,BOS-HOU,PG,13.5,0.5,3.3,4.6,0.8,0.1,2.2,0.431,0.344,0.853,28.7,2.4,867,214,296,53,8,143,312,724,86,250,157,184,1837,154,64,29,0
Eric Gordon,gordoer01,21-22,HOU,SG,13.4,0.3,2.0,2.7,0.5,0.3,1.9,0.475,0.412,0.778,29.3,1.1,765,113,154,28,18,107,268,564,124,301,105,135,1670,63,57,46,0
Garrison Mathews,mathega01,21-22,HOU,SG,10.0,0.5,2.9,1.0,0.9,0.4,0.6,0.399,0.36,0.794,26.3,2.6,650,190,64,57,24,41,184,461,139,386,143,180,1712,168,65,33,0
Jae'Sean Tate,tateja01,21-22,HOU,PF,11.8,1.7,5.4,2.8,0.9,0.5,1.8,0.498,0.312,0.707,26.4,3.7,919,420,222,72,41,139,363,729,63,202,130,184,2056,286,78,77,0
Jalen Green,greenja05,21-22,HOU,SG,17.3,0.5,3.4,2.6,0.7,0.3,2.0,0.426,0.343,0.797,31.9,1.5,1157,226,176,44,18,135,406,954,157,458,188,236,2138,103,67,67,0
Josh Christopher,chrisjo01,21-22,HOU,SG,7.9,0.7,2.5,2.0,0.9,0.2,1.5,0.448,0.296,0.735,18.0,1.3,587,186,150,65,13,114,224,500,56,189,83,113,1334,97,74,2,0
KJ Martin,martike04,21-22,HOU,SF,8.8,1.0,3.8,1.3,0.4,0.5,0.8,0.533,0.357,0.634,21.0,1.4,696,297,101,34,40,60,279,523,60,168,78,123,1656,113,79,2,0
Kevin Porter Jr.,porteke02,21-22,HOU,PG,15.6,0.7,4.4,6.2,1.1,0.4,3.1,0.415,0.375,0.642,31.3,2.6,949,267,376,69,22,192,335,808,155,413,124,193,1907,156,61,61,1
Trevelin Queen,queentr01,21-22,HOU,SG,4.3,0.7,1.6,0.4,0.5,0.1,0.7,0.455,0.375,1.0,7.4,0.6,43,16,4,5,1,7,15,33,9,24,4,4,74,6,10,0,0
Usman Garuba,garubus01,21-22,HOU,PF,2.0,0.9,3.5,0.7,0.4,0.5,0.2,0.432,0.25,0.714,10.0,1.2,48,83,17,10,11,6,19,44,5,20,5,7,240,28,24,2,0
Alperen Şengün,sengual01,22-23,HOU,C,14.8,3.2,9.0,3.9,0.9,0.9,2.6,0.553,0.333,0.715,28.9,3.4,1109,678,291,70,70,193,442,799,19,57,206,288,2171,258,75,72,2
Boban Marjanović,marjabo01,22-23,HOU,C,3.3,0.6,1.9,0.3,0.2,0.1,0.5,0.683,0.0,0.741,5.5,0.3,102,60,9,5,2,14,41,60,0,1,20,27,171,10,31,0,0
Daishen Nix,nixda01,22-23,HOU,PG,4.0,0.3,1.7,2.3,0.5,0.1,1.5,0.342,0.286,0.667,16.0,1.0,226,98,132,31,7,86,81,237,40,140,24,36,914,59,57,7,0
Darius Days,daysda01,22-23,HOU,SF,3.8,0.2,1.5,0.2,0.0,0.2,0.0,0.417,0.3,1.0,6.2,0.5,15,6,1,0,1,0,5,12,3,10,2,2,25,2,4,0,0
Frank Kaminsky,kaminfr01,22-23,ATL-HOU,C,2.5,0.2,1.4,0.9,0.2,0.1,0.2,0.492,0.394,0.875,6.5,0.6,89,52,32,6,4,9,31,63,13,33,14,16,235,22,36,0,0
Jabari Smith Jr.,smithja05,22-23,HOU,PF,12.8,1.5,7.2,1.3,0.5,0.9,1.3,0.408,0.307,0.786,31.0,2.9,1010,569,101,43,74,104,364,892,120,391,162,206,2451,227,79,79,0
Jae'Sean Tate,tateja01,22-23,HOU,SF,9.1,1.3,3.8,2.7,0.7,0.2,1.5,0.48,0.283,0.725,21.8,3.4,283,118,84,21,7,47,110,229,13,46,50,69,677,106,31,7,0
Jalen Green,greenja05,22-23,HOU,SG,22.1,0.6,3.7,3.7,0.8,0.2,2.6,0.416,0.338,0.786,34.2,1.7,1683,284,281,59,18,200,566,1359,187,554,364,463,2602,131,76,76,0
Josh Christopher,chrisjo01,22-23,HOU,SG,5.8,0.3,1.1,1.1,0.5,0.2,0.9,0.465,0.236,0.75,12.3,0.9,372,71,73,33,15,60,153,329,21,89,45,60,786,59,64,2,0
KJ Martin,martike04,22-23,HOU,SF,12.7,1.5,5.5,1.5,0.5,0.4,1.1,0.569,0.315,0.68,28.0,1.8,1039,452,123,41,30,91,410,720,68,216,151,222,2292,147,82,49,0
Kevin Porter Jr.,porteke02,22-23,HOU,PG,19.2,1.3,5.3,5.7,1.4,0.3,3.2,0.442,0.366,0.784,34.3,2.6,1130,314,338,82,17,188,391,884,141,385,207,264,2024,156,59,59,1
Tari Eason,easonta01,22-23,HOU,PF,9.3,2.4,6.0,1.1,1.2,0.6,1.2,0.448,0.343,0.752,21.5,2.3,760,496,88,96,47,101,296,660,59,172,109,145,1767,189,82,5,0
Trevor Hudgins,hudgitr01,22-23,HOU,PG,1.8,0.0,0.0,0.6,0.0,0.0,0.2,0.222,0.25,1.0,5.6,0.2,9,0,3,0,0,1,2,9,2,8,3,3,28,1,5,0,0
TyTy Washington Jr.,washity02,22-23,HOU,PG,4.7,0.1,1.5,1.5,0.5,0.1,0.5,0.363,0.238,0.556,14.0,0.9,145,45,47,15,2,14,58,160,19,80,10,18,433,29,31,2,0
Usman Garuba,garubus01,22-23,HOU,C,3.0,1.6,4.1,0.9,0.6,0.4,0.6,0.486,0.407,0.617,12.9,1.8,225,307,64,44,29,47,86,177,24,59,29,47,970,135,75,1,0
Aaron Holiday,holidaa01,23-24,HOU,PG,6.6,0.3,1.6,1.8,0.5,0.1,0.7,0.446,0.387,0.921,16.3,1.6,514,123,140,42,6,53,186,417,84,217,58,63,1269,125,78,1,0
Alperen Şengün,sengual01,23-24,HOU,C,21.1,2.9,9.3,5.0,1.2,0.7,2.6,0.537,0.297,0.693,32.5,3.3,1331,589,312,76,46,162,527,982,33,111,244,352,2046,211,63,63,2
