Player,Player_ID,Year,Team,Position,PPG,ORPG,RPG,APG,SPG,BPG,TOPG,FG%,3P%,FT%,MPG,FPG,PTS,REB,AST,STL,BLK,TO,FGM,FGA,3PM,3PA,FTM,FTA,MINS,FLS,G,GS,TD
Ahmad Caver,caverah01,21-22,IND,SG,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,1.0,0.0,2,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0
Buddy Hield,hieldbu01,21-22,SAC-IND,SG,15.6,0.8,4.4,2.8,0.9,0.3,1.9,0.406,0.366,0.874,30.9,2.3,1265,353,229,73,25,153,446,1098,262,716,111,127,2499,184,81,32,0
Chris Duarte,duartch01,21-22,IND,SG,13.1,0.7,4.1,2.1,1.0,0.2,1.6,0.432,0.369,0.804,28.0,1.7,720,226,114,56,10,90,268,621,94,255,90,112,1541,95,55,39,0
DeJon Jarreau,jarrede01,21-22,IND,SG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Duane Washington Jr.,washidu02,21-22,IND,PG,9.9,0.1,1.7,1.8,0.5,0.1,1.2,0.405,0.377,0.754,20.2,1.4,473,83,85,26,3,57,173,427,81,215,46,61,968,66,48,7,0
Gabe York,yorkga01,21-22,IND,SG,4.0,0.0,1.0,2.0,1.0,0.5,0.5,0.286,0.167,0.6,10.5,2.0,8,2,4,2,1,1,2,7,1,6,3,5,21,4,2,0,0
Goga Bitadze,bitadgo01,21-22,IND,C,7.0,1.6,3.5,1.1,0.4,0.8,0.9,0.52,0.288,0.681,14.6,2.1,349,177,55,21,42,46,131,252,23,80,64,94,729,107,50,16,0
Isaiah Jackson,jacksis01,21-22,IND,C,8.2,1.7,4.1,0.3,0.7,1.4,1.1,0.563,0.313,0.682,15.0,2.6,297,149,10,25,52,40,116,206,5,16,60,88,541,92,36,15,0
Jalen Smith,smithja04,21-22,PHO-IND,PF,9.2,2.0,6.0,0.5,0.3,0.8,0.8,0.503,0.328,0.765,18.1,1.9,470,307,24,15,41,42,176,350,40,122,78,102,925,96,51,8,0
Justin Anderson,anderju01,21-22,CLE-IND,SF,6.4,0.2,2.9,2.1,0.5,0.4,0.5,0.379,0.254,0.789,19.8,1.4,102,46,33,8,6,8,36,95,15,59,15,19,316,22,16,6,0
Keifer Sykes,sykeske01,21-22,IND,PG,5.6,0.2,1.4,1.9,0.4,0.1,1.0,0.363,0.3,0.882,17.7,1.6,180,45,62,12,4,33,69,190,27,90,15,17,566,51,32,11,0
Lance Stephenson,stephla01,21-22,ATL-IND,SG,8.3,0.3,2.8,3.6,0.5,0.1,1.6,0.455,0.3,0.788,17.7,2.1,384,127,165,24,4,72,147,323,27,90,63,80,814,96,46,1,0
Malcolm Brogdon,brogdma01,21-22,IND,PG,19.1,0.9,5.1,5.9,0.8,0.4,2.1,0.448,0.312,0.856,33.5,2.0,687,185,212,30,14,77,243,543,58,186,143,167,1206,71,36,36,1
Myles Turner,turnemy01,21-22,IND,C,12.9,1.5,7.1,1.0,0.7,2.8,1.3,0.509,0.333,0.752,29.4,2.8,540,297,44,28,118,54,200,393,61,183,79,105,1235,119,42,42,0
Nate Hinton,hintona01,21-22,IND,SG,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,,,1.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,2,0,0
Oshae Brissett,brissos01,21-22,IND,SF,9.1,1.6,5.3,1.1,0.7,0.4,0.8,0.411,0.35,0.695,23.3,1.7,613,358,72,44,29,54,208,506,83,237,114,164,1564,116,67,25,0
Reggie Perry,perryre01,21-22,POR-IND,PF,9.2,1.5,4.7,1.2,0.9,0.6,1.1,0.506,0.188,0.6,18.7,3.3,92,47,12,9,6,11,40,79,3,16,9,15,187,33,10,1,0
T.J. McConnell,mccontj01,21-22,IND,PG,8.5,0.7,3.3,4.9,1.1,0.4,1.1,0.481,0.303,0.826,24.1,2.0,229,90,131,29,10,29,100,208,10,33,19,23,652,53,27,8,0
Terry Taylor,taylote01,21-22,IND,PF,9.6,2.9,5.2,1.2,0.4,0.2,0.7,0.614,0.316,0.706,21.6,1.8,318,172,41,14,8,23,135,220,12,38,36,51,714,61,33,7,0
Tyrese Haliburton,halibty01,21-22,SAC-IND,PG,15.3,0.8,4.0,8.2,1.7,0.6,2.6,0.473,0.414,0.842,35.0,1.6,1181,311,628,134,49,199,430,909,161,389,160,190,2695,121,77,77,0
Aaron Nesmith,nesmiaa01,22-23,IND,SF,10.1,0.8,3.8,1.3,0.8,0.5,1.0,0.427,0.366,0.838,24.9,3.2,738,277,98,55,34,75,252,590,115,314,119,142,1816,235,73,60,0
Andrew Nembhard,nembhan01,22-23,IND,SG,9.5,0.5,2.7,4.5,0.9,0.2,1.7,0.441,0.35,0.79,27.6,2.4,709,199,341,70,13,126,284,644,92,263,49,62,2073,179,75,63,0
Bennedict Mathurin,mathube01,22-23,IND,SG,16.7,1.1,4.1,1.5,0.6,0.2,1.9,0.434,0.323,0.828,28.5,2.1,1302,318,116,48,13,152,413,951,100,310,376,454,2222,162,78,17,0
Buddy Hield,hieldbu01,22-23,IND,SF,16.8,0.8,5.0,2.8,1.2,0.3,1.7,0.458,0.425,0.822,31.0,2.0,1344,400,225,92,26,139,475,1038,288,677,106,129,2482,156,80,73,0
Chris Duarte,duartch01,22-23,IND,SF,7.9,0.4,2.5,1.4,0.5,0.2,0.9,0.369,0.316,0.847,19.5,1.4,362,115,64,25,9,41,123,333,55,174,61,72,897,65,46,12,0
Daniel Theis,theisda01,22-23,IND,C,7.0,1.0,3.1,1.3,0.3,0.9,0.4,0.477,0.182,0.417,15.6,1.0,49,22,9,2,6,3,21,44,2,11,5,12,109,7,7,1,0
Gabe York,yorkga01,22-23,IND,SG,8.0,0.0,2.0,1.7,0.7,0.0,0.0,0.381,0.333,1.0,18.7,1.7,24,6,5,2,0,0,8,21,6,18,2,2,56,5,3,0,0
George Hill,hillge01,22-23,MIL-IND,SG,5.0,0.3,1.8,2.4,0.6,0.1,0.7,0.47,0.358,0.764,18.1,1.2,232,85,110,26,6,34,78,166,34,95,42,55,834,55,46,1,0
Isaiah Jackson,jacksis01,22-23,IND,C,7.2,1.8,4.5,0.8,0.5,1.5,0.8,0.563,0.143,0.651,16.5,2.4,455,282,51,31,93,51,179,318,2,14,95,146,1042,154,63,12,0
Jalen Smith,smithja04,22-23,IND,C,9.4,1.9,5.8,1.0,0.3,0.9,1.1,0.476,0.283,0.759,18.8,2.2,642,394,66,21,60,72,242,508,54,191,104,137,1279,153,68,31,0
James Johnson,johnsja01,22-23,IND,PF,2.8,0.2,1.7,0.8,0.4,0.3,0.4,0.449,0.2,0.5,9.0,1.8,51,30,15,7,6,8,22,49,3,15,4,8,162,32,18,1,0
Jordan Nwora,nworajo01,22-23,MIL-IND,SF,8.7,0.8,3.7,1.4,0.4,0.2,1.1,0.436,0.408,0.791,19.2,1.2,542,229,88,24,14,66,194,445,86,211,68,86,1188,74,62,14,0
Kendall Brown,brownke03,22-23,IND,SG,1.5,0.3,1.0,0.5,0.7,0.0,0.3,0.571,0.0,0.5,6.7,1.5,9,6,3,4,0,2,4,7,0,1,1,2,40,9,6,0,0
Myles Turner,turnemy01,22-23,IND,C,18.0,1.4,7.5,1.4,0.6,2.3,1.7,0.548,0.373,0.783,29.4,3.5,1113,466,89,36,140,103,402,733,93,249,216,276,1825,215,62,62,0
Oshae Brissett,brissos01,22-23,IND,PF,6.1,1.0,3.4,0.7,0.5,0.2,0.5,0.386,0.31,0.717,16.7,1.2,398,218,44,33,13,34,123,319,48,155,104,145,1083,79,65,2,0
T.J. McConnell,mccontj01,22-23,IND,PG,8.7,0.6,3.1,5.3,1.1,0.1,1.9,0.543,0.441,0.853,20.3,1.4,650,234,397,81,10,143,283,521,26,59,58,68,1526,105,75,6,1
Trevelin Queen,queentr01,22-23,IND,SG,3.0,1.1,2.4,0.9,0.3,0.7,1.0,0.241,0.133,1.0,10.0,0.6,21,17,6,2,5,7,7,29,2,15,5,5,70,4,7,0,0
Tyrese Haliburton,halibty01,22-23,IND,PG,20.7,0.6,3.7,10.4,1.6,0.4,2.5,0.49,0.4,0.871,33.6,1.2,1160,205,585,91,25,141,412,841,161,402,175,201,1883,69,56,56,0
Aaron Nesmith,nesmiaa01,23-24,IND,SF,12.2,0.9,3.8,1.5,0.9,0.7,0.9,0.496,0.419,0.781,27.7,3.3,877,275,108,65,49,64,315,635,140,334,107,137,1995,241,72,47,0
Andrew Nembhard,nembhan01,23-24,IND,PG,9.2,0.5,2.1,4.1,0.9,0.1,1.5,0.498,0.357,0.804,25.0,2.1,626,141,280,63,6,101,260,522,61,171,45,56,1697,143,68,47,0
Ben Sheppard,sheppbe01,23-24,IND,SG,4.4,0.3,1.6,0.9,0.6,0.0,0.3,0.393,0.314,0.885,14.3,1.5,252,89,53,33,2,15,90,229,49,156,23,26,814,88,57,1,0
Bennedict Mathurin,mathube01,23-24,IND,SF,14.5,1.0,4.0,2.0,0.6,0.2,1.6,0.446,0.374,0.821,26.1,2.0,856,234,119,35,14,97,296,663,80,214,184,224,1538,117,59,19,0
Doug McDermott,mcderdo01,23-24,SAS-IND,SF,5.5,0.2,0.9,1.1,0.2,0.0,0.4,0.433,0.41,0.579,14.1,1.0,351,59,70,16,2,28,123,284,94,229,11,19,904,64,64,0,0
Isaiah Jackson,jacksis01,23-24,IND,C,6.5,1.6,4.0,0.8,0.6,1.0,0.7,0.665,0.0,0.716,13.1,2.3,383,238,50,34,61,39,155,233,0,4,73,102,771,137,59,3,0
Isaiah Wong,wongis01,23-24,IND,SG,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,,4.0,0.0,2,0,0,0,0,0,1,3,0,1,0,0,4,0,1,0,0
Jalen Smith,smithja04,23-24,IND,C,9.9,1.8,5.5,1.0,0.3,0.6,0.7,0.592,0.424,0.692,17.2,2.0,601,337,63,17,38,44,234,395,61,144,72,104,1047,124,61,14,0
James Johnson,johnsja01,23-24,IND,PF,0.9,0.1,0.4,0.9,0.6,0.1,0.6,0.3,0.0,1.0,5.2,1.0,8,4,8,5,1,5,3,10,0,2,2,2,47,9,9,0,0
Jarace Walker,walkeja02,23-24,IND,PF,3.6,0.4,1.9,1.2,0.5,0.3,0.5,0.409,0.4,0.889,10.3,0.9,120,63,40,15,11,17,45,110,22,55,8,9,340,29,33,0,0
Kendall Brown,brownke03,23-24,IND,SG,1.4,0.2,0.3,0.3,0.0,0.0,0.1,0.533,0.0,0.625,4.2,0.6,21,5,5,0,0,2,8,15,0,2,5,8,63,9,15,0,0
Myles Turner,turnemy01,23-24,IND,C,17.1,1.5,6.9,1.3,0.5,1.9,1.4,0.524,0.358,0.773,27.0,3.0,1313,533,100,39,144,109,476,909,116,324,245,317,2076,232,77,77,0
Obi Toppin,toppiob01,23-24,IND,PF,10.3,1.0,3.9,1.6,0.6,0.5,0.8,0.573,0.403,0.77,21.1,1.7,843,320,128,47,43,69,332,579,102,253,77,100,1730,143,82,28,0
Oscar Tshiebwe,tshieos01,23-24,IND,PF,3.2,1.0,2.0,0.2,0.2,0.1,0.0,0.5,,0.75,5.2,0.4,26,16,2,2,1,0,10,20,0,0,6,8,42,3,8,0,0
Pascal Siakam,siakapa01,23-24,TOR-IND,PF,21.7,1.7,7.1,4.3,0.8,0.3,1.8,0.536,0.346,0.732,33.2,2.4,1737,565,342,63,25,141,681,1271,85,246,290,396,2657,193,80,80,1
Quenton Jackson,jacksqu01,23-24,IND,PG,0.7,0.0,1.3,0.7,0.3,0.0,0.0,0.0,,1.0,3.7,0.3,2,4,2,1,0,0,0,1,0,0,2,2,11,1,3,0,0
T.J. McConnell,mccontj01,23-24,IND,PG,10.2,0.5,2.7,5.5,1.0,0.1,1.5,0.556,0.409,0.79,18.2,1.1,727,191,390,72,8,108,330,593,18,44,49,62,1291,79,71,4,0
Tyrese Haliburton,halibty01,23-24,IND,PG,20.1,0.5,3.9,10.9,1.2,0.7,2.3,0.477,0.364,0.855,32.2,1.1,1389,271,752,83,48,159,500,1048,195,535,194,227,2224,75,69,68,1
Aaron Nesmith,nesmiaa01,24-25,IND,SF,12.0,0.8,4.0,1.2,0.8,0.4,0.8,0.507,0.431,0.913,24.9,2.5,541,178,54,35,17,37,192,379,84,195,73,80,1122,114,45,37,0
Andrew Nembhard,nembhan01,24-25,IND,SG,10.0,0.5,3.3,5.0,1.2,0.2,1.7,0.458,0.291,0.794,28.9,2.3,653,216,326,79,11,112,247,539,51,175,108,136,1881,149,65,65,0
Ben Sheppard,sheppbe01,24-25,IND,SG,5.3,0.7,2.8,1.3,0.6,0.2,0.3,0.418,0.342,0.889,19.5,2.0,332,177,85,38,14,22,120,287,68,199,24,27,1229,125,63,9,0
Bennedict Mathurin,mathube01,24-25,IND,SF,16.1,1.2,5.3,1.9,0.7,0.3,1.9,0.458,0.34,0.831,29.8,2.2,1156,383,136,47,24,135,391,853,98,288,276,332,2149,162,72,49,0
Enrique Freeman,freemen01,24-25,IND,PF,2.1,0.5,1.4,0.4,0.1,0.1,0.3,0.432,0.1,0.684,8.2,1.0,46,30,9,3,3,6,16,37,1,10,13,19,181,21,22,1,0
Isaiah Jackson,jacksis01,24-25,IND,C,7.0,2.2,5.6,1.0,0.6,1.6,1.0,0.609,,0.5,16.8,2.8,35,28,5,3,8,5,14,23,0,0,7,14,84,14,5,1,0
