Player,Player_ID,Year,Team,Position,PPG,ORPG,RPG,APG,SPG,BPG,TOPG,FG%,3P%,FT%,MPG,FPG,PTS,REB,AST,STL,BLK,TO,FGM,FGA,3PM,3PA,FTM,FTA,MINS,FLS,G,GS,TD
Amir Coffey,coffeam01,21-22,LAC,SG,9.0,0.4,2.9,1.8,0.6,0.2,0.7,0.453,0.378,0.863,22.7,1.3,619,197,124,38,15,45,211,466,96,254,101,117,1567,87,69,30,0
Brandon Boston Jr.,bostobr01,21-22,LAC,SG,6.7,0.3,2.2,1.0,0.5,0.3,0.6,0.385,0.306,0.819,14.9,0.8,343,111,51,26,13,31,125,325,34,111,59,72,760,43,51,0,0
Eric Bledsoe,bledser01,21-22,LAC,PG,9.9,0.5,3.4,4.2,1.3,0.4,2.1,0.421,0.313,0.761,25.2,1.6,534,182,225,69,19,116,197,468,51,163,89,117,1361,85,54,29,0
Isaiah Hartenstein,harteis01,21-22,LAC,C,8.3,1.7,4.9,2.4,0.7,1.1,1.2,0.626,0.467,0.689,17.9,2.5,563,332,160,50,77,84,229,366,14,30,91,132,1216,167,68,0,0
Ivica Zubac,zubaciv01,21-22,LAC,C,10.3,2.9,8.5,1.6,0.5,1.0,1.5,0.626,,0.727,24.4,2.7,785,644,120,36,77,114,310,495,0,0,165,227,1852,203,76,76,0
Jay Scrubb,scrubja01,21-22,LAC,SG,2.7,0.1,0.9,0.4,0.2,0.2,0.4,0.391,0.286,0.7,6.7,0.5,49,16,8,4,3,7,18,46,6,21,7,10,121,9,18,0,0
Luke Kennard,kennalu01,21-22,LAC,SG,11.9,0.3,3.3,2.1,0.6,0.1,0.9,0.449,0.449,0.896,27.4,1.4,833,229,146,42,6,60,287,639,190,423,69,77,1919,101,70,13,0
Marcus Morris,morrima03,21-22,LAC,PF,15.4,0.5,4.4,2.1,0.5,0.3,1.3,0.434,0.367,0.872,29.0,2.1,830,239,113,28,18,69,300,691,101,275,129,148,1564,115,54,54,0
Nicolas Batum,batumni01,21-22,LAC,PF,8.3,0.5,4.3,1.7,1.0,0.7,0.7,0.463,0.4,0.658,24.8,1.4,491,254,100,58,42,40,179,387,108,270,25,38,1463,80,59,54,0
Norman Powell,powelno01,21-22,POR-LAC,SF,19.0,0.4,3.2,2.1,0.9,0.5,1.5,0.461,0.419,0.811,32.4,2.4,853,145,96,42,21,69,279,605,106,253,189,233,1458,106,45,41,0
Paul George,georgpa01,21-22,LAC,PF,24.3,0.4,6.9,5.7,2.2,0.4,4.1,0.421,0.354,0.858,34.7,2.4,754,213,176,67,13,126,268,636,91,257,127,148,1077,74,31,31,0
Reggie Jackson,jacksre01,21-22,LAC,SG,16.8,0.5,3.6,4.8,0.7,0.2,2.3,0.392,0.326,0.847,31.2,2.1,1263,271,359,55,15,173,479,1222,167,512,138,163,2337,159,75,75,0
Robert Covington,covinro01,21-22,POR-LAC,PF,8.5,0.8,5.5,1.3,1.5,1.3,1.1,0.42,0.378,0.841,27.3,2.7,604,391,92,103,91,75,209,498,128,339,58,69,1940,190,71,42,0
Rodney Hood,hoodro01,21-22,MIL-LAC,SF,3.1,0.3,1.5,0.7,0.3,0.1,0.2,0.369,0.33,0.895,13.6,0.6,163,77,38,15,6,11,58,157,30,91,17,19,709,31,52,0,0
Semi Ojeleye,ojelese01,21-22,MIL-LAC,PF,3.3,0.9,2.5,0.3,0.2,0.2,0.3,0.303,0.3,0.793,13.5,1.0,98,74,9,7,6,9,30,99,15,50,23,29,406,30,30,0,0
Terance Mann,mannte01,21-22,LAC,SF,10.8,1.3,5.2,2.6,0.7,0.3,1.0,0.484,0.365,0.78,28.6,2.2,872,425,209,55,21,84,334,690,76,208,128,164,2317,178,81,33,0
Xavier Moon,moonxa01,21-22,LAC,SG,5.8,0.2,1.4,2.4,0.7,0.3,0.6,0.49,0.357,0.6,13.7,0.9,58,14,24,7,3,6,25,51,5,14,3,5,137,9,10,0,0
Amir Coffey,coffeam01,22-23,LAC,SF,3.4,0.3,1.1,1.1,0.1,0.1,0.4,0.386,0.275,0.778,12.5,1.0,172,53,53,7,5,21,56,145,11,40,49,63,625,50,50,9,0
Bones Hyland,hylanbo01,22-23,DEN-LAC,PG,11.8,0.4,2.4,3.1,0.7,0.3,1.5,0.399,0.371,0.843,19.4,1.7,659,135,172,39,15,82,228,571,117,315,86,102,1085,96,56,1,0
Brandon Boston Jr.,bostobr01,22-23,LAC,SF,6.5,0.3,1.4,0.9,0.4,0.0,0.5,0.418,0.414,0.763,11.3,1.0,143,30,20,9,0,12,51,122,12,29,29,38,248,21,22,1,0
Eric Gordon,gordoer01,22-23,HOU-LAC,SG,12.4,0.2,1.9,2.7,0.6,0.4,1.5,0.446,0.371,0.821,28.5,1.1,856,134,183,43,25,104,291,653,132,356,142,173,1965,78,69,58,0
Ivica Zubac,zubaciv01,22-23,LAC,C,10.8,3.1,9.9,1.0,0.4,1.3,1.5,0.634,0.0,0.697,28.6,2.9,818,756,77,29,98,117,326,514,0,2,166,238,2170,219,76,76,0
Jason Preston,prestja01,22-23,LAC,PG,2.9,0.1,1.6,1.9,0.1,0.0,0.7,0.439,0.278,0.0,8.9,0.5,41,22,27,2,0,10,18,41,5,18,0,2,124,7,14,0,0
John Wall,walljo01,22-23,LAC,PG,11.4,0.4,2.7,5.2,0.8,0.4,2.4,0.408,0.303,0.681,22.2,1.7,386,92,178,27,12,80,138,338,33,109,77,113,755,59,34,3,0
