Player,Player_ID,Year,Team,Position,PPG,ORPG,RPG,APG,SPG,BPG,TOPG,FG%,3P%,FT%,MPG,FPG,PTS,REB,AST,STL,BLK,TO,FGM,FGA,3PM,3PA,FTM,FTA,MINS,FLS,G,GS,TD
Anthony Davis,davisan02,21-22,LAL,C,23.2,2.6,9.8,3.0,1.2,2.2,2.0,0.532,0.186,0.713,35.1,2.4,927,394,122,49,90,82,370,695,13,70,174,244,1404,97,40,40,0
Austin Reaves,reaveau01,21-22,LAL,SG,7.3,0.7,3.2,1.8,0.5,0.3,0.7,0.459,0.317,0.839,23.2,1.4,444,193,110,29,20,40,146,318,53,167,99,118,1418,87,61,19,1
Avery Bradley,bradlav01,21-22,LAL,SG,6.4,0.5,2.2,0.8,0.9,0.1,0.6,0.423,0.39,0.889,22.7,1.9,394,136,47,53,9,38,148,350,82,210,16,18,1406,118,62,45,0
Carmelo Anthony,anthoca01,21-22,LAL,PF,13.3,0.9,4.2,1.0,0.7,0.8,0.9,0.441,0.375,0.83,26.0,2.4,919,288,68,47,52,59,319,723,149,397,132,159,1793,166,69,3,0
D.J. Augustin,augusdj01,21-22,HOU-LAL,PG,5.3,0.2,1.2,1.9,0.3,0.0,1.0,0.423,0.415,0.884,16.1,0.7,294,68,107,17,1,56,94,222,68,164,38,43,883,39,55,2,0
Darren Collison,collida01,21-22,LAL,PG,1.3,0.0,1.3,0.7,0.3,0.0,0.3,0.286,0.0,,12.3,1.7,4,4,2,1,0,1,2,7,0,3,0,0,37,5,3,0,0
Dwight Howard,howardw01,21-22,LAL,C,6.2,2.0,5.9,0.6,0.6,0.6,0.8,0.612,0.533,0.658,16.2,1.9,372,356,35,34,36,47,134,219,8,15,96,146,971,115,60,27,0
Jay Huff,huffja01,21-22,LAL,C,0.0,0.2,1.0,0.2,0.2,0.2,0.2,0.0,0.0,,5.0,0.2,0,4,1,1,1,1,0,3,0,2,0,0,20,1,4,0,0
Jemerrio Jones,jonesje01,21-22,LAL,SF,2.0,1.0,1.5,0.0,0.5,0.0,0.0,0.667,,,7.5,1.0,4,3,0,1,0,0,2,3,0,0,0,0,15,2,2,0,0
Kent Bazemore,bazemke01,21-22,LAL,SF,3.4,0.3,1.8,0.9,0.6,0.2,0.5,0.324,0.363,0.765,14.0,1.8,132,69,34,25,9,21,45,139,29,80,13,17,545,70,39,14,0
LeBron James,jamesle01,21-22,LAL,C,30.3,1.1,8.2,6.2,1.3,1.1,3.5,0.524,0.359,0.756,37.2,2.2,1695,459,349,73,59,196,640,1221,161,448,254,336,2084,121,56,56,6
Mac McClung,mccluma01,21-22,CHI-LAL,SG,4.0,0.0,1.5,0.5,0.5,0.5,1.5,0.5,0.333,1.0,12.5,2.5,8,3,1,1,1,3,3,6,1,3,1,1,25,5,2,0,0
Malik Monk,monkma01,21-22,LAL,SG,13.8,0.5,3.4,2.9,0.8,0.4,1.6,0.473,0.391,0.795,28.1,1.8,1048,256,218,61,29,122,391,826,173,442,93,117,2139,138,76,37,0
Mason Jones,jonesma05,21-22,LAL,SG,6.8,0.2,2.5,1.0,0.5,0.0,0.2,0.467,0.25,0.8,12.8,2.0,27,10,4,2,0,1,7,15,1,4,12,15,51,8,4,0,0
Russell Westbrook,westbru01,21-22,LAL,PG,18.5,1.4,7.4,7.1,1.0,0.3,3.8,0.444,0.298,0.667,34.3,3.0,1441,580,550,75,20,295,548,1233,79,265,266,399,2678,235,78,78,10
Sekou Doumbouya,doumbse01,21-22,LAL,PF,7.0,1.0,3.0,0.0,1.5,1.0,1.0,0.625,0.5,0.75,8.0,0.5,14,6,0,3,2,2,5,8,1,2,3,4,16,1,2,0,0
Stanley Johnson,johnsst04,21-22,LAL,PF,6.7,0.7,3.2,1.7,0.9,0.3,0.7,0.466,0.314,0.716,22.8,2.3,320,155,80,43,14,35,117,251,33,105,53,74,1094,109,48,27,0
Talen Horton-Tucker,hortota01,21-22,LAL,SG,10.0,0.6,3.2,2.6,1.0,0.5,1.4,0.416,0.269,0.8,25.2,2.5,597,193,159,59,29,82,224,538,49,182,100,125,1511,148,60,19,0
