Player,Player_ID,Year,Team,Position,PPG,ORPG,RPG,APG,SPG,BPG,TOPG,FG%,3P%,FT%,MPG,FPG,PTS,REB,AST,STL,BLK,TO,FGM,FGA,3PM,3PA,FTM,FTA,MINS,FLS,G,GS,TD
Brandon Clarke,clarkbr01,21-22,MEM,PF,10.4,2.1,5.3,1.3,0.6,1.1,0.5,0.644,0.227,0.654,19.5,1.9,666,342,86,39,68,34,288,447,5,22,85,130,1246,122,64,1,0
DaQuan Jeffries,jeffrda01,21-22,MEM,SG,0.7,0.0,0.7,0.3,0.0,0.0,0.0,0.5,0.0,,3.0,0.3,2,2,1,0,0,0,1,2,0,1,0,0,9,1,3,0,0
Dakota Mathias,mathida01,21-22,MEM,SG,1.0,0.0,0.3,0.2,0.2,0.0,0.0,0.333,0.333,,2.7,0.2,6,2,1,1,0,0,2,6,2,6,0,0,16,1,6,0,0
De'Anthony Melton,meltode01,21-22,MEM,SG,10.8,0.9,4.5,2.7,1.4,0.5,1.5,0.404,0.374,0.75,22.7,1.8,791,328,194,104,39,112,281,695,139,372,90,120,1657,128,73,15,0
Desmond Bane,banede01,21-22,MEM,SG,18.2,0.6,4.4,2.7,1.2,0.4,1.5,0.461,0.436,0.903,29.8,2.6,1384,334,208,92,29,111,508,1101,228,523,140,155,2266,196,76,76,0
Dillon Brooks,brookdi01,21-22,MEM,SF,18.4,0.9,3.2,2.8,1.1,0.2,1.6,0.432,0.309,0.849,27.7,3.3,590,102,88,36,8,50,227,526,46,149,90,106,885,105,32,31,0
Ja Morant,moranja01,21-22,MEM,PG,27.4,1.4,5.7,6.7,1.2,0.4,3.4,0.493,0.344,0.761,33.1,1.5,1564,325,384,66,22,196,580,1177,88,256,316,415,1889,86,57,57,1
Jaren Jackson Jr.,jacksja02,21-22,MEM,PF,16.3,1.5,5.8,1.1,0.9,2.3,1.7,0.415,0.319,0.823,27.3,3.5,1272,454,86,73,177,130,430,1036,128,401,284,345,2126,272,78,78,0
Jarrett Culver,culveja01,21-22,MEM,SG,3.5,0.4,1.3,0.9,0.5,0.1,0.5,0.378,0.255,0.471,9.1,1.1,130,48,33,20,5,20,51,135,12,47,16,34,338,42,37,0,0
John Konchar,konchjo01,21-22,MEM,SG,4.8,1.2,4.6,1.5,0.6,0.3,0.4,0.515,0.413,0.551,17.9,1.2,349,329,109,45,22,29,135,262,52,126,27,49,1292,90,72,7,1
Jon Teske,teskejo01,21-22,MEM,C,0.0,0.0,0.7,0.3,0.3,0.0,0.0,0.0,,0.0,2.7,0.3,0,2,1,1,0,0,0,1,0,0,0,2,8,1,3,0,0
Killian Tillie,tilliki02,21-22,MEM,C,3.3,0.6,1.7,0.6,0.6,0.4,0.4,0.339,0.314,0.625,12.8,1.6,118,60,22,23,15,13,43,127,27,86,5,8,461,58,36,3,0
Kyle Anderson,anderky01,21-22,MEM,PF,7.6,1.0,5.3,2.7,1.1,0.7,1.0,0.446,0.33,0.638,21.5,1.6,521,368,183,77,45,71,209,469,36,109,67,105,1484,108,69,11,0
Sam Merrill,merrisa01,21-22,MEM,SG,4.2,0.2,1.2,0.7,0.0,0.0,0.3,0.333,0.304,0.5,9.7,0.5,25,7,4,0,0,2,8,24,7,23,2,4,58,3,6,0,0
Santi Aldama,aldamsa01,21-22,MEM,PF,4.1,1.0,2.7,0.7,0.2,0.3,0.5,0.402,0.125,0.625,11.2,1.1,132,87,21,6,10,16,53,132,6,48,20,32,360,36,32,0,0
Shaq Buchanan,buchash01,21-22,MEM,SG,1.0,0.5,1.0,1.0,0.5,0.0,1.0,0.25,0.0,,5.0,0.5,2,2,2,1,0,2,1,4,0,2,0,0,10,1,2,0,0
Steven Adams,adamsst01,21-22,MEM,C,6.9,4.6,10.0,3.4,0.9,0.8,1.5,0.547,0.0,0.543,26.3,2.0,528,760,256,65,60,115,210,384,0,1,108,199,1999,153,76,75,0
Tyrell Terry,terryty01,21-22,MEM,PG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,1.5,0.5,2,0,0,0,0,0,1,1,0,0,0,0,3,1,2,0,0
Tyus Jones,jonesty01,21-22,MEM,PG,8.7,0.2,2.4,4.4,0.9,0.0,0.6,0.451,0.39,0.818,21.2,0.4,632,176,324,66,2,46,249,552,80,205,54,66,1549,32,73,23,0
Xavier Tillman Sr.,tillmxa01,21-22,MEM,PF,4.8,1.2,3.0,1.2,0.9,0.3,0.6,0.454,0.204,0.648,13.2,1.2,252,161,62,49,15,34,98,216,10,49,46,71,701,63,53,2,0
Yves Pons,ponsyv01,21-22,MEM,SF,1.1,0.4,1.0,0.1,0.1,0.3,0.1,0.313,0.333,0.0,5.9,0.5,13,12,1,1,4,1,5,16,3,9,0,2,71,6,12,0,0
Ziaire Williams,willizi02,21-22,MEM,SF,8.1,0.4,2.1,1.0,0.6,0.2,0.7,0.45,0.314,0.782,21.7,1.8,501,129,65,35,12,41,191,424,76,242,43,55,1346,113,62,31,0
Brandon Clarke,clarkbr01,22-23,MEM,PF,10.0,1.6,5.5,1.3,0.6,0.7,1.0,0.656,0.167,0.723,19.5,2.3,558,310,72,34,37,55,229,349,1,6,99,137,1090,131,56,8,0
David Roddy,roddyda01,22-23,MEM,PF,6.7,0.7,2.8,0.8,0.4,0.3,0.8,0.429,0.307,0.631,18.0,1.5,466,193,59,29,19,57,180,420,65,212,41,65,1258,107,70,4,0
Desmond Bane,banede01,22-23,MEM,SG,21.5,0.7,5.0,4.4,1.0,0.4,2.2,0.479,0.408,0.883,31.7,2.6,1247,291,254,56,22,126,450,939,166,407,181,205,1841,150,58,58,0
Dillon Brooks,brookdi01,22-23,MEM,SF,14.3,0.6,3.3,2.6,0.9,0.2,1.4,0.396,0.326,0.779,30.3,3.3,1047,244,189,65,16,104,392,991,143,439,120,154,2214,240,73,73,0
