Player,Player_ID,Year,Team,Position,PPG,ORPG,RPG,APG,SPG,BPG,TOPG,FG%,3P%,FT%,MPG,FPG,PTS,REB,AST,STL,BLK,TO,FGM,FGA,3PM,3PA,FTM,FTA,MINS,FLS,G,GS,TD
Bobby Portis,portibo01,21-22,MIL,C,14.6,2.5,9.1,1.2,0.7,0.7,1.2,0.479,0.393,0.752,28.2,2.4,1052,657,86,53,51,90,417,871,133,338,85,113,2028,174,72,59,0
Brook Lopez,lopezbr01,21-22,MIL,C,12.4,1.5,4.1,0.5,0.6,1.2,0.9,0.466,0.358,0.87,22.9,2.6,161,53,6,8,15,12,61,131,19,53,20,23,298,34,13,11,0
DeAndre' Bembry,bembrde01,21-22,BRK-MIL,SF,5.1,0.8,2.9,1.2,0.9,0.4,0.6,0.561,0.417,0.6,18.3,2.0,284,163,66,49,25,31,124,221,15,36,21,35,1026,113,56,20,0
George Hill,hillge01,21-22,MIL,PG,6.2,0.7,2.9,2.2,0.8,0.1,0.8,0.429,0.306,0.919,23.2,1.3,334,155,120,42,6,41,118,275,41,134,57,62,1253,70,54,17,0
Giannis Antetokounmpo,antetgi01,21-22,MIL,PF,29.9,2.0,11.6,5.8,1.1,1.4,3.3,0.553,0.293,0.722,32.9,3.2,2002,778,388,72,91,219,689,1245,71,242,553,766,2204,212,67,67,4
Grayson Allen,allengr01,21-22,MIL,SG,11.1,0.5,3.4,1.5,0.7,0.3,0.7,0.448,0.409,0.865,27.3,1.5,733,222,100,46,18,43,255,569,159,389,64,74,1805,96,66,61,0
Javin DeLaurier,delauja01,21-22,MIL,C,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,3.0,1.0,0,1,0,1,0,0,0,0,0,0,0,0,3,1,1,0,0
Jevon Carter,carteje01,21-22,BRK-MIL,PG,4.2,0.2,1.7,1.5,0.4,0.2,0.5,0.387,0.388,0.833,13.7,1.0,277,110,96,24,14,34,98,253,66,170,15,18,905,67,66,3,0
Jordan Nwora,nworajo01,21-22,MIL,SF,7.9,0.6,3.6,1.0,0.4,0.3,0.9,0.403,0.348,0.837,19.1,1.3,487,221,59,25,17,57,186,462,79,227,36,43,1185,78,62,13,0
Jrue Holiday,holidjr01,21-22,MIL,PG,18.3,1.0,4.5,6.8,1.6,0.4,2.7,0.501,0.411,0.761,33.0,2.0,1225,301,457,108,29,183,478,954,132,321,137,180,2208,133,67,64,0
Khris Middleton,middlkh01,21-22,MIL,SF,20.1,0.6,5.4,5.4,1.2,0.3,2.9,0.443,0.373,0.89,32.4,2.4,1325,356,358,76,18,190,452,1021,162,434,259,291,2141,160,66,66,0
