Player,Player_ID,Year,Team,Position,PPG,ORPG,RPG,APG,SPG,BPG,TOPG,FG%,3P%,FT%,MPG,FPG,PTS,REB,AST,STL,BLK,TO,FGM,FGA,3PM,3PA,FTM,FTA,MINS,FLS,G,GS,TD
Aaron Wiggins,wiggiaa01,21-22,OKC,SG,8.3,1.0,3.6,1.4,0.6,0.2,1.1,0.463,0.304,0.729,24.2,1.9,416,178,68,30,10,54,156,337,42,138,62,85,1209,93,50,35,0
Aleksej Pokusevski,pokusal01,21-22,OKC,PF,7.6,1.2,5.2,2.1,0.6,0.6,1.5,0.408,0.289,0.7,20.2,1.4,464,318,131,39,38,94,186,456,57,197,35,50,1233,88,61,12,1
Darius Bazley,bazleda01,21-22,OKC,PF,10.8,1.0,6.3,1.4,0.8,1.0,1.3,0.422,0.297,0.688,27.9,1.0,745,436,97,58,70,90,274,649,80,269,117,170,1924,68,69,53,0
Derrick Favors,favorde01,21-22,OKC,C,5.3,1.5,4.7,0.6,0.4,0.3,0.2,0.516,0.125,0.64,16.7,1.6,206,184,25,17,12,9,94,182,2,16,16,25,653,62,39,18,0
Gabriel Deck,deckga01,21-22,OKC,PF,2.6,0.1,0.9,0.7,0.1,0.0,0.3,0.571,0.5,,8.0,0.3,18,6,5,1,0,2,8,14,2,4,0,0,56,2,7,0,0
Georgios Kalaitzakis,kalaige01,21-22,MIL-OKC,SF,6.6,0.5,1.6,0.9,0.8,0.2,1.5,0.463,0.385,0.467,16.5,1.5,86,21,12,11,2,20,31,67,10,26,14,30,214,19,13,4,0
Isaiah Roby,robyis01,21-22,OKC,PF,10.1,1.7,4.8,1.6,0.8,0.8,1.0,0.514,0.444,0.672,21.1,2.4,454,217,71,36,34,43,166,323,44,99,78,116,948,109,45,28,0
Jaylen Hoard,hoardja01,21-22,OKC,SF,14.7,4.3,12.0,2.4,0.9,0.7,1.1,0.489,0.36,0.429,34.3,2.0,103,84,17,6,5,8,44,90,9,25,6,14,240,14,7,5,0
Jeremiah Robinson-Earl,robinje02,21-22,OKC,C,7.5,1.5,5.6,1.0,0.6,0.3,0.8,0.414,0.352,0.741,22.2,1.5,366,274,49,29,15,39,134,324,58,165,40,54,1087,75,49,36,0
Josh Giddey,giddejo01,21-22,OKC,SF,12.5,1.8,7.8,6.4,0.9,0.4,3.2,0.419,0.263,0.709,31.5,1.6,674,421,345,51,20,171,281,670,56,213,56,79,1700,88,54,54,4
Kenrich Williams,willike04,21-22,OKC,SF,7.4,1.5,4.5,2.2,0.9,0.2,0.9,0.461,0.339,0.545,21.9,1.7,363,220,108,44,10,46,146,317,41,121,30,55,1072,81,49,0,0
Lindy Waters III,waterli01,21-22,OKC,SG,8.0,0.2,2.9,1.0,0.8,0.3,0.4,0.406,0.363,0.8,18.6,1.2,199,73,24,19,8,11,71,175,53,146,4,5,465,31,25,1,0
Luguentz Dort,dortlu01,21-22,OKC,SG,17.2,0.7,4.2,1.7,0.9,0.4,1.7,0.404,0.332,0.843,32.6,2.9,877,212,88,46,18,88,293,726,130,391,161,191,1665,149,51,51,0
Mamadi Diakite,diakima01,21-22,OKC,PF,4.3,1.3,4.5,0.2,0.4,0.7,0.5,0.532,0.0,0.545,14.5,2.5,56,59,2,5,9,7,25,47,0,5,6,11,188,33,13,3,0
