Player,Player_ID,Year,Team,Position,PPG,ORPG,RPG,APG,SPG,BPG,TOPG,FG%,3P%,FT%,MPG,FPG,PTS,REB,AST,STL,BLK,TO,FGM,FGA,3PM,3PA,FTM,FTA,MINS,FLS,G,GS,TD
Aaron Henry,henryaa01,21-22,PHI,SF,0.3,0.0,0.2,0.0,0.0,0.3,0.3,0.2,0.0,,2.8,0.3,2,1,0,0,2,2,1,5,0,1,0,0,17,2,6,0,0
Charles Bassey,bassech01,21-22,PHI,C,3.0,1.0,2.7,0.3,0.2,0.7,0.3,0.638,0.0,0.75,7.3,1.4,69,62,7,5,17,8,30,47,0,4,9,12,168,32,23,0,0
Charlie Brown Jr.,brownch02,21-22,DAL-PHI,SG,1.4,0.6,1.5,0.3,0.5,0.2,0.2,0.256,0.083,0.9,8.0,0.8,30,32,6,10,4,5,10,39,1,12,9,10,177,18,22,2,0
Danny Green,greenda02,21-22,PHI,SF,5.9,0.5,2.5,1.0,1.0,0.6,0.7,0.394,0.38,0.786,21.8,1.7,366,157,64,60,37,45,126,320,103,271,11,14,1353,105,62,28,0
DeAndre Jordan,jordade01,21-22,LAL-PHI,C,4.3,1.7,5.5,0.4,0.2,0.7,0.8,0.643,,0.55,13.0,1.5,206,264,21,12,35,37,92,143,0,0,22,40,622,71,48,20,0
Furkan Korkmaz,korkmfu01,21-22,PHI,SG,7.6,0.3,2.6,1.9,0.5,0.1,0.7,0.387,0.289,0.81,21.1,0.9,509,175,127,33,9,48,182,470,77,266,68,84,1414,58,67,19,0
Georges Niang,niangge01,21-22,PHI,PF,9.2,0.3,2.7,1.3,0.4,0.2,0.8,0.437,0.403,0.881,22.8,2.5,700,203,102,30,13,59,246,563,156,387,52,59,1736,190,76,7,0
Isaiah Joe,joeis01,21-22,PHI,SG,3.6,0.1,1.0,0.6,0.3,0.1,0.3,0.35,0.333,0.935,11.1,0.9,198,56,35,14,3,19,62,177,45,135,29,31,609,47,55,1,0
Jaden Springer,sprinja01,21-22,PHI,SG,1.0,0.5,1.0,0.0,0.0,1.0,0.5,1.0,,,3.0,0.0,2,2,0,0,2,1,1,1,0,0,0,0,6,0,2,0,0
James Harden,hardeja01,21-22,BRK-PHI,PG,22.0,0.8,7.7,10.3,1.3,0.6,4.4,0.41,0.33,0.877,37.2,2.4,1432,500,667,82,36,284,407,992,148,448,470,536,2419,153,65,65,11
Joel Embiid,embiijo01,21-22,PHI,C,30.6,2.1,11.7,4.2,1.1,1.5,3.1,0.499,0.371,0.814,33.8,2.7,2079,796,284,77,99,214,666,1334,93,251,654,803,2297,181,68,68,2
Matisse Thybulle,thybuma01,21-22,PHI,SG,5.7,0.6,2.3,1.1,1.7,1.1,0.6,0.5,0.313,0.791,25.5,2.4,379,151,75,115,71,39,150,300,45,144,34,43,1685,158,66,50,0
Myles Powell,powelmy01,21-22,PHI,PG,1.2,0.1,0.5,0.3,0.1,0.0,0.3,0.294,0.167,1.0,4.7,0.7,13,6,3,1,0,3,5,17,1,6,2,2,52,8,11,0,0
Paul Millsap,millspa01,21-22,BRK-PHI,C,3.5,1.2,3.5,0.9,0.3,0.4,0.6,0.391,0.229,0.708,11.4,2.0,115,114,29,10,13,19,45,115,8,35,17,24,376,67,33,1,0
Paul Reed,reedpa01,21-22,PHI,C,3.1,1.2,2.4,0.4,0.9,0.4,0.3,0.563,0.25,0.429,7.9,1.5,116,92,16,33,14,10,54,96,2,8,6,14,302,57,38,2,0
Shake Milton,miltosh01,21-22,PHI,SG,8.2,0.5,2.6,2.5,0.5,0.3,0.8,0.429,0.323,0.836,21.4,1.8,450,142,139,28,17,44,173,403,43,133,61,73,1179,99,55,6,0
Tobias Harris,harrito02,21-22,PHI,PF,17.2,1.1,6.8,3.5,0.6,0.6,1.6,0.482,0.367,0.842,34.8,2.2,1257,496,252,47,43,116,493,1022,101,275,170,202,2543,164,73,73,1
Tyrese Maxey,maxeyty01,21-22,PHI,PG,17.5,0.3,3.2,4.3,0.7,0.4,1.2,0.485,0.427,0.866,35.3,2.1,1311,240,321,55,32,88,483,995,132,309,213,246,2650,156,75,74,0
Willie Cauley-Stein,caulewi01,21-22,DAL-PHI,C,1.7,0.6,2.0,0.5,0.3,0.2,0.4,0.457,0.5,0.5,9.2,1.0,34,40,10,6,3,7,16,35,1,2,1,2,183,19,20,2,0
Danuel House Jr.,houseda01,22-23,PHI,SF,4.8,0.2,1.7,0.8,0.2,0.2,0.5,0.472,0.336,0.75,14.4,1.2,268,94,44,14,9,26,93,197,37,110,45,60,807,69,56,5,0
De'Anthony Melton,meltode01,22-23,PHI,SG,10.1,0.9,4.1,2.6,1.6,0.5,1.3,0.425,0.39,0.793,27.9,2.5,780,312,197,126,41,102,277,651,157,403,69,87,2150,191,77,58,0
Dewayne Dedmon,dedmode01,22-23,MIA-PHI,C,5.2,0.9,3.5,0.7,0.2,0.5,0.7,0.51,0.308,0.673,11.2,2.0,199,134,26,9,19,25,77,151,12,39,33,49,426,75,38,1,0
Furkan Korkmaz,korkmfu01,22-23,PHI,SG,3.8,0.2,1.1,0.6,0.3,0.1,0.6,0.432,0.391,0.722,9.5,0.5,140,42,22,10,3,24,48,111,18,46,26,36,353,18,37,0,0
Georges Niang,niangge01,22-23,PHI,PF,8.2,0.2,2.4,1.0,0.4,0.2,0.7,0.442,0.401,0.867,19.4,1.9,637,185,77,30,14,54,222,502,154,384,39,45,1512,145,78,1,0
Jaden Springer,sprinja01,22-23,PHI,SG,2.6,0.4,0.9,0.5,0.4,0.2,0.2,0.486,0.4,0.75,5.6,0.9,42,14,8,7,3,3,17,35,2,5,6,8,89,15,16,2,0
Jalen McDaniels,mcdanja01,22-23,CHO-PHI,SF,9.4,0.8,4.3,1.6,1.0,0.4,1.2,0.455,0.332,0.841,23.9,2.6,755,346,130,83,34,93,281,617,77,232,116,138,1913,209,80,24,0
James Harden,hardeja01,22-23,PHI,PG,21.0,0.7,6.1,10.7,1.2,0.5,3.4,0.441,0.385,0.867,36.8,1.9,1216,354,618,71,31,195,371,842,161,418,313,361,2135,112,58,58,5
Joel Embiid,embiijo01,22-23,PHI,C,33.1,1.7,10.2,4.2,1.0,1.7,3.4,0.548,0.33,0.857,34.6,3.1,2183,670,274,66,112,226,728,1328,66,200,661,771,2284,205,66,66,1
Louis King,kinglo02,22-23,PHI,PF,20.0,2.0,4.0,2.0,1.0,0.0,2.0,0.615,0.5,0.0,29.0,4.0,20,4,2,1,0,2,8,13,4,8,0,1,29,4,1,0,0
Mac McClung,mccluma01,22-23,PHI,SG,12.5,1.5,5.0,4.5,0.0,0.0,1.5,0.45,0.364,0.6,20.5,1.5,25,10,9,0,0,3,9,20,4,11,3,5,41,3,2,0,0
Michael Foster Jr.,fostemi02,22-23,PHI,PF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Montrezl Harrell,harremo01,22-23,PHI,C,5.6,1.2,2.8,0.6,0.3,0.4,0.6,0.598,0.0,0.693,11.9,1.3,320,159,33,17,25,35,125,209,0,6,70,101,681,75,57,7,0
P.J. Tucker,tuckepj01,22-23,PHI,PF,3.5,1.3,3.9,0.8,0.5,0.2,0.6,0.427,0.393,0.826,25.6,2.4,266,295,60,39,15,44,96,225,55,140,19,23,1920,180,75,75,0
Paul Reed,reedpa01,22-23,PHI,C,4.2,1.6,3.8,0.4,0.7,0.7,0.7,0.593,0.167,0.745,10.9,1.8,287,262,27,46,51,45,124,209,1,6,38,51,755,123,69,2,0
Shake Milton,miltosh01,22-23,PHI,SG,8.4,0.5,2.5,3.2,0.3,0.2,1.2,0.479,0.378,0.853,20.6,1.6,637,191,240,25,13,94,241,503,56,148,99,116,1567,123,76,11,0
Tobias Harris,harrito02,22-23,PHI,SF,14.7,0.9,5.7,2.5,0.9,0.5,1.2,0.501,0.389,0.876,32.9,2.0,1085,424,186,68,40,89,423,845,126,324,113,129,2436,149,74,74,0
Tyrese Maxey,maxeyty01,22-23,PHI,SG,20.3,0.4,2.9,3.5,0.8,0.1,1.3,0.481,0.434,0.845,33.6,2.2,1218,176,212,49,8,80,439,913,160,369,180,213,2016,132,60,41,0
Buddy Hield,hieldbu01,23-24,IND-PHI,SF,12.1,0.7,3.2,2.8,0.8,0.5,1.2,0.436,0.386,0.881,25.7,2.0,1013,269,236,70,42,103,371,850,219,568,52,59,2160,169,84,42,0
Cameron Payne,payneca01,23-24,MIL-PHI,PG,7.4,0.3,1.5,2.6,0.5,0.1,0.8,0.432,0.39,0.866,16.7,1.6,578,117,205,42,11,66,208,481,104,267,58,67,1304,126,78,10,0
D.J. Wilson,wilsodj01,23-24,PHI,PF,5.0,0.5,1.0,1.0,0.0,1.0,0.0,0.667,1.0,,7.5,0.5,10,2,2,0,2,0,4,6,2,2,0,0,15,1,2,0,0
Danny Green,greenda02,23-24,PHI,SG,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,,9.0,0.5,0,2,1,1,0,0,0,2,0,1,0,0,18,1,2,0,0
Danuel House Jr.,houseda01,23-24,PHI,SF,4.2,0.5,1.7,0.8,0.4,0.1,0.6,0.448,0.3,0.761,15.0,1.3,144,58,28,15,5,19,47,105,15,50,35,46,509,45,34,4,0
De'Anthony Melton,meltode01,23-24,PHI,SG,11.1,0.7,3.7,3.0,1.6,0.4,1.0,0.386,0.36,0.835,26.9,2.2,421,141,114,60,16,39,139,360,77,214,66,79,1023,84,38,33,0
Furkan Korkmaz,korkmfu01,23-24,PHI,SG,2.5,0.1,0.9,0.7,0.4,0.1,0.3,0.395,0.35,0.7,8.6,0.5,88,30,25,14,3,10,30,76,14,40,14,20,300,17,35,0,0
Javonte Smart,smartja01,23-24,PHI,PG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Jeff Dowtin Jr.,dowtije01,23-24,PHI,PG,4.3,0.2,1.7,2.2,0.6,0.1,0.4,0.556,0.474,0.75,11.8,0.1,52,20,27,7,1,5,20,36,9,19,3,4,142,1,12,0,0
Joel Embiid,embiijo01,23-24,PHI,C,34.7,2.4,11.0,5.6,1.2,1.7,3.8,0.529,0.388,0.883,33.6,2.9,1353,430,219,46,66,150,450,851,54,139,399,452,1309,112,39,39,2
KJ Martin,martike04,23-24,LAC-PHI,SF,3.7,0.7,2.2,0.8,0.4,0.2,0.5,0.536,0.286,0.537,12.4,1.7,224,131,51,22,12,32,97,181,8,28,22,41,746,100,60,2,0
Kelly Oubre Jr.,oubreke01,23-24,PHI,SF,15.4,1.4,5.0,1.5,1.1,0.7,1.3,0.441,0.311,0.75,30.2,2.9,1049,341,101,77,47,87,387,878,101,325,174,232,2055,194,68,52,0
Kyle Lowry,lowryky01,23-24,MIA-PHI,PG,8.1,0.6,3.2,4.2,1.0,0.4,1.4,0.432,0.392,0.84,28.2,2.4,487,194,253,59,21,85,163,377,98,250,63,75,1690,146,60,55,0
Mo Bamba,bambamo01,23-24,PHI,C,4.4,1.4,4.2,0.7,0.4,1.1,0.7,0.49,0.391,0.68,13.0,1.8,253,238,41,22,60,39,97,198,25,64,34,50,740,101,57,17,0
Nicolas Batum,batumni01,23-24,LAC-PHI,PF,5.3,1.2,4.1,2.1,0.8,0.6,0.7,0.453,0.395,0.714,25.5,1.8,320,248,128,48,38,40,116,256,73,185,15,21,1529,109,60,38,0
Paul Reed,reedpa01,23-24,PHI,C,7.3,2.4,6.0,1.3,0.8,1.0,0.8,0.54,0.368,0.718,19.4,2.4,600,488,109,67,84,67,259,480,21,57,61,85,1590,198,82,24,0
Ricky Council IV,councri01,23-24,PHI,SG,5.4,0.4,1.4,0.5,0.2,0.0,0.2,0.482,0.375,0.746,9.0,0.5,173,46,16,8,1,5,54,112,12,32,53,71,289,17,32,0,0
Robert Covington,covinro01,23-24,LAC-PHI,SF,4.4,1.1,3.3,0.8,1.3,0.6,0.4,0.439,0.339,0.846,16.8,1.9,127,97,24,39,18,11,43,98,19,56,22,26,488,56,29,6,0
Terquavion Smith,smithte01,23-24,PHI,PG,3.2,0.0,0.2,0.8,0.5,0.0,0.4,0.391,0.371,0.6,5.2,0.5,52,4,12,8,0,7,18,46,13,35,3,5,84,8,16,0,0
Tobias Harris,harrito02,23-24,PHI,PF,17.2,1.1,6.5,3.1,1.0,0.7,1.3,0.487,0.353,0.878,33.8,1.6,1204,453,217,70,46,93,463,951,91,258,187,213,2368,115,70,70,0
Tyrese Maxey,maxeyty01,23-24,PHI,PG,25.9,0.5,3.7,6.2,1.0,0.5,1.7,0.45,0.373,0.868,37.5,2.2,1816,258,433,69,33,116,638,1419,212,569,328,378,2626,151,70,70,0
Adem Bona,bonaad01,24-25,PHI,C,5.8,1.6,4.2,0.5,0.4,1.2,1.1,0.703,0.0,0.67,15.6,2.2,337,245,27,26,69,61,135,192,0,1,67,100,905,125,58,11,0
Alex Reese,reeseal01,24-25,OKC-PHI,PF,5.1,0.6,3.1,0.3,0.7,0.7,0.4,0.481,0.366,0.75,14.4,1.4,76,47,4,10,10,6,26,54,15,41,9,12,216,21,15,0,0
Andre Drummond,drumman01,24-25,PHI,C,7.3,2.7,7.8,0.8,1.0,0.4,1.4,0.5,0.15,0.622,18.8,2.4,293,310,34,39,18,55,117,234,3,20,56,90,751,94,40,23,0
Colin Castleton,castlco01,24-25,MEM-TOR-PHI,C,4.7,2.0,4.7,1.1,0.3,0.4,0.9,0.469,0.125,0.763,16.6,2.0,123,122,28,8,10,23,46,98,2,16,29,38,432,51,26,4,0
Eric Gordon,gordoer01,24-25,PHI,SG,6.8,0.2,1.2,1.7,0.7,0.3,0.7,0.426,0.409,0.75,19.7,0.8,266,46,65,26,12,28,87,204,56,137,36,48,768,32,39,13,0
Guerschon Yabusele,yabusgu01,24-25,PHI,C,11.0,1.9,5.6,2.1,0.8,0.3,1.2,0.501,0.38,0.725,27.1,2.3,768,395,148,58,24,87,282,563,104,274,100,138,1895,164,70,43,0
