Player,Player_ID,Year,Team,Position,PPG,ORPG,RPG,APG,SPG,BPG,TOPG,FG%,3P%,FT%,MPG,FPG,PTS,REB,AST,STL,BLK,TO,FGM,FGA,3PM,3PA,FTM,FTA,MINS,FLS,G,GS,TD
Aaron Holiday,holidaa01,21-22,WAS-PHO,PG,6.3,0.4,1.9,2.4,0.7,0.1,1.1,0.447,0.379,0.868,16.2,1.5,400,122,153,42,9,67,151,338,39,103,59,68,1021,92,63,15,0
Abdel Nader,naderab01,21-22,PHO,SF,2.4,0.3,1.9,0.5,0.6,0.3,0.8,0.343,0.286,0.6,10.4,1.4,34,27,7,8,4,11,12,35,4,14,6,10,145,20,14,0,0
Bismack Biyombo,biyombi01,21-22,PHO,C,5.8,1.8,4.6,0.6,0.3,0.7,0.7,0.593,,0.535,14.1,1.9,210,167,23,12,26,25,86,145,0,0,38,71,506,70,36,3,0
Cameron Johnson,johnsca02,21-22,PHO,PF,12.5,0.6,4.1,1.5,0.9,0.2,0.7,0.46,0.425,0.86,26.2,1.7,822,273,99,57,16,47,279,607,166,391,98,114,1730,113,66,16,0
Cameron Payne,payneca01,21-22,PHO,PG,10.8,0.4,3.0,4.9,0.7,0.3,1.8,0.409,0.336,0.843,22.0,2.1,626,175,282,40,17,103,240,587,71,211,75,89,1278,119,58,12,0
Chandler Hutchison,hutchch01,21-22,PHO,SF,0.7,0.0,0.8,0.3,0.0,0.0,0.7,0.5,,1.0,3.7,0.2,4,5,2,0,0,4,1,2,0,0,2,2,22,1,6,0,0
Chris Paul,paulch01,21-22,PHO,PG,14.7,0.3,4.4,10.8,1.9,0.3,2.4,0.493,0.317,0.837,32.9,2.1,958,283,702,121,20,153,363,736,63,199,169,202,2139,134,65,65,2
Deandre Ayton,aytonde01,21-22,PHO,C,17.2,2.6,10.2,1.4,0.7,0.7,1.6,0.634,0.368,0.746,29.5,2.4,997,593,84,40,40,91,442,697,7,19,106,142,1713,142,58,58,0
Devin Booker,bookede01,21-22,PHO,SG,26.8,0.7,5.0,4.8,1.1,0.4,2.4,0.466,0.383,0.868,34.5,2.6,1822,342,329,77,26,162,662,1421,183,478,315,363,2345,180,68,68,0
Elfrid Payton,paytoel01,21-22,PHO,PG,3.0,0.4,1.8,2.0,0.5,0.1,0.9,0.383,0.222,0.375,11.0,0.8,150,88,99,25,6,47,67,175,4,18,12,32,549,38,50,1,0
Emanuel Terry,terryem01,21-22,PHO,PF,0.0,2.7,5.0,0.7,0.3,0.0,1.7,0.0,,,6.0,1.3,0,15,2,1,0,5,0,5,0,0,0,0,18,4,3,0,0
Frank Kaminsky,kaminfr01,21-22,PHO,C,10.6,1.2,4.6,1.4,0.9,0.8,0.6,0.545,0.333,0.9,20.1,1.6,95,41,13,8,7,5,36,66,5,15,18,20,181,14,9,0,0
Gabriel Lundberg,lundbga01,21-22,PHO,SG,3.2,0.5,1.8,2.8,0.8,0.0,0.8,0.263,0.375,,11.0,1.8,13,7,11,3,0,3,5,19,3,8,0,0,44,7,4,0,0
Ish Wainright,wainris01,21-22,PHO,PF,2.4,0.6,1.2,0.3,0.4,0.1,0.3,0.394,0.322,0.583,8.0,1.1,108,54,15,20,6,13,41,104,19,59,7,12,359,49,45,0,0
