Player,Player_ID,Year,Team,Position,PPG,ORPG,RPG,APG,SPG,BPG,TOPG,FG%,3P%,FT%,MPG,FPG,PTS,REB,AST,STL,BLK,TO,FGM,FGA,3PM,3PA,FTM,FTA,MINS,FLS,G,GS,TD
Anfernee Simons,simonan01,21-22,POR,SG,17.3,0.5,2.6,3.9,0.5,0.1,2.0,0.443,0.405,0.888,29.5,1.9,988,151,221,30,6,115,353,797,179,442,103,116,1681,110,57,30,0
Ben McLemore,mclembe01,21-22,POR,SG,10.2,0.2,1.6,0.9,0.6,0.2,0.9,0.401,0.362,0.818,20.1,1.6,655,103,59,38,10,55,216,539,151,417,72,88,1285,103,64,6,0
Brandon Williams,willibr03,21-22,POR,PG,12.9,0.8,3.1,3.9,1.0,0.4,2.4,0.372,0.292,0.701,26.7,2.2,309,74,94,24,10,58,105,282,31,106,68,97,640,52,24,16,0
CJ Elleby,ellebcj01,21-22,POR,SF,5.8,1.1,3.9,1.5,0.6,0.3,1.0,0.393,0.294,0.714,20.2,2.0,339,227,87,35,19,56,121,308,37,126,60,84,1174,116,58,28,0
Cameron McGriff,mcgrica01,21-22,POR,SF,4.7,2.0,5.0,1.0,0.0,0.3,0.0,0.357,0.333,1.0,15.3,2.3,14,15,3,0,1,0,5,14,2,6,2,2,46,7,3,0,0
Cody Zeller,zelleco01,21-22,POR,C,5.2,1.9,4.6,0.8,0.3,0.2,0.7,0.567,0.0,0.776,13.1,2.1,140,125,22,8,6,19,51,90,0,4,38,49,355,56,27,0,0
Damian Lillard,lillada01,21-22,POR,PG,24.0,0.4,4.1,7.3,0.6,0.4,2.9,0.402,0.324,0.878,36.4,1.3,695,120,212,17,11,83,222,552,92,284,159,181,1056,37,29,29,0
Dennis Smith Jr.,smithde03,21-22,POR,PG,5.6,0.5,2.4,3.6,1.2,0.3,1.4,0.418,0.222,0.656,17.2,1.4,206,88,132,45,12,51,79,189,6,27,42,64,638,52,37,4,0
Didi Louzada,louzama01,21-22,NOP-POR,SF,3.9,0.6,1.9,0.6,0.2,0.2,0.6,0.364,0.391,1.0,14.3,1.4,35,17,5,2,2,5,12,33,9,23,2,2,129,13,9,1,0
Drew Eubanks,eubandr01,21-22,SAS-POR,C,7.7,1.8,5.4,1.2,0.4,0.6,1.1,0.596,0.217,0.762,17.5,1.7,546,382,85,31,40,81,221,371,5,23,99,130,1245,122,71,31,0
Elijah Hughes,hugheel01,21-22,UTA-POR,SG,3.5,0.2,1.6,0.6,0.4,0.2,0.5,0.326,0.263,0.778,12.1,1.1,126,58,22,14,8,17,47,144,25,95,7,9,434,39,36,4,0
Greg Brown III,browngr01,21-22,POR,SF,4.7,0.8,2.8,0.7,0.5,0.5,0.8,0.426,0.311,0.677,13.3,1.9,225,135,35,26,24,36,81,190,19,61,44,65,640,90,48,6,0
Jarron Cumberland,cumbeja01,21-22,POR,SG,0.7,0.3,1.0,0.3,0.0,0.0,0.0,0.5,0.0,,4.0,0.7,2,3,1,0,0,0,1,2,0,1,0,0,12,2,3,0,0
Josh Hart,hartjo01,21-22,NOP-POR,SG,14.9,1.1,7.2,4.1,1.1,0.2,2.1,0.504,0.343,0.758,33.2,2.8,807,388,224,61,13,114,287,569,73,213,160,211,1791,150,54,53,0
Justise Winslow,winslju01,21-22,LAC-POR,PF,5.7,1.0,4.2,1.8,0.7,0.5,1.0,0.428,0.227,0.591,16.1,1.4,274,202,84,35,25,49,110,257,15,66,39,66,775,67,48,11,0
Jusuf Nurkić,nurkiju01,21-22,POR,C,15.0,3.0,11.1,2.8,1.1,0.6,2.6,0.535,0.268,0.69,28.2,3.4,842,619,157,62,34,143,321,600,15,56,185,268,1579,189,56,56,0
Keljin Blevins,blevike01,21-22,POR,SF,3.1,0.5,1.5,0.6,0.4,0.0,0.5,0.306,0.292,0.545,11.3,0.9,95,45,19,13,1,17,34,111,21,72,6,11,349,29,31,1,0
Keon Johnson,johnske07,21-22,LAC-POR,SG,7.2,0.6,2.2,2.1,0.8,0.3,1.2,0.353,0.34,0.804,18.8,1.9,267,81,76,28,12,46,96,272,34,100,41,51,697,69,37,12,0
Kris Dunn,dunnkr01,21-22,POR,PG,7.6,0.6,3.5,5.6,1.6,0.2,2.3,0.431,0.091,0.944,24.0,2.7,106,49,79,23,3,32,44,102,1,11,17,18,336,38,14,3,0
Nassir Little,littlna01,21-22,POR,SF,9.8,1.4,5.6,1.3,0.6,0.9,1.0,0.46,0.331,0.734,25.9,2.0,410,236,54,25,36,40,145,315,51,154,69,94,1088,82,42,23,0
Trendon Watford,watfotr01,21-22,POR,SF,7.6,1.2,4.1,1.7,0.5,0.6,0.9,0.532,0.237,0.755,18.1,2.4,364,199,81,25,28,44,142,267,9,38,71,94,869,116,48,10,0
Anfernee Simons,simonan01,22-23,POR,SG,21.1,0.3,2.6,4.1,0.7,0.2,2.1,0.447,0.377,0.894,35.0,2.3,1306,161,253,42,14,128,467,1045,212,562,160,179,2171,142,62,62,0
Cam Reddish,reddica01,22-23,NYK-POR,SF,9.7,0.4,2.2,1.4,1.0,0.4,1.2,0.446,0.313,0.853,24.8,1.8,387,88,57,39,14,47,139,312,45,144,64,75,990,72,40,20,0
Chance Comanche,comanch01,22-23,POR,C,7.0,2.0,3.0,0.0,0.0,1.0,0.0,0.6,,0.25,21.0,0.0,7,3,0,0,1,0,3,5,0,0,1,4,21,0,1,0,0
Damian Lillard,lillada01,22-23,POR,PG,32.2,0.8,4.8,7.3,0.9,0.3,3.3,0.463,0.371,0.914,36.3,1.9,1866,277,425,50,18,191,556,1202,244,658,510,558,2107,109,58,58,2
Drew Eubanks,eubandr01,22-23,POR,C,6.6,1.7,5.4,1.3,0.5,1.3,0.9,0.641,0.389,0.664,20.3,2.2,518,418,103,40,102,67,214,334,7,18,83,125,1584,169,78,28,0
Greg Brown III,browngr01,22-23,POR,PF,1.8,0.1,1.2,0.2,0.2,0.3,0.4,0.393,0.143,0.417,5.8,0.8,28,19,3,4,5,6,11,28,1,7,5,12,93,13,16,0,0
Jabari Walker,walkeja01,22-23,POR,PF,3.9,0.9,2.3,0.6,0.2,0.2,0.5,0.419,0.286,0.756,11.1,1.2,216,131,34,10,13,29,83,198,16,56,34,45,619,69,56,0,0
Jerami Grant,grantje01,22-23,POR,PF,20.5,0.8,4.5,2.4,0.8,0.8,1.8,0.475,0.401,0.813,35.7,2.4,1290,283,150,51,53,116,434,913,144,359,278,342,2246,152,63,63,0
John Butler,butlejo01,22-23,POR,C,2.4,0.2,0.9,0.6,0.4,0.5,0.1,0.321,0.229,0.75,11.6,1.2,45,17,11,7,9,1,17,53,8,35,3,4,221,22,19,1,0
Justin Minaya,minayju01,22-23,POR,SF,4.2,0.8,3.8,1.0,0.5,1.2,1.0,0.304,0.25,0.0,22.2,2.2,17,15,4,2,5,4,7,23,3,12,0,1,89,9,4,0,0
Justise Winslow,winslju01,22-23,POR,PF,6.8,1.7,5.0,3.4,1.0,0.4,1.5,0.409,0.311,0.714,26.8,3.1,196,145,98,30,11,43,81,198,14,45,20,28,776,89,29,11,0
Jusuf Nurkić,nurkiju01,22-23,POR,C,13.3,2.2,9.1,2.9,0.8,0.8,2.3,0.519,0.361,0.661,26.8,3.6,694,471,149,43,44,119,262,505,43,119,127,192,1391,185,52,52,0
Keon Johnson,johnske07,22-23,POR,SG,4.7,0.3,1.1,1.5,0.5,0.2,1.1,0.376,0.346,0.659,10.4,1.1,189,44,59,19,6,43,67,178,28,81,27,41,416,43,40,0,0
Kevin Knox,knoxke01,22-23,DET-POR,SF,6.6,0.5,2.8,0.5,0.4,0.2,0.8,0.458,0.349,0.767,15.1,1.5,415,177,33,24,12,50,152,332,65,186,46,60,952,95,63,5,0
Matisse Thybulle,thybuma01,22-23,PHI-POR,SG,4.1,0.6,2.0,0.7,1.2,0.5,0.3,0.435,0.365,0.679,16.9,1.6,293,140,53,83,32,24,110,253,54,148,19,28,1200,113,71,28,0
Nassir Little,littlna01,22-23,POR,SF,6.6,0.5,2.6,0.9,0.4,0.4,0.7,0.442,0.367,0.717,18.1,1.2,359,141,50,20,20,36,134,303,58,158,33,46,976,66,54,4,0
Nate Williams,willije02,22-23,POR,SG,10.6,2.0,3.0,2.0,0.6,0.4,0.8,0.615,0.375,0.667,25.4,2.6,53,15,10,3,2,4,24,39,3,8,2,3,127,13,5,4,0
Ryan Arcidiacono,arcidry01,22-23,NYK-POR,PG,1.3,0.0,0.8,1.2,0.2,0.0,0.4,0.243,0.348,,8.6,0.8,26,15,23,5,0,7,9,37,8,23,0,0,172,17,20,4,0
Shaedon Sharpe,sharpsh01,22-23,POR,SG,9.9,0.8,3.0,1.2,0.5,0.3,1.0,0.472,0.36,0.714,22.2,1.7,789,236,94,38,24,83,306,648,102,283,75,105,1779,136,80,15,0
Shaquille Harrison,harrish01,22-23,POR,SG,8.8,0.2,4.4,6.0,2.2,0.4,1.2,0.417,0.3,0.733,24.0,2.4,44,22,30,11,2,6,15,36,3,10,11,15,120,12,5,0,0
Skylar Mays,mayssk01,22-23,POR,PG,15.3,0.3,3.2,8.3,1.0,0.2,1.7,0.5,0.462,0.923,31.5,1.8,92,19,50,6,1,10,34,68,12,26,12,13,189,11,6,6,0
Trendon Watford,watfotr01,22-23,POR,PF,7.4,0.7,3.8,2.1,0.5,0.2,1.1,0.56,0.391,0.72,19.1,1.9,459,238,130,32,12,71,181,323,25,64,72,100,1182,118,62,12,0
Anfernee Simons,simonan01,23-24,POR,SG,22.6,0.5,3.6,5.5,0.5,0.1,2.7,0.43,0.385,0.916,34.4,2.1,1039,167,255,23,5,126,360,837,156,405,163,178,1582,98,46,46,0
Ashton Hagans,haganas01,23-24,POR,PG,4.2,0.7,2.4,2.8,0.6,0.5,1.6,0.408,0.32,0.824,16.6,2.1,80,45,54,11,9,30,29,71,8,25,14,17,316,40,19,1,0
Dalano Banton,bantoda01,23-24,BOS-POR,PG,10.3,0.8,3.3,2.4,0.6,0.4,1.4,0.404,0.296,0.783,19.4,1.2,557,178,127,33,20,77,202,500,59,199,94,120,1047,64,54,9,0
Deandre Ayton,aytonde01,23-24,POR,C,16.7,3.2,11.1,1.6,1.0,0.8,1.8,0.57,0.1,0.823,32.4,2.0,920,609,90,56,42,99,427,749,1,10,65,79,1784,109,55,55,0
Duop Reath,reathdu01,23-24,POR,C,9.1,1.4,3.7,1.0,0.5,0.6,0.8,0.461,0.359,0.742,17.9,2.4,617,250,67,33,38,52,230,499,88,245,69,93,1214,161,68,20,0
Ibou Badji,badjiib01,23-24,POR,C,1.5,0.9,2.3,0.6,0.1,0.9,0.7,0.636,,0.5,10.3,2.1,34,51,13,3,20,15,14,22,0,0,6,12,226,46,22,1,0
Jabari Walker,walkeja01,23-24,POR,PF,8.9,2.1,7.1,1.0,0.6,0.3,0.9,0.46,0.295,0.754,23.6,2.4,638,508,71,42,22,66,234,509,41,139,129,171,1700,173,72,23,0
Jerami Grant,grantje01,23-24,POR,PF,21.0,0.7,3.5,2.8,0.8,0.6,2.1,0.451,0.402,0.817,33.9,2.2,1132,191,152,45,34,116,383,850,111,276,255,312,1830,117,54,54,0
Justin Minaya,minayju01,23-24,POR,SF,1.8,0.9,1.6,0.6,0.3,0.3,0.3,0.297,0.245,0.556,11.2,1.0,61,56,21,9,10,9,22,74,12,49,5,9,381,35,34,1,0
Kris Murray,murrakr01,23-24,POR,SF,6.1,1.4,3.6,1.3,0.9,0.3,0.9,0.396,0.268,0.661,21.7,1.5,376,224,80,53,21,55,145,366,49,183,37,56,1348,92,62,29,0
Malcolm Brogdon,brogdma01,23-24,POR,PG,15.7,0.7,3.8,5.5,0.7,0.2,1.5,0.44,0.412,0.819,28.7,1.5,613,148,214,27,8,60,218,496,82,199,95,116,1121,58,39,25,0
Matisse Thybulle,thybuma01,23-24,POR,SF,5.4,0.5,2.1,1.4,1.7,0.8,0.6,0.397,0.346,0.759,22.9,1.4,354,136,90,113,49,40,126,317,80,231,22,29,1487,93,65,19,0
Moses Brown,brownmo01,23-24,POR,C,3.4,1.7,3.9,0.3,0.2,0.3,0.5,0.508,,0.29,9.1,1.2,75,86,7,5,7,11,33,65,0,0,9,31,200,27,22,5,0
Rayan Rupert,ruperra01,23-24,POR,SG,4.0,0.6,2.4,1.6,0.3,0.1,0.8,0.335,0.359,0.76,16.2,1.4,155,92,62,12,3,31,54,161,28,78,19,25,633,56,39,12,0
Robert Williams,williro04,23-24,POR,C,6.8,1.8,6.3,0.8,1.2,1.2,1.2,0.654,,0.778,19.8,2.8,41,38,5,7,7,7,17,26,0,0,7,9,119,17,6,0,0
Scoot Henderson,hendesc01,23-24,POR,PG,14.0,0.9,3.1,5.4,0.8,0.2,3.4,0.385,0.325,0.819,28.5,3.1,868,194,336,48,13,212,307,797,87,268,167,204,1765,195,62,32,0
Shaedon Sharpe,sharpsh01,23-24,POR,SG,15.9,1.3,5.0,2.9,0.9,0.4,2.2,0.406,0.333,0.824,33.1,2.8,510,160,94,28,12,72,176,434,60,180,98,119,1059,88,32,25,0
Taze Moore,mooreta02,23-24,POR,SG,4.5,1.0,2.0,1.2,0.5,0.0,0.8,0.421,0.143,0.5,10.0,1.0,18,8,5,2,0,3,8,19,1,7,1,2,40,4,4,0,0
Toumani Camara,camarto01,23-24,POR,PF,7.5,2.0,4.9,1.2,0.9,0.5,1.2,0.45,0.337,0.758,24.8,2.5,527,343,87,66,33,84,197,438,58,172,75,99,1739,174,70,49,0
Anfernee Simons,simonan01,24-25,POR,SG,19.3,0.4,2.7,4.8,0.9,0.1,2.0,0.426,0.363,0.902,32.7,1.7,1348,189,337,60,5,143,479,1125,215,593,175,194,2292,117,70,70,0
Bryce McGowens,mcgowbr01,24-25,POR,SG,1.0,0.2,0.2,0.2,0.1,0.0,0.3,0.286,0.0,0.833,2.5,0.2,13,3,2,1,0,4,4,14,0,4,5,6,32,3,13,0,0
Dalano Banton,bantoda01,24-25,POR,PG,8.3,0.4,2.0,2.4,0.6,0.5,1.3,0.391,0.324,0.728,16.7,0.9,559,135,160,43,34,86,198,507,72,222,91,125,1120,58,67,7,0
Deandre Ayton,aytonde01,24-25,POR,C,14.4,3.1,10.2,1.6,0.8,1.0,1.7,0.566,0.188,0.667,30.2,2.2,576,406,64,31,39,69,265,468,6,32,40,60,1206,88,40,40,0
Deni Avdija,avdijde01,24-25,POR,SF,16.9,1.5,7.2,3.9,1.0,0.5,2.7,0.476,0.365,0.78,30.0,2.4,1219,522,281,71,35,196,402,844,125,342,290,372,2161,171,72,54,2
Donovan Clingan,clingdo01,24-25,POR,C,6.5,3.2,7.9,1.1,0.5,1.6,1.1,0.539,0.286,0.596,19.8,2.8,436,527,77,34,110,72,180,334,14,49,62,104,1324,189,67,37,0
Duop Reath,reathdu01,24-25,POR,C,4.2,1.0,2.0,0.6,0.3,0.3,0.3,0.422,0.321,0.909,10.2,0.9,194,92,26,12,14,16,70,166,34,106,20,22,469,41,46,0,0
Jabari Walker,walkeja01,24-25,POR,PF,5.2,1.0,3.5,0.6,0.6,0.1,0.6,0.515,0.389,0.69,12.5,1.4,313,211,37,33,6,34,118,229,28,72,49,71,749,87,60,1,0
Jerami Grant,grantje01,24-25,POR,PF,14.4,0.6,3.5,2.1,0.9,1.0,1.4,0.373,0.365,0.849,32.4,2.3,677,163,101,41,46,65,214,574,108,296,141,166,1524,109,47,47,0
Justin Minaya,minayju01,24-25,POR,SF,0.9,0.3,0.5,0.4,0.3,0.1,0.3,0.381,0.2,0.0,5.3,0.6,18,10,7,6,1,5,8,21,2,10,0,2,101,12,19,0,0
Kris Murray,murrakr01,24-25,POR,SF,4.2,1.1,2.6,1.0,0.5,0.2,0.6,0.419,0.225,0.456,15.1,1.0,287,182,68,35,17,43,117,279,27,120,26,57,1040,66,69,6,0
Matisse Thybulle,thybuma01,24-25,POR,SG,7.5,0.9,3.5,1.9,2.2,0.6,0.9,0.477,0.438,0.467,20.8,0.9,112,52,28,33,9,13,42,88,21,48,7,15,312,14,15,5,0
Rayan Rupert,ruperra01,24-25,POR,SG,3.0,0.5,1.3,0.5,0.3,0.1,0.6,0.408,0.271,0.767,8.8,0.7,155,70,25,16,4,30,58,142,16,59,23,30,460,37,52,0,0
Robert Williams,williro04,24-25,POR,C,5.8,1.8,5.9,1.0,0.6,1.6,0.8,0.641,0.333,0.882,17.6,1.6,116,118,21,13,33,17,50,78,1,3,15,17,351,31,20,3,0
Scoot Henderson,hendesc01,24-25,POR,PG,12.7,0.8,3.0,5.1,1.0,0.2,2.7,0.419,0.354,0.767,26.7,2.7,837,198,335,68,13,177,287,685,105,297,158,206,1759,181,66,10,0
Shaedon Sharpe,sharpsh01,24-25,POR,SG,18.5,0.9,4.5,2.8,0.9,0.2,2.1,0.452,0.311,0.785,31.3,1.7,1335,324,198,62,16,150,499,1104,147,472,190,242,2252,120,72,52,0
Sidy Cissoko,cissosi01,24-25,SAS-POR,SF,1.5,0.4,1.0,0.7,0.1,0.0,0.5,0.433,0.231,0.333,5.2,0.5,32,21,15,2,1,11,13,30,3,13,3,9,114,10,22,0,0
Taze Moore,mooreta02,24-25,POR,SG,3.0,2.0,4.0,0.5,1.0,0.0,1.0,0.2,0.25,0.5,10.0,0.0,6,8,1,2,0,2,2,10,1,4,1,2,20,0,2,0,0
Toumani Camara,camarto01,24-25,POR,PF,11.3,2.2,5.8,2.2,1.5,0.6,1.4,0.458,0.375,0.722,32.7,2.9,882,450,175,116,50,109,328,716,135,360,91,126,2548,230,78,78,0
Blake Wesley,weslebl01,25-26,POR,SG,4.8,0.3,1.3,2.0,0.5,0.2,1.0,0.452,0.278,0.553,11.6,1.1,148,39,62,16,5,31,56,124,10,36,26,47,361,34,31,0,0
Caleb Love,loveca01,25-26,POR,SG,10.4,0.5,2.3,2.5,0.6,0.1,1.3,0.388,0.318,0.735,20.7,1.0,509,114,123,27,4,62,190,490,93,292,36,49,1013,48,49,1,0
Chris Youngblood,youngch01,25-26,OKC-POR,SG,2.1,0.2,0.8,0.4,0.1,0.1,0.1,0.349,0.333,0.9,5.4,0.6,71,28,12,4,3,2,22,63,18,54,9,10,185,22,34,0,0
Deni Avdija,avdijde01,25-26,POR,SF,24.2,1.1,6.9,6.7,0.8,0.6,3.8,0.462,0.318,0.802,33.3,2.5,1598,454,442,51,41,253,492,1064,125,393,489,610,2199,168,66,66,3
Donovan Clingan,clingdo01,25-26,POR,C,12.1,4.5,11.6,2.1,0.6,1.7,1.2,0.52,0.341,0.68,27.2,2.4,934,892,162,44,130,95,356,684,84,246,138,203,2094,182,77,77,0
