Player,Player_ID,Year,Team,Position,PPG,ORPG,RPG,APG,SPG,BPG,TOPG,FG%,3P%,FT%,MPG,FPG,PTS,REB,AST,STL,BLK,TO,FGM,FGA,3PM,3PA,FTM,FTA,MINS,FLS,G,GS,TD
Ade Murkey,murkead01,21-22,SAC,SG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Alex Len,lenal01,21-22,SAC,C,6.0,1.3,4.1,1.2,0.3,0.6,1.1,0.534,0.286,0.651,15.9,2.6,235,161,45,13,25,43,94,176,6,21,41,63,620,100,39,10,0
Chimezie Metu,metuch01,21-22,SAC,C,8.9,0.6,5.6,1.0,0.8,0.5,1.0,0.452,0.306,0.78,21.3,1.6,534,335,60,51,32,61,203,449,57,186,71,91,1279,93,60,20,0
Damian Jones,jonesda03,21-22,SAC,C,8.1,1.3,4.4,1.2,0.5,0.8,1.1,0.658,0.345,0.718,18.2,2.3,454,246,69,26,47,59,175,266,10,29,94,131,1017,130,56,15,0
Davion Mitchell,mitchda01,21-22,SAC,PG,11.5,0.4,2.2,4.2,0.7,0.3,1.5,0.418,0.316,0.659,27.7,1.9,861,166,313,55,24,114,352,843,101,320,56,85,2076,141,75,19,0
De'Aaron Fox,foxde01,21-22,SAC,PG,23.2,0.4,3.9,5.6,1.2,0.4,2.8,0.473,0.297,0.75,35.3,2.9,1367,231,330,68,25,168,516,1092,74,249,261,348,2084,172,59,59,0
Domantas Sabonis,sabondo01,21-22,IND-SAC,PF,18.9,3.2,12.1,5.2,1.0,0.4,3.1,0.573,0.312,0.741,34.5,3.3,1171,752,323,59,27,195,443,773,39,125,246,332,2136,203,62,61,5
Donte DiVincenzo,divindo01,21-22,MIL-SAC,SG,9.0,1.0,4.0,2.8,1.1,0.2,1.7,0.351,0.339,0.843,24.0,1.6,380,170,118,48,8,72,118,336,74,218,70,83,1006,69,42,1,0
Emmanuel Mudiay,mudiaem01,21-22,SAC,PG,1.5,0.0,0.0,2.0,0.5,0.0,0.5,0.0,,0.75,5.5,0.5,3,0,4,1,0,1,0,2,0,0,3,4,11,1,2,0,0
Harrison Barnes,barneha02,21-22,SAC,PF,16.4,1.1,5.6,2.4,0.7,0.2,1.5,0.469,0.394,0.826,33.5,1.2,1265,432,186,53,14,118,391,834,142,360,341,413,2580,94,77,77,0
Jahmi'us Ramsey,ramseja01,21-22,SAC,SG,3.2,0.2,0.7,0.4,0.1,0.1,0.3,0.414,0.278,0.5,7.1,0.5,60,13,7,1,1,5,24,58,5,18,7,14,134,10,19,0,0
Jeremy Lamb,lambje01,21-22,IND-SAC,SF,7.3,0.5,2.8,1.4,0.6,0.4,0.7,0.383,0.324,0.84,16.7,1.1,410,154,81,31,22,37,133,347,55,170,89,106,935,59,56,0,0
Josh Jackson,jacksjo02,21-22,DET-SAC,SF,6.4,0.4,2.8,1.1,0.5,0.4,0.9,0.4,0.254,0.714,16.3,1.7,328,141,54,26,22,47,120,300,33,130,55,77,830,88,51,3,0
Justin Holiday,holidju01,21-22,IND-SAC,SF,10.1,0.4,2.6,1.7,0.8,0.4,0.9,0.394,0.367,0.806,27.8,2.1,749,190,128,57,33,70,261,662,177,482,50,62,2057,154,74,65,0
Louis King,kinglo02,21-22,SAC,SF,4.5,0.0,1.2,0.9,0.2,0.1,0.0,0.319,0.296,0.7,10.4,1.4,45,12,9,2,1,0,15,47,8,27,7,10,104,14,10,0,0
Maurice Harkless,harklma01,21-22,SAC,SF,4.6,0.3,2.4,0.5,0.6,0.5,0.7,0.459,0.307,0.714,18.4,1.6,217,112,23,29,24,31,83,181,31,101,20,28,863,77,47,24,0
Neemias Queta,quetane01,21-22,SAC,C,3.0,0.9,2.1,0.4,0.1,0.5,0.4,0.447,,0.647,8.0,1.2,45,31,6,1,8,6,17,38,0,0,11,17,120,18,15,0,0
Richaun Holmes,holmeri01,21-22,SAC,C,10.4,2.1,7.0,1.1,0.4,0.9,1.2,0.66,0.4,0.778,23.9,2.8,468,317,48,17,41,56,198,300,2,5,70,90,1074,128,45,37,0
