Player,Player_ID,Year,Team,Position,PPG,ORPG,RPG,APG,SPG,BPG,TOPG,FG%,3P%,FT%,MPG,FPG,PTS,REB,AST,STL,BLK,TO,FGM,FGA,3PM,3PA,FTM,FTA,MINS,FLS,G,GS,TD
Armoni Brooks,brookar01,21-22,HOU-TOR,SG,5.3,0.4,1.9,1.1,0.5,0.2,0.5,0.339,0.297,0.857,15.6,1.4,288,103,62,28,11,27,98,289,74,249,18,21,844,74,54,11,0
Chris Boucher,bouchch01,21-22,TOR,SF,9.4,2.2,6.2,0.3,0.6,0.9,0.5,0.464,0.297,0.777,21.1,2.2,754,494,25,49,75,42,268,577,68,229,150,193,1690,174,80,9,0
D.J. Wilson,wilsodj01,21-22,TOR,PF,7.5,0.2,4.0,1.2,1.2,0.2,0.5,0.733,0.0,0.8,13.5,1.5,30,16,5,5,1,2,11,15,0,2,8,10,54,6,4,1,0
Dalano Banton,bantoda01,21-22,TOR,PG,3.2,0.6,1.9,1.5,0.4,0.2,0.8,0.411,0.255,0.591,10.9,1.1,205,124,99,28,10,53,83,202,13,51,26,44,696,68,64,1,0
Daniel Oturu,oturuda01,21-22,TOR,C,3.0,0.3,1.7,0.0,0.0,0.7,0.0,0.5,0.0,0.6,9.0,0.3,9,5,0,0,2,0,3,6,0,1,3,5,27,1,3,0,0
David Johnson,johnsda08,21-22,TOR,SG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,2,0,0
Fred VanVleet,vanvlfr01,21-22,TOR,PG,20.3,0.7,4.4,6.7,1.7,0.5,2.6,0.403,0.377,0.874,37.9,2.5,1320,289,434,111,35,170,442,1097,242,642,194,222,2462,162,65,65,1
Gary Trent Jr.,trentga02,21-22,TOR,SG,18.3,0.4,2.7,2.0,1.7,0.3,1.0,0.414,0.383,0.853,35.0,2.1,1283,191,141,122,19,73,450,1086,209,545,174,204,2448,144,70,69,0
Isaac Bonga,bongais01,21-22,TOR,SF,0.8,0.3,0.5,0.3,0.5,0.1,0.1,0.231,0.25,0.625,4.6,0.7,12,7,4,8,2,2,3,13,1,4,5,8,69,10,15,0,0
Justin Champagnie,champju01,21-22,TOR,SF,2.2,1.0,2.0,0.3,0.2,0.1,0.2,0.463,0.357,1.0,7.8,0.9,81,72,11,8,4,8,31,67,10,28,9,9,281,32,36,0,0
Khem Birch,birchkh01,21-22,TOR,C,4.5,2.2,4.3,1.0,0.5,0.5,0.5,0.485,0.0,0.746,18.0,1.9,247,239,56,30,26,29,97,200,0,14,53,71,991,104,55,28,0
Malachi Flynn,flynnma01,21-22,TOR,PG,4.3,0.2,1.4,1.6,0.5,0.1,0.3,0.393,0.333,0.625,12.2,1.0,189,63,70,20,4,13,72,183,30,90,15,24,537,45,44,5,0
OG Anunoby,anunoog01,21-22,TOR,SF,17.1,1.5,5.5,2.6,1.5,0.5,1.7,0.443,0.363,0.754,36.0,2.7,822,264,125,71,25,80,309,697,115,317,89,118,1728,131,48,48,0
Pascal Siakam,siakapa01,21-22,TOR,PF,22.8,1.9,8.5,5.3,1.2,0.6,2.7,0.494,0.344,0.749,37.9,3.3,1551,580,360,85,42,181,596,1207,75,218,284,379,2578,225,68,68,2
Precious Achiuwa,achiupr01,21-22,TOR,C,9.1,2.0,6.5,1.1,0.5,0.6,1.2,0.439,0.359,0.595,23.6,2.1,664,473,82,37,41,84,265,603,56,156,78,131,1725,151,73,28,0
Sam Dekker,dekkesa01,21-22,TOR,PF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Scottie Barnes,barnesc01,21-22,TOR,PF,15.3,2.6,7.5,3.5,1.1,0.7,1.8,0.492,0.301,0.735,35.4,2.6,1134,557,256,80,55,136,459,932,58,193,158,215,2617,192,74,74,0
Svi Mykhailiuk,mykhasv01,21-22,TOR,SF,4.6,0.4,1.6,0.8,0.5,0.1,0.6,0.389,0.306,0.865,12.8,1.0,255,92,45,26,4,32,91,234,41,134,32,37,716,54,56,5,0
Thaddeus Young,youngth01,21-22,SAS-TOR,PF,6.2,1.5,4.0,2.0,1.0,0.3,1.0,0.518,0.354,0.469,16.2,1.6,322,208,104,54,18,52,141,272,17,48,23,49,845,81,52,1,0
Yuta Watanabe,watanyu01,21-22,TOR,SF,4.3,0.5,2.4,0.6,0.3,0.4,0.5,0.406,0.342,0.6,11.7,1.0,163,92,21,11,16,19,56,138,27,79,24,40,445,38,38,4,0
Chris Boucher,bouchch01,22-23,TOR,PF,9.4,2.1,5.5,0.4,0.6,0.8,0.5,0.493,0.328,0.762,20.0,1.9,712,421,29,47,64,41,261,529,62,189,128,168,1523,143,76,0,0
Christian Koloko,kolokch01,22-23,TOR,C,3.1,1.4,2.9,0.5,0.4,1.0,0.3,0.48,0.083,0.627,13.8,2.2,182,171,31,21,57,20,72,150,1,12,37,59,802,128,58,19,0
Dalano Banton,bantoda01,22-23,TOR,PG,4.6,0.4,1.5,1.2,0.4,0.4,0.6,0.423,0.294,0.708,9.0,1.1,142,45,36,13,13,18,55,130,15,51,17,24,279,34,31,2,0
Fred VanVleet,vanvlfr01,22-23,TOR,PG,19.3,0.4,4.1,7.2,1.8,0.6,2.0,0.393,0.342,0.898,36.7,2.8,1335,280,495,123,38,140,437,1112,207,606,254,283,2535,193,69,69,1
Gary Trent Jr.,trentga02,22-23,TOR,SG,17.4,0.5,2.6,1.6,1.6,0.2,0.8,0.433,0.369,0.839,32.1,1.5,1148,173,106,104,14,55,405,935,166,450,172,205,2118,102,66,44,0
Jakob Poeltl,poeltja01,22-23,SAS-TOR,C,12.5,3.3,9.1,2.7,0.9,1.2,1.7,0.629,0.0,0.592,26.5,2.7,897,653,197,66,86,125,389,618,0,1,119,201,1906,195,72,71,0
Jeff Dowtin Jr.,dowtije01,22-23,TOR,PG,2.4,0.2,0.9,1.2,0.4,0.1,0.2,0.439,0.313,0.667,10.4,0.5,61,23,31,9,3,5,25,57,5,16,6,9,259,13,25,0,0
Joe Wieskamp,wieskjo01,22-23,TOR,SF,1.0,0.0,0.4,0.3,0.0,0.0,0.1,0.214,0.25,,5.6,0.3,9,4,3,0,0,1,3,14,3,12,0,0,50,3,9,0,0
Juancho Hernangómez,hernaju01,22-23,TOR,PF,2.9,0.6,2.9,0.6,0.4,0.1,0.4,0.421,0.254,0.563,14.6,1.0,122,123,25,16,6,15,48,114,17,67,9,16,614,43,42,10,0
Khem Birch,birchkh01,22-23,TOR,C,2.2,0.4,1.2,0.4,0.2,0.2,0.4,0.594,0.5,0.8,8.1,1.2,43,25,7,5,5,8,19,32,1,2,4,5,162,24,20,0,0
Malachi Flynn,flynnma01,22-23,TOR,PG,4.6,0.3,1.4,1.3,0.4,0.1,0.5,0.36,0.353,0.758,13.0,1.2,246,76,70,21,4,25,87,242,47,133,25,33,691,65,53,2,0
OG Anunoby,anunoog01,22-23,TOR,SF,16.8,1.4,5.0,2.0,1.9,0.7,2.0,0.476,0.387,0.838,35.6,3.0,1124,332,131,128,50,132,421,885,142,367,140,167,2386,200,67,67,0
Otto Porter Jr.,porteot01,22-23,TOR,SF,5.5,0.8,2.4,1.0,1.4,0.0,0.5,0.5,0.353,1.0,18.2,0.9,44,19,8,11,0,4,15,30,6,17,8,8,146,7,8,2,0
Pascal Siakam,siakapa01,22-23,TOR,PF,24.2,1.8,7.8,5.8,0.9,0.5,2.4,0.48,0.324,0.774,37.4,3.2,1720,556,415,65,36,169,630,1313,93,287,367,474,2652,228,71,71,2
Precious Achiuwa,achiupr01,22-23,TOR,C,9.2,1.8,6.0,0.9,0.6,0.5,1.1,0.485,0.269,0.702,20.7,1.9,508,328,50,31,30,59,196,404,29,108,87,124,1140,102,55,12,0
Ron Harper Jr.,harpero02,22-23,TOR,PF,2.2,0.3,0.8,0.4,0.0,0.1,0.0,0.5,0.333,1.0,5.3,0.3,20,7,4,0,1,0,8,16,3,9,1,1,48,3,9,0,0
