Player,Player_ID,Year,Team,Position,PPG,ORPG,RPG,APG,SPG,BPG,TOPG,FG%,3P%,FT%,MPG,FPG,PTS,REB,AST,STL,BLK,TO,FGM,FGA,3PM,3PA,FTM,FTA,MINS,FLS,G,GS,TD
Anthony Gill,gillan01,21-22,WAS,PF,4.1,0.8,1.9,0.6,0.1,0.2,0.4,0.569,0.538,0.808,10.5,1.3,180,85,27,5,11,18,62,109,14,26,42,52,463,58,44,0,0
Brad Wanamaker,wanambr01,21-22,IND-WAS,PG,3.6,0.3,1.7,2.4,0.3,0.3,1.0,0.364,0.235,0.92,13.9,2.0,83,39,55,7,6,23,28,77,4,17,23,25,320,45,23,2,0
Bradley Beal,bealbr01,21-22,WAS,SG,23.2,1.0,4.7,6.6,0.9,0.4,3.4,0.451,0.3,0.833,36.0,2.4,928,189,265,36,15,135,348,771,63,210,169,203,1439,95,40,40,0
Cassius Winston,winstca01,21-22,WAS,PG,2.0,0.0,0.1,1.0,0.0,0.0,0.4,0.364,0.333,1.0,5.6,1.3,14,1,7,0,0,3,4,11,2,6,4,4,39,9,7,0,0
Corey Kispert,kispeco01,21-22,WAS,SF,8.2,0.7,2.7,1.1,0.5,0.3,0.6,0.455,0.35,0.871,23.4,1.2,634,209,85,35,22,50,234,514,112,320,54,62,1801,93,77,36,0
Craig Sword,swordcr01,21-22,WAS,SG,2.0,0.0,0.0,0.3,1.3,0.0,0.3,0.75,0.0,,6.3,2.3,6,0,1,4,0,1,3,4,0,1,0,0,19,7,3,0,0
Daniel Gafford,gaffoda01,21-22,WAS,C,9.4,2.2,5.7,0.9,0.4,1.4,0.9,0.693,0.0,0.699,20.1,2.4,677,407,68,30,99,65,285,411,0,1,107,153,1444,170,72,53,0
Deni Avdija,avdijde01,21-22,WAS,SF,8.4,0.6,5.2,2.0,0.7,0.5,1.1,0.432,0.317,0.757,24.2,2.3,685,425,167,59,44,87,250,579,82,259,103,136,1984,190,82,8,0
Isaiah Todd,toddis01,21-22,WAS,PF,1.7,0.2,1.0,0.3,0.3,0.2,0.3,0.269,0.25,0.333,6.2,0.3,20,12,4,4,2,4,7,26,4,16,2,6,74,4,12,0,0
Ish Smith,smithis01,21-22,CHO-WAS,PG,6.3,0.4,2.2,3.8,0.7,0.4,1.2,0.43,0.373,0.625,17.3,1.2,410,140,244,47,23,78,185,430,25,67,15,24,1126,78,65,1,0
Jaime Echenique,echenja01,21-22,WAS,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0
Joel Ayayi,ayayijo01,21-22,WAS,SG,0.3,0.1,0.4,0.6,0.0,0.0,0.0,0.167,0.0,,2.9,0.0,2,3,4,0,0,0,1,6,0,1,0,0,20,0,7,0,0
Jordan Goodwin,goodwjo01,21-22,WAS,SG,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,0.5,0,1,0,0,0,0,0,3,0,1,0,0,6,1,2,0,0
Jordan Schakel,schakjo01,21-22,WAS,SG,1.2,0.5,2.0,0.0,0.2,0.0,0.2,0.091,0.167,1.0,7.5,0.0,5,8,0,1,0,1,1,11,1,6,2,2,30,0,4,0,0
Kentavious Caldwell-Pope,caldwke01,21-22,WAS,SG,13.2,0.5,3.4,1.9,1.1,0.3,1.3,0.435,0.39,0.89,30.2,1.8,1018,261,145,83,26,97,361,829,159,408,137,154,2329,139,77,77,0
Kristaps Porziņģis,porzikr01,21-22,DAL-WAS,PF,20.2,2.0,8.1,2.3,0.7,1.6,1.6,0.459,0.31,0.867,29.0,2.7,1030,411,119,37,84,81,352,767,78,252,248,286,1481,137,51,51,0
Kyle Kuzma,kuzmaky01,21-22,WAS,PF,17.1,1.1,8.5,3.5,0.6,0.9,2.6,0.452,0.341,0.712,33.4,1.9,1130,561,233,42,57,169,423,936,128,375,156,219,2204,128,66,66,1
Raul Neto,netora01,21-22,WAS,PG,7.5,0.2,1.9,3.1,0.8,0.0,1.1,0.463,0.292,0.769,19.6,1.5,526,134,217,55,3,79,204,441,35,120,83,108,1372,104,70,19,0
Rui Hachimura,hachiru01,21-22,WAS,PF,11.3,0.6,3.8,1.1,0.5,0.2,0.8,0.491,0.447,0.697,22.5,1.3,475,160,48,23,9,33,187,381,55,123,46,66,943,53,42,13,0
Thomas Bryant,bryanth01,21-22,WAS,C,7.4,1.0,4.0,0.9,0.2,0.8,0.7,0.52,0.286,0.875,16.3,1.6,201,108,23,6,21,19,77,148,12,42,35,40,439,43,27,9,0
Tomáš Satoranský,satorto01,21-22,NOP-SAS-WAS,SG,3.6,0.5,2.3,3.3,0.5,0.1,0.8,0.377,0.208,0.796,16.5,1.3,198,126,184,29,5,46,72,191,11,53,43,54,906,71,55,13,0
Tremont Waters,watertr01,21-22,TOR-WAS,PG,3.3,0.0,1.3,2.3,1.7,0.0,1.3,0.286,0.222,,16.7,1.3,10,4,7,5,0,4,4,14,2,9,0,0,50,4,3,0,0
Vernon Carey Jr.,careyve01,21-22,CHO-WAS,C,2.9,1.1,1.7,0.0,0.3,0.1,0.4,0.538,,0.462,6.3,0.6,20,12,0,2,1,3,7,13,0,0,6,13,44,4,7,1,0
Anthony Gill,gillan01,22-23,WAS,PF,3.3,0.6,1.7,0.6,0.1,0.2,0.3,0.538,0.138,0.731,10.6,1.2,195,99,34,7,12,15,71,132,4,29,49,67,624,70,59,8,0
Bradley Beal,bealbr01,22-23,WAS,SG,23.2,0.8,3.9,5.4,0.9,0.7,2.9,0.506,0.365,0.842,33.5,2.1,1160,196,271,45,33,145,444,878,80,219,192,228,1673,107,50,50,0
